observation;sender;sender_type;sender_id;response;response_action;ended_on;duration;time_run;time_render;time_show;time_end;time_commit;timestamp;time_switch;german;swahili;enc;distractor1;distractor2;distractor3;response_2;x;correct;distractors;url_vp;url_sess;meta_labjs_version;meta_location;meta_user_agent;meta_platform;meta_language;meta_locale;meta_time_zone;meta_timezone_offset;meta_screen_width;meta_screen_height;meta_scroll_width;meta_scroll_height;meta_window_inner_width;meta_window_inner_height;meta_device_pixel_ratio;meta_labjs_build_flavor;meta_labjs_build_commit;;;;
1a5fb;Introduction;delayed;retrieval;canvas.Screen;0;weiter;keypress(Space);response;3446.04;783.9;554.36;787.56;4233.6;4235.2;2023-05-14T18:26:59Z;4237.538;NA;NA;NA;NA;NA;NA;NA;NA;NA;NULL;171;2;20.02.2004;https://neurocog.fernuni.ch/studies/vweber/sliechti/delayed/index.html?vp=171&sess=2;Mozilla/5.0 (Windows NT 10.0;;;;;;;;;;;;;;;;
1a5fb;Deep;Question;html.Page;1_0_0_0;NA;NA;form;submission;3829.662;4235.4;4220.886;4237.538;8067.2;8067.4;2023-05-14T18:27:03Z;8070.848;Orientierung;urekebisho;d;uelekeo;marekebisho;utunzaji;g;NA;NA;NULL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
1a5fb;Save;data;screen;canvas.Screen;1_0_0_1;NA;NA;timeout;499.924;8068.2;8054.167;8070.848;8554.165;8555.4;2023-05-14T18:27:03Z;8570.772;Orientierung;urekebisho;d;uelekeo;marekebisho;utunzaji;NA;NA;0;NULL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
1a5fb;deep;flow.Sequence;1_0_0;NA;NA;completion;4316.627;4235.4;4220.886;4237.538;8554.165;8555.7;2023-05-14T18:27:03Z;8570.772;Orientierung;urekebisho;d;uelekeo;marekebisho;utunzaji;NA;NA;NA;NULL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;
1a5fb;task;flow.Sequence;1_0;NA;NA;completion;4316.627;4235.4;4220.886;4237.538;8554.165;8555.9;2023-05-14T18:27:03Z;8570.772;Orientierung;urekebisho;d;uelekeo;marekebisho;utunzaji;NA;NA;NA;NULL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;
1a5fb;Deep;Question;html.Page;1_1_0_0;NA;NA;form;submission;2256.028;8556.1;8554.165;8570.772;10826.8;10827;2023-05-14T18:27:05Z;10837.414;Niveau;kiwango;d;usimamizi;mwamali;mshairi;g;NA;NA;NULL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
1a5fb;Save;data;screen;canvas.Screen;1_1_0_1;NA;NA;timeout;500.052;10827.8;10820.744;10837.414;11320.765;11321.9;2023-05-14T18:27:06Z;11337.466;Niveau;kiwango;d;usimamizi;mwamali;mshairi;NA;NA;0;NULL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
1a5fb;deep;flow.Sequence;1_1_0;NA;NA;completion;2749.993;8556;8554.165;8570.772;11320.765;11322.2;2023-05-14T18:27:06Z;11337.466;Niveau;kiwango;d;usimamizi;mwamali;mshairi;NA;NA;NA;NULL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;
1a5fb;task;flow.Sequence;1_1;NA;NA;completion;2749.993;8556;8554.165;8570.772;11320.765;11322.4;2023-05-14T18:27:06Z;11337.466;Niveau;kiwango;d;usimamizi;mwamali;mshairi;NA;NA;NA;NULL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;
1a5fb;Deep;Question;html.Page;1_2_0_0;NA;NA;form;submission;2293.234;11322.6;11320.765;11337.466;13630.7;13631;2023-05-14T18:27:08Z;13637.379;Flexibilität;kubadilika;s;enjini;usikilivu;hesabu;g;NA;NA;NULL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
