"Antwort ID";"Versuchsperson:";"Biologisches Geschlecht";"Alter";"Händigkeit";"Höchster Bildungsabschluss"
"36";"101";"Männlich";"23";"<span style=""font-size:16px;"">Rechtshänder</span>";"<span style=""font-size:16px;"">Matura / Abitur</span>"
"37";"102";"Weiblich";"33";"<span style=""font-size:16px;"">Beidhändig</span>";"<span style=""font-size:16px;"">Fachhochschulabschluss (Bachelor)</span>"
"38";"101";"Männlich";"27";"<span style=""font-size:16px;"">Rechtshänder</span>";"<span style=""font-size:16px;"">Universitätsabschluss (Bachelor)</span>"
"39";"101";"Männlich";"29";"<span style=""font-size:16px;"">Rechtshänder</span>";"<span style=""font-size:16px;"">Universitätsabschluss (Master)</span>"
"40";"";"";"";"";""
"41";"101";"Weiblich";"27";"<span style=""font-size:16px;"">Rechtshänder</span>";"<span style=""font-size:16px;"">Universitätsabschluss (Master)</span>"
"42";"101";"";"";"";""
"43";"";"";"";"";""
"44";"102";"Männlich";"22";"<span style=""font-size:16px;"">Rechtshänder</span>";"<span style=""font-size:16px;"">Matura / Abitur</span>"
"45";"102";"Weiblich";"29";"<span style=""font-size:16px;"">Rechtshänder</span>";"<span style=""font-size:16px;"">Universitätsabschluss (Bachelor)</span>"
"46";"";"";"";"";""
"47";"103";"Männlich";"31";"<span style=""font-size:16px;"">Rechtshänder</span>";"<span style=""font-size:16px;"">Lehrabschluss ohne BM</span>"
"48";"104";"Männlich";"29";"<span style=""font-size:16px;"">Linkshänder</span>";"<span style=""font-size:16px;"">Matura / Abitur</span>"
"49";"";"";"";"";""
"50";"";"";"";"";""
"51";"105";"Weiblich";"28";"<span style=""font-size:16px;"">Rechtshänder</span>";"<span style=""font-size:16px;"">Universitätsabschluss (Bachelor)</span>"
"52";"106";"Männlich";"27";"<span style=""font-size:16px;"">Rechtshänder</span>";"<span style=""font-size:16px;"">Universitätsabschluss (Bachelor)</span>"
"53";"107";"Männlich";"27";"<span style=""font-size:16px;"">Rechtshänder</span>";"<span style=""font-size:16px;"">Matura / Abitur</span>"
"54";"108";"Weiblich";"27";"<span style=""font-size:16px;"">Rechtshänder</span>";"<span style=""font-size:16px;"">Universitätsabschluss (Master)</span>"
"55";"";"";"";"";""
"56";"109";"Weiblich";"24";"<span style=""font-size:16px;"">Rechtshänder</span>";"<span style=""font-size:16px;"">Universitätsabschluss (Bachelor)</span>"
"57";"";"";"";"";""
"58";"";"";"";"";""
"59";"110";"Männlich";"16";"<span style=""font-size:16px;"">Rechtshänder</span>";"<span style=""font-size:16px;"">Schulpflicht</span>"
"60";"";"";"";"";""
"61";"";"";"";"";""
"62";"105";"";"";"";""
"63";"";"";"";"";""
"64";"";"";"";"";""
"65";"";"";"";"";""
