observation,sender,sender_type,sender_id,response,response_action,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,german,swahili,enc,distractor1,distractor2,distractor3,response_2,x,correct,distractors,url_vp,url_sess,meta_labjs_version,meta_location,meta_user_agent,meta_platform,meta_language,meta_locale,meta_time_zone,meta_timezone_offset,meta_screen_width,meta_screen_height,meta_scroll_width,meta_scroll_height,meta_window_inner_width,meta_window_inner_height,meta_device_pixel_ratio,meta_labjs_build_flavor,meta_labjs_build_commit
4ade5,Introduction delayed retrieval,canvas.Screen,0,weiter,keypress(Space),response,45073.938999988,1191.5,1187.112,1203.761,46277.699999988,46284,2023-10-13T09:41:24Z,46288.326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,134,2,20.2.4,https://neurocog.fernuni.ch/studies/vweber/aberisha/delayed/index.html?vp=134&sess=2,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36",Win32,de-CH,de,Europe/Zurich,-120,1536,864,1536,659,1536,707,1.25,production,f5b4a49f956347addd546a832a3327688c2c0fef
4ade5,Deep Question,html.Page,1_0_0_0,NA,NA,form submission,7394.674,46284.299999982,46268.656,46288.326,53683,53683.199999988,2023-10-13T09:41:31Z,53685.812,Verstand,ufahamivu,s,shakawa,hadhari,mhandisi,huhani,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4ade5,Save data screen,canvas.Screen,1_0_0_1,NA,NA,timeout,499.911,53684.799999982,53671.361,53685.812,54169.087,54171.299999982,2023-10-13T09:41:32Z,54185.723,Verstand,ufahamivu,s,shakawa,hadhari,mhandisi,NA,NA,0,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4ade5,deep,flow.Sequence,1_0_0,NA,NA,completion,7880.761,46284.199999988,46268.656,46288.326,54169.087,54172.099999994,2023-10-13T09:41:32Z,54185.723,Verstand,ufahamivu,s,shakawa,hadhari,mhandisi,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4ade5,task,flow.Sequence,1_0,NA,NA,completion,7880.761,46284.199999988,46268.656,46288.326,54169.087,54172.5,2023-10-13T09:41:32Z,54185.723,Verstand,ufahamivu,s,shakawa,hadhari,mhandisi,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4ade5,Deep Question,html.Page,1_1_0_0,NA,NA,form submission,8123.6769999762,54173.099999994,54169.087,54185.723,62309.399999976,62309.599999994,2023-10-13T09:41:40Z,62316.176,Zuwachs,nyongeza,s,matilaba,udhibiti,hudhurio,ushani,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4ade5,Save data screen,canvas.Screen,1_1_0_1,NA,NA,timeout,500.068,62311,62299.527,62316.176,62799.426,62801.099999994,2023-10-13T09:41:40Z,62816.244,Zuwachs,nyongeza,s,matilaba,udhibiti,hudhurio,NA,NA,0,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4ade5,deep,flow.Sequence,1_1_0,NA,NA,completion,8613.703,54172.899999976,54169.087,54185.723,62799.426,62801.599999994,2023-10-13T09:41:40Z,62816.244,Zuwachs,nyongeza,s,matilaba,udhibiti,hudhurio,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4ade5,task,flow.Sequence,1_1,NA,NA,completion,8613.703,54172.799999982,54169.087,54185.723,62799.426,62801.799999982,2023-10-13T09:41:40Z,62816.244,Zuwachs,nyongeza,s,matilaba,udhibiti,hudhurio,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4ade5,Deep Question,html.Page,1_2_0_0,NA,NA,form submission,5650.355999994,62802,62799.426,62816.244,68466.599999994,68467,2023-10-13T09:41:46Z,68480.73,Symbol,kielezo,s,kinyume,nderemo,utayari,eleziti,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4ade5,Save data screen,canvas.Screen,1_2_0_1,NA,NA,timeout,500.356,68470,68464.466,68480.73,68964.069,68966,2023-10-13T09:41:46Z,68981.086,Symbol,kielezo,s,kinyume,nderemo,utayari,NA,NA,0,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4ade5,deep,flow.Sequence,1_2_0,NA,NA,completion,6147.825,62802,62799.426,62816.244,68964.069,68966.5,2023-10-13T09:41:46Z,68981.086,Symbol,kielezo,s,kinyume,nderemo,utayari,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4ade5,task,flow.Sequence,1_2,NA,NA,completion,6147.825,62801.899999976,62799.426,62816.244,68964.069,68967.099999994,2023-10-13T09:41:46Z,68981.086,Symbol,kielezo,s,kinyume,nderemo,utayari,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4ade5,Deep Question,html.Page,1_3_0_0,NA,NA,form submission,9003.414,68967.399999976,68964.069,68981.086,77984.5,77984.799999982,2023-10-13T09:41:55Z,77994.274,Wettbewerb,ushindani,d,mapendezi,kichocheo,ubaguzi,habiz,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4ade5,Save data screen,canvas.Screen,1_3_0_1,NA,NA,timeout,499.663,77988.099999994,77977.501,77994.274,78477.285,78477.799999982,2023-10-13T09:41:56Z,78493.937,Wettbewerb,ushindani,d,mapendezi,kichocheo,ubaguzi,NA,NA,0,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4ade5,deep,flow.Sequence,1_3_0,NA,NA,completion,9496.199,68967.399999976,68964.069,68981.086,78477.285,78477.899999976,2023-10-13T09:41:56Z,78493.937,Wettbewerb,ushindani,d,mapendezi,kichocheo,ubaguzi,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4ade5,task,flow.Sequence,1_3,NA,NA,completion,9496.199,68967.299999982,68964.069,68981.086,78477.285,78477.899999976,2023-10-13T09:41:56Z,78493.937,Wettbewerb,ushindani,d,mapendezi,kichocheo,ubaguzi,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4ade5,Deep Question,html.Page,1_4_0_0,NA,NA,form submission,7509.063,78478,78477.285,78493.937,86003,86003.199999988,2023-10-13T09:42:03Z,86008.036,Beweis,ushahidi,d,marudio,kizuizi,mtendaji,usanbi,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4ade5,Save data screen,canvas.Screen,1_4_0_1,NA,NA,timeout,500.04500000001,86006.299999982,85999.113,86008.036,86491.583,86492.699999988,2023-10-13T09:42:04Z,86508.081,Beweis,ushahidi,d,marudio,kizuizi,mtendaji,NA,NA,0,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4ade5,deep,flow.Sequence,1_4_0,NA,NA,completion,7997.646,78478,78477.285,78493.937,86491.583,86493.299999982,2023-10-13T09:42:04Z,86508.081,Beweis,ushahidi,d,marudio,kizuizi,mtendaji,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4ade5,task,flow.Sequence,1_4,NA,NA,completion,7997.646,78478,78477.285,78493.937,86491.583,86493.599999994,2023-10-13T09:42:04Z,86508.081,Beweis,ushahidi,d,marudio,kizuizi,mtendaji,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4ade5,Deep Question,html.Page,1_5_0_0,NA,NA,form submission,5444.1189999881,86493.899999976,86491.583,86508.081,91952.199999988,91952.5,2023-10-13T09:42:09Z,91956.013,Vorsorge,tahadhari,d,ufafanuzi,makini,mashambani,ghali,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4ade5,Save data screen,canvas.Screen,1_5_0_1,NA,NA,timeout,499.996,91955.5,91939.538,91956.013,92439.542,92441,2023-10-13T09:42:10Z,92456.009,Vorsorge,tahadhari,d,ufafanuzi,makini,mashambani,NA,NA,0,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4ade5,deep,flow.Sequence,1_5_0,NA,NA,completion,5931.461,86493.799999982,86491.583,86508.081,92439.542,92441.5,2023-10-13T09:42:10Z,92456.009,Vorsorge,tahadhari,d,ufafanuzi,makini,mashambani,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4ade5,task,flow.Sequence,1_5,NA,NA,completion,5931.461,86493.799999982,86491.583,86508.081,92439.542,92441.799999982,2023-10-13T09:42:10Z,92456.009,Vorsorge,tahadhari,d,ufafanuzi,makini,mashambani,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4ade5,Deep Question,html.Page,1_6_0_0,NA,NA,form submission,2199.7909999821,92442.199999988,92439.542,92456.009,94655.799999982,94656,2023-10-13T09:42:12Z,94672.063,Widerstand,usulubu,s,kusababisha,mwalimu,mwenendo,wjfu,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4ade5,Save data screen,canvas.Screen,1_6_0_1,NA,NA,timeout,499.891,94658.899999976,94655.323,94672.063,95155.025,95156.5,2023-10-13T09:42:13Z,95171.954,Widerstand,usulubu,s,kusababisha,mwalimu,mwenendo,NA,NA,0,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
