observation,sender,sender_type,sender_id,response,response_action,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,german,swahili,enc,distractor1,distractor2,distractor3,response_2,x,correct,distractors,url_vp,url_sess,meta_labjs_version,meta_location,meta_user_agent,meta_platform,meta_language,meta_locale,meta_time_zone,meta_timezone_offset,meta_screen_width,meta_screen_height,meta_scroll_width,meta_scroll_height,meta_window_inner_width,meta_window_inner_height,meta_device_pixel_ratio,meta_labjs_build_flavor,meta_labjs_build_commit
c546a,Introduction delayed retrieval,canvas.Screen,0,weiter,keypress(Space),response,14527.400000072,2384.4000000954,2399.552,2416.4,16943.800000072,16948.400000095,2024-04-08T21:47:22Z,16951.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,142,4,20.2.4,https://neurocog.fernuni.ch/studies/vweber/aberisha/delayed/index.html?vp=142&sess=4,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36 Edg/123.0.0.0",Win32,de,de-CH,Europe/Zurich,-120,1852,1235,2405,1391,2405,1439,1.3125,production,f5b4a49f956347addd546a832a3327688c2c0fef
c546a,Deep Question,html.Page,1_0_0_0,NA,NA,form submission,33366.300000095,16949.200000048,16937.01,16951.1,50317.400000095004,50317.900000095004,2024-04-08T21:47:55Z,50317.596,Respekt,heshima,s,changamnao,upinzani,ufanisi,hejoma,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
c546a,Save data screen,canvas.Screen,1_0_0_1,NA,NA,timeout,506.504,50319.600000024,50317.596,50317.596,50807.3,50808.600000024,2024-04-08T21:47:56Z,50824.1,Respekt,heshima,s,changamnao,upinzani,ufanisi,NA,NA,0,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
c546a,deep,flow.Sequence,1_0_0,NA,NA,completion,33856.2,16949.100000024,16937.01,16951.1,50807.3,50809.100000024,2024-04-08T21:47:56Z,50824.1,Respekt,heshima,s,changamnao,upinzani,ufanisi,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
c546a,task,flow.Sequence,1_0,NA,NA,completion,33856.2,16949.100000024,16937.01,16951.1,50807.3,50809.400000095004,2024-04-08T21:47:56Z,50824.1,Respekt,heshima,s,changamnao,upinzani,ufanisi,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
c546a,Deep Question,html.Page,1_1_0_0,NA,NA,form submission,15218.300000095,50809.600000024,50807.3,50824.1,66042.400000095,66042.800000072,2024-04-08T21:48:11Z,66057.9,Vorwurf,mashtaka,d,msukumo,mtangulizi,uenyekiti,meshtaka,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
c546a,Save data screen,canvas.Screen,1_1_0_1,NA,NA,timeout,505.40000000001,66046.600000024,66041.3,66057.9,66546.6,66547.400000095,2024-04-08T21:48:11Z,66563.3,Vorwurf,mashtaka,d,msukumo,mtangulizi,uenyekiti,NA,NA,0,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
c546a,deep,flow.Sequence,1_1_0,NA,NA,completion,15722.5,50809.5,50807.3,50824.1,66546.6,66547.700000048,2024-04-08T21:48:11Z,66563.3,Vorwurf,mashtaka,d,msukumo,mtangulizi,uenyekiti,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
c546a,task,flow.Sequence,1_1,NA,NA,completion,15722.5,50809.5,50807.3,50824.1,66546.6,66547.900000095,2024-04-08T21:48:11Z,66563.3,Vorwurf,mashtaka,d,msukumo,mtangulizi,uenyekiti,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
c546a,Deep Question,html.Page,1_2_0_0,NA,NA,form submission,10318.500000072,66548.100000024,66546.6,66563.3,76881.800000072,76882.200000048,2024-04-08T21:48:22Z,76896.13,Papier,karatasi,s,uchambuzi,usalama,kukataliwa,karatasi,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
c546a,Save data screen,canvas.Screen,1_2_0_1,NA,NA,timeout,499.87,76887,76896.13,76896.13,77379.4,77380.100000024,2024-04-08T21:48:22Z,77396,Papier,karatasi,s,uchambuzi,usalama,kukataliwa,NA,NA,1,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
