observation,sender,sender_type,sender_id,response,response_action,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,distractors,german,swahili,enc,distractor1,distractor2,distractor3,response_2,x,correct,x_2,url_vp,url_sess,meta_labjs_version,meta_location,meta_user_agent,meta_platform,meta_language,meta_locale,meta_time_zone,meta_timezone_offset,meta_screen_width,meta_screen_height,meta_scroll_width,meta_scroll_height,meta_window_inner_width,meta_window_inner_height,meta_device_pixel_ratio,meta_labjs_build_flavor,meta_labjs_build_commit
6a69c,Introduction general,canvas.Screen,0,weiter,keypress(q),response,9182.9999999762,489.10000002384,489.7,522.9,9705.8999999762,9708.6999999881,2024-06-15T10:27:34Z,9717.6,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,199,3,20.2.4,https://neurocog.fernuni.ch/studies/vweber/aberisha/encoding_immediate/index.html?vp=199&sess=3,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",Win32,de-DE,de,Europe/Zurich,-120,1536,864,1536,682,1536,730,1.25,production,f5b4a49f956347addd546a832a3327688c2c0fef
6a69c,Introduction practice,canvas.Screen,1_0,NA,keypress(Space),response,2538.4,9709.1999999881,9704.626,9717.6,12256,12256.800000012,2024-06-15T10:27:37Z,12265.8,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6a69c,deep,flow.Sequence,1_1_0_0,NA,NA,skipped,NA,12257.300000012,NA,NA,12256,12257.600000024,2024-06-15T10:27:37Z,12265.8,"c(""distractor1"", ""distractor2"", ""distractor3"")",Rückhalt,msaada,s,muhula,auwali,kiwimbe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6a69c,Shallow Question,html.Page,1_1_0_1_0,NA,NA,form submission,29684.800000024,12257.899999976,12250.832,12265.8,41950.600000024,41950.899999976,2024-06-15T10:28:06Z,41964.3,"c(""distractor1"", ""distractor2"", ""distractor3"")",Rückhalt,msaada,s,muhula,auwali,kiwimbe,muhula,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6a69c,"""Richtig""-Screen",canvas.Screen,1_1_0_1_1,NA,NA,skipped,NA,41952.699999988,NA,NA,41950.600000024,41952.800000012,2024-06-15T10:28:06Z,41964.3,"c(""distractor1"", ""distractor2"", ""distractor3"")",Rückhalt,msaada,s,muhula,auwali,kiwimbe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6a69c,"""Falsch""-Screen",canvas.Screen,1_1_0_1_2,NA,NA,timeout,4997.6,41953.600000024,41948.13,41964.3,46944.7,46946.600000024,2024-06-15T10:28:11Z,46961.9,"c(""distractor1"", ""distractor2"", ""distractor3"")",Rückhalt,msaada,s,muhula,auwali,kiwimbe,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6a69c,shallow,flow.Sequence,1_1_0_1,NA,NA,completion,34678.9,12257.800000012,12250.832,12265.8,46944.7,46947,2024-06-15T10:28:11Z,46961.9,"c(""distractor1"", ""distractor2"", ""distractor3"")",Rückhalt,msaada,s,muhula,auwali,kiwimbe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6a69c,task,flow.Sequence,1_1_0,NA,NA,completion,34678.9,12257.199999988,12250.832,12265.8,46944.7,46947.300000012,2024-06-15T10:28:11Z,46961.9,"c(""distractor1"", ""distractor2"", ""distractor3"")",Rückhalt,msaada,s,muhula,auwali,kiwimbe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6a69c,deep,flow.Sequence,1_1_1_0,NA,NA,skipped,NA,46947.600000024,NA,NA,46944.7,46947.800000012,2024-06-15T10:28:11Z,46961.9,"c(""distractor1"", ""distractor2"", ""distractor3"")",Kritik,lawama,s,dereva,nafasi,mawazo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6a69c,Shallow Question,html.Page,1_1_1_1_0,NA,NA,form submission,11551.499999976,46948.100000024,46944.7,46961.9,58513.399999976,58513.600000024,2024-06-15T10:28:23Z,58520.9,"c(""distractor1"", ""distractor2"", ""distractor3"")",Kritik,lawama,s,dereva,nafasi,mawazo,nafasi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6a69c,"""Richtig""-Screen",canvas.Screen,1_1_1_1_1,NA,NA,skipped,NA,58514.899999976,NA,NA,58513.399999976,58515.100000024,2024-06-15T10:28:23Z,58520.9,"c(""distractor1"", ""distractor2"", ""distractor3"")",Kritik,lawama,s,dereva,nafasi,mawazo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6a69c,"""Falsch""-Screen",canvas.Screen,1_1_1_1_2,NA,NA,timeout,4997.5,58516.199999988,58505.04,58520.9,63501.7,63502.800000012,2024-06-15T10:28:28Z,63518.4,"c(""distractor1"", ""distractor2"", ""distractor3"")",Kritik,lawama,s,dereva,nafasi,mawazo,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6a69c,shallow,flow.Sequence,1_1_1_1,NA,NA,completion,16539.8,46948.100000024,46944.7,46961.9,63501.7,63503.300000012,2024-06-15T10:28:28Z,63518.4,"c(""distractor1"", ""distractor2"", ""distractor3"")",Kritik,lawama,s,dereva,nafasi,mawazo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
