observation,sender,sender_type,sender_id,response,response_action,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,distractors,german,swahili,enc,distractor1,distractor2,distractor3,response_2,x,correct,x_2,url_vp,url_sess,meta_labjs_version,meta_location,meta_user_agent,meta_platform,meta_language,meta_locale,meta_time_zone,meta_timezone_offset,meta_screen_width,meta_screen_height,meta_scroll_width,meta_scroll_height,meta_window_inner_width,meta_window_inner_height,meta_device_pixel_ratio,meta_labjs_build_flavor,meta_labjs_build_commit
c1047,Introduction general,canvas.Screen,0,weiter,keypress(q),response,23539.299999905,3229.3999996185,3218.724,3235.3,26774.599999905,26776.799999714,2024-05-24T14:55:51Z,26787.6,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,226,3,20.2.4,https://neurocog.fernuni.ch/studies/vweber/aberisha/encoding_immediate/index.html?vp=226&sess=3,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",Win32,de-DE,de,Europe/Zurich,-120,1536,864,1536,682,1536,730,1.25,production,f5b4a49f956347addd546a832a3327688c2c0fef
c1047,Introduction practice,canvas.Screen,1_0,NA,keypress(Space),response,4313.4999999046,26777.299999714,26772.16,26787.6,31101.099999905,31102,2024-05-24T14:55:55Z,31118.3,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
c1047,deep,flow.Sequence,1_1_0_0,NA,NA,skipped,NA,31102.399999619,NA,NA,31101.099999905,31102.899999619,2024-05-24T14:55:55Z,31118.3,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gegenwart,hadhara,s,katiba,jokofu,mikopo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
c1047,Shallow Question,html.Page,1_1_0_1_0,NA,NA,form submission,6169.3999998093,31103.299999714,31104.094,31118.3,37287.699999809,37288,2024-05-24T14:56:02Z,37297.7,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gegenwart,hadhara,s,katiba,jokofu,mikopo,katiba,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
c1047,"""Richtig""-Screen",canvas.Screen,1_1_0_1_1,NA,NA,skipped,NA,37289.699999809,NA,NA,37287.699999809,37290,2024-05-24T14:56:02Z,37297.7,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gegenwart,hadhara,s,katiba,jokofu,mikopo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
c1047,"""Falsch""-Screen",canvas.Screen,1_1_0_1_2,NA,NA,timeout,4997.4,37291.299999714,37281.792,37297.7,42278.2,42279.5,2024-05-24T14:56:07Z,42295.1,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gegenwart,hadhara,s,katiba,jokofu,mikopo,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
c1047,shallow,flow.Sequence,1_1_0_1,NA,NA,completion,11159.9,31103.199999809,31104.094,31118.3,42278.2,42280,2024-05-24T14:56:07Z,42295.1,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gegenwart,hadhara,s,katiba,jokofu,mikopo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
c1047,task,flow.Sequence,1_1_0,NA,NA,completion,11159.9,31102.299999714,31104.094,31118.3,42278.2,42280.299999714,2024-05-24T14:56:07Z,42295.1,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gegenwart,hadhara,s,katiba,jokofu,mikopo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
c1047,deep,flow.Sequence,1_1_1_0,NA,NA,skipped,NA,42280.599999904996,NA,NA,42278.2,42280.799999714,2024-05-24T14:56:07Z,42295.1,"c(""distractor1"", ""distractor2"", ""distractor3"")",Kritik,lawama,s,dereva,nafasi,mawazo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
c1047,Shallow Question,html.Page,1_1_1_1_0,NA,NA,form submission,5268.4,42281.099999904996,42278.2,42295.1,47563.5,47563.799999714,2024-05-24T14:56:12Z,47575.1,"c(""distractor1"", ""distractor2"", ""distractor3"")",Kritik,lawama,s,dereva,nafasi,mawazo,nafasi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
