observation,sender,sender_type,sender_id,response,response_action,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,url_vp,url_sess,meta_labjs_version,meta_location,meta_user_agent,meta_platform,meta_language,meta_locale,meta_time_zone,meta_timezone_offset,meta_screen_width,meta_screen_height,meta_scroll_width,meta_scroll_height,meta_window_inner_width,meta_window_inner_height,meta_device_pixel_ratio,meta_labjs_build_flavor,meta_labjs_build_commit,distractors,german,swahili,enc,distractor1,distractor2,distractor3,x,correct,x_2
56b99,Introduction general,canvas.Screen,0,weiter,keypress(q),response,61366.9,425.5,192.8,442.6,61809.5,61811,2024-05-07T08:19:49Z,61821.9,227,1,20.2.4,https://neurocog.fernuni.ch/studies/vweber/aberisha/encoding_immediate/index.html?vp=227&sess=1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",Win32,de-DE,de,Europe/Zurich,-120,1536,864,1536,682,1536,730,1.25,production,f5b4a49f956347addd546a832a3327688c2c0fef,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56b99,Introduction practice,canvas.Screen,1_0,NA,keypress(Space),response,10383.800000048,61811.200000048,61806.75,61821.9,72205.700000048,72206.200000048,2024-05-07T08:19:59Z,72215.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA
56b99,deep,flow.Sequence,1_1_0_0,NA,NA,skipped,NA,72206.5,NA,NA,72205.700000048,72207.899999976,2024-05-07T08:19:59Z,72215.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gegenwart,hadhara,s,katiba,jokofu,mikopo,NA,NA,NA
56b99,Shallow Question,html.Page,1_1_0_1_0,hadhara,NA,form submission,26948.1,72208.100000024,72204.818,72215.9,99164,99164.300000072,2024-05-07T08:20:26Z,99165.828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gegenwart,hadhara,s,katiba,jokofu,mikopo,NA,NA,NA
56b99,"""Richtig""-Screen",canvas.Screen,1_1_0_1_1,NA,NA,timeout,4997.072,99165.600000024,99165.828,99165.828,104146.3,104150.60000002,2024-05-07T08:20:31Z,104162.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gegenwart,hadhara,s,katiba,jokofu,mikopo,NA,1,NA
56b99,"""Falsch""-Screen",canvas.Screen,1_1_0_1_2,NA,NA,skipped,NA,104153.39999998,NA,NA,104146.3,104153.60000002,2024-05-07T08:20:31Z,104162.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gegenwart,hadhara,s,katiba,jokofu,mikopo,NA,NA,NA
56b99,shallow,flow.Sequence,1_1_0_1,NA,NA,completion,31930.4,72208,72204.818,72215.9,104146.3,104154,2024-05-07T08:20:31Z,104162.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gegenwart,hadhara,s,katiba,jokofu,mikopo,NA,NA,NA
56b99,task,flow.Sequence,1_1_0,NA,NA,completion,31930.4,72206.399999976,72204.818,72215.9,104146.3,104154.30000007,2024-05-07T08:20:31Z,104162.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gegenwart,hadhara,s,katiba,jokofu,mikopo,NA,NA,NA
56b99,deep,flow.Sequence,1_1_1_0,NA,NA,skipped,NA,104154.5,NA,NA,104146.3,104154.70000005,2024-05-07T08:20:31Z,104162.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(""distractor1"", ""distractor2"", ""distractor3"")",Kritik,lawama,s,dereva,nafasi,mawazo,NA,NA,NA
56b99,Shallow Question,html.Page,1_1_1_1_0,nafasi,NA,form submission,16987.900000072,104154.89999998,104146.3,104162.9,121150.80000007,121151,2024-05-07T08:20:48Z,121153.532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(""distractor1"", ""distractor2"", ""distractor3"")",Kritik,lawama,s,dereva,nafasi,mawazo,NA,NA,NA
