observation,sender,sender_type,sender_id,response,response_action,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,german,swahili,enc,distractor1,distractor2,distractor3,response_2,x,correct,distractors,url_vp,url_sess,meta_labjs_version,meta_location,meta_user_agent,meta_platform,meta_language,meta_locale,meta_time_zone,meta_timezone_offset,meta_screen_width,meta_screen_height,meta_scroll_width,meta_scroll_height,meta_window_inner_width,meta_window_inner_height,meta_device_pixel_ratio,meta_labjs_build_flavor,meta_labjs_build_commit
c1b78,Introduction delayed retrieval,canvas.Screen,0,weiter,keypress(Space),response,1252,2183.6999999881,2181.392,2198,3450,3451.099999994,2024-04-03T20:30:01Z,3464.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,139,4,20.2.4,https://neurocog.fernuni.ch/studies/vweber/aberisha/delayed/index.html?vp=139&sess=4,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36 Edg/123.0.0.0",Win32,de,de-CH,Europe/Zurich,-120,1920,1080,1872,918,1872,966,1,production,f5b4a49f956347addd546a832a3327688c2c0fef
c1b78,Deep Question,html.Page,1_0_0_0,NA,NA,form submission,10781.699999976,3451.2999999821,3448.146,3464.7,14246.399999976,14246.599999994,2024-04-03T20:30:12Z,14248.3,Wechsel,ugeuzaji,d,utambulisho,kujenga,wasiwasi,kamikus,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
c1b78,Save data screen,canvas.Screen,1_0_0_1,NA,NA,timeout,500,14247.099999994,14231.84,14248.3,14731.7,14732.099999994,2024-04-03T20:30:13Z,14748.3,Wechsel,ugeuzaji,d,utambulisho,kujenga,wasiwasi,NA,NA,0,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
c1b78,deep,flow.Sequence,1_0_0,NA,NA,completion,11267,3451.1999999881,3448.146,3464.7,14731.7,14732.199999988,2024-04-03T20:30:13Z,14748.3,Wechsel,ugeuzaji,d,utambulisho,kujenga,wasiwasi,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
c1b78,task,flow.Sequence,1_0,NA,NA,completion,11267,3451.1999999881,3448.146,3464.7,14731.7,14732.199999988,2024-04-03T20:30:13Z,14748.3,Wechsel,ugeuzaji,d,utambulisho,kujenga,wasiwasi,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
c1b78,Deep Question,html.Page,1_1_0_0,NA,NA,form submission,3834.3999999881,14732.199999988,14731.7,14748.3,18582.699999988,18582.899999976,2024-04-03T20:30:17Z,18598.4,Betrüger,mdanganyifu,s,mwanamuziki,wastani,mahakama,balala,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
c1b78,Save data screen,canvas.Screen,1_1_0_1,NA,NA,timeout,500,18583.299999982,18581.76,18598.4,19081.8,19082,2024-04-03T20:30:17Z,19098.4,Betrüger,mdanganyifu,s,mwanamuziki,wastani,mahakama,NA,NA,0,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
c1b78,deep,flow.Sequence,1_1_0,NA,NA,completion,4333.5,14732.199999988,14731.7,14748.3,19081.8,19082.099999994,2024-04-03T20:30:17Z,19098.4,Betrüger,mdanganyifu,s,mwanamuziki,wastani,mahakama,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
c1b78,task,flow.Sequence,1_1,NA,NA,completion,4333.5,14732.199999988,14731.7,14748.3,19081.8,19082.099999994,2024-04-03T20:30:17Z,19098.4,Betrüger,mdanganyifu,s,mwanamuziki,wastani,mahakama,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
c1b78,Deep Question,html.Page,1_2_0_0,NA,NA,form submission,4143.4999999762,19082.199999988,19081.8,19098.4,23241.899999976,23242,2024-04-03T20:30:21Z,23248.5,Respekt,heshima,d,changamnao,upinzani,ufanisi,makna,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
