observation,sender,sender_type,sender_id,response,response_action,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,distractors,german,swahili,enc,distractor1,distractor2,distractor3,response_2,x,correct,x_2,url_vp,url_sess,meta_labjs_version,meta_location,meta_user_agent,meta_platform,meta_language,meta_locale,meta_time_zone,meta_timezone_offset,meta_screen_width,meta_screen_height,meta_scroll_width,meta_scroll_height,meta_window_inner_width,meta_window_inner_height,meta_device_pixel_ratio,meta_labjs_build_flavor,meta_labjs_build_commit
36c03,Introduction general,canvas.Screen,0,weiter,keypress(q),response,2438876.8440003,1493.4000000954,8015.687,8032.356,2446909.2000003,2446917.8000002,2023-08-11T08:26:37Z,2446912.8,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,221,3,20.2.4,https://neurocog.fernuni.ch/studies/vweber/sfink/encoding_immediate/index.html?vp=221&sess=3,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",Win32,de-CH,de,Europe/Zurich,-120,1536,864,1536,706,1536,754,1.25,production,f5b4a49f956347addd546a832a3327688c2c0fef
36c03,Introduction practice,canvas.Screen,1_0,NA,keypress(Space),response,7502.2000000002,2446918.5999999,2446893.997,2446912.8,2454415,2454416.0999999,2023-08-11T08:26:44Z,2454423.224,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36c03,deep,flow.Sequence,1_1_0_0,NA,NA,skipped,NA,2454416.4000001,NA,NA,2454415,2454420,2023-08-11T08:26:44Z,2454423.224,"c(""distractor1"", ""distractor2"", ""distractor3"")",Rückhalt,msaada,s,muhula,auwali,kiwimbe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36c03,Shallow Question,html.Page,1_1_0_1_0,NA,NA,form submission,5352.1760000954,2454420.2000003,2454406.169,2454423.224,2459775.4000001,2459775.7000003,2023-08-11T08:26:50Z,2459785.541,"c(""distractor1"", ""distractor2"", ""distractor3"")",Rückhalt,msaada,s,muhula,auwali,kiwimbe,msaada,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36c03,"""Richtig""-Screen",canvas.Screen,1_1_0_1_1,NA,NA,timeout,4995.9239999996,2459776.9000001,2459769.371,2459785.541,2464765.283,2464770.4000001,2023-08-11T08:26:55Z,2464781.465,"c(""distractor1"", ""distractor2"", ""distractor3"")",Rückhalt,msaada,s,muhula,auwali,kiwimbe,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36c03,"""Falsch""-Screen",canvas.Screen,1_1_0_1_2,NA,NA,skipped,NA,2464773.5999999,NA,NA,2464765.283,2464774,2023-08-11T08:26:55Z,2464781.465,"c(""distractor1"", ""distractor2"", ""distractor3"")",Rückhalt,msaada,s,muhula,auwali,kiwimbe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36c03,shallow,flow.Sequence,1_1_0_1,NA,NA,completion,10342.059,2454420.2000003,2454406.169,2454423.224,2464765.283,2464774.5,2023-08-11T08:26:55Z,2464781.465,"c(""distractor1"", ""distractor2"", ""distractor3"")",Rückhalt,msaada,s,muhula,auwali,kiwimbe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36c03,task,flow.Sequence,1_1_0,NA,NA,completion,10342.059,2454416.4000001,2454406.169,2454423.224,2464765.283,2464774.9000001,2023-08-11T08:26:55Z,2464781.465,"c(""distractor1"", ""distractor2"", ""distractor3"")",Rückhalt,msaada,s,muhula,auwali,kiwimbe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36c03,Deep Question,html.Page,1_1_1_0_0,NA,NA,form submission,9359.6349999048,2464775.5,2464765.283,2464781.465,2474141.0999999,2474141.4000001,2023-08-11T08:27:04Z,2474140.432,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gesundheit,salama,d,NA,NA,NA,suanah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36c03,"""Richtig""-Screen",canvas.Screen,1_1_1_0_1,NA,NA,skipped,NA,2474143.7000003,NA,NA,2474141.0999999,2474144,2023-08-11T08:27:04Z,2474140.432,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gesundheit,salama,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
