observation,sender,sender_type,sender_id,response,response_action,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,german,swahili,enc,distractor1,distractor2,distractor3,response_2,x,correct,distractors,url_vp,url_sess,meta_labjs_version,meta_location,meta_user_agent,meta_platform,meta_language,meta_locale,meta_time_zone,meta_timezone_offset,meta_screen_width,meta_screen_height,meta_scroll_width,meta_scroll_height,meta_window_inner_width,meta_window_inner_height,meta_device_pixel_ratio,meta_labjs_build_flavor,meta_labjs_build_commit
70820,Introduction delayed retrieval,canvas.Screen,0,weiter,keypress(Space),response,3062.3,4708,4743.04,4759.7,7822,7846,2023-09-10T09:59:24Z,7846.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,180,2,20.2.4,https://neurocog.fernuni.ch/studies/vweber/sliechti/delayed/index.html?vp=180&sess=2,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/116.0,Win32,de,de-CH,Europe/Zurich,-120,1280,720,1280,595,1280,595,1.5,production,f5b4a49f956347addd546a832a3327688c2c0fef
70820,Deep Question,html.Page,1_0_0_0,NA,NA,form submission,50044.04,7846,7846.6,7846.96,57891,57892,2023-09-10T10:00:14Z,57902.2,Flexibilität,kubadilika,d,enjini,usikilivu,hesabu,uhalai,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70820,Save data screen,canvas.Screen,1_0_0_1,NA,NA,timeout,566.68,57899,57816.02,57902.2,58385.56,58387,2023-09-10T10:00:15Z,58468.88,Flexibilität,kubadilika,d,enjini,usikilivu,hesabu,NA,NA,0,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70820,deep,flow.Sequence,1_0_0,NA,NA,completion,50538.6,7846,7846.6,7846.96,58385.56,58388,2023-09-10T10:00:15Z,58468.88,Flexibilität,kubadilika,d,enjini,usikilivu,hesabu,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70820,task,flow.Sequence,1_0,NA,NA,completion,50538.6,7846,7846.6,7846.96,58385.56,58389,2023-09-10T10:00:15Z,58468.88,Flexibilität,kubadilika,d,enjini,usikilivu,hesabu,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70820,Deep Question,html.Page,1_1_0_0,NA,NA,form submission,26281.12,58392,58385.56,58468.88,84750,84757,2023-09-10T10:00:41Z,84781.88,Orientierung,urekebisho,s,uelekeo,marekebisho,utunzaji,khalumi,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70820,Save data screen,canvas.Screen,1_1_0_1,NA,NA,timeout,499.92,84766,84741.08,84781.88,85265.12,85266,2023-09-10T10:00:41Z,85281.8,Orientierung,urekebisho,s,uelekeo,marekebisho,utunzaji,NA,NA,0,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70820,deep,flow.Sequence,1_1_0,NA,NA,completion,26796.24,58392,58385.56,58468.88,85265.12,85267,2023-09-10T10:00:41Z,85281.8,Orientierung,urekebisho,s,uelekeo,marekebisho,utunzaji,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70820,task,flow.Sequence,1_1,NA,NA,completion,26796.24,58392,58385.56,58468.88,85265.12,85268,2023-09-10T10:00:41Z,85281.8,Orientierung,urekebisho,s,uelekeo,marekebisho,utunzaji,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70820,Deep Question,html.Page,1_2_0_0,NA,NA,form submission,102490.2,85271,85265.12,85281.8,187772,187773,2023-09-10T10:02:24Z,187767.5,Begegnung,kukutana,d,mmasihiya,mpiganaji,husiano,kukutuka,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
