observation,sender,sender_type,sender_id,response,response_action,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,german,swahili,enc,distractor1,distractor2,distractor3,response_2,x,correct,distractors,url_vp,url_sess,meta_labjs_version,meta_location,meta_user_agent,meta_platform,meta_language,meta_locale,meta_time_zone,meta_timezone_offset,meta_screen_width,meta_screen_height,meta_scroll_width,meta_scroll_height,meta_window_inner_width,meta_window_inner_height,meta_device_pixel_ratio,meta_labjs_build_flavor,meta_labjs_build_commit
3a770,Introduction delayed retrieval,canvas.Screen,0,weiter,keypress(Space),response,6489.977,2347.1000003815,2351.417,2368.023,8858,8859.5,2023-12-04T21:47:36Z,8862.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,150,4,20.2.4,https://neurocog.fernuni.ch/studies/vweber/jbaenninger/delayed/index.html?vp=150&sess=4,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36 Edg/119.0.0.0",Win32,de,de-DE,Europe/Berlin,-60,1536,864,1488,694,1488,742,1.25,production,f5b4a49f956347addd546a832a3327688c2c0fef
3a770,Deep Question,html.Page,1_0_0_0,NA,NA,form submission,19937.410000191,8859.7000007629,8846.202,8862.39,28799.800000191,28800,2023-12-04T21:47:56Z,28811.549,Wohlstand,mafanikio,s,chimbuko,kumbuko,mapwaji,mchani,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3a770,Save data screen,canvas.Screen,1_0_0_1,NA,NA,timeout,499.59,28801.300000191,28797.874,28811.549,29294.47,29295.100000381,2023-12-04T21:47:56Z,29311.139,Wohlstand,mafanikio,s,chimbuko,kumbuko,mapwaji,NA,NA,0,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3a770,deep,flow.Sequence,1_0_0,NA,NA,completion,20432.08,8859.7000007629,8846.202,8862.39,29294.47,29295.200000763,2023-12-04T21:47:56Z,29311.139,Wohlstand,mafanikio,s,chimbuko,kumbuko,mapwaji,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3a770,task,flow.Sequence,1_0,NA,NA,completion,20432.08,8859.7000007629,8846.202,8862.39,29294.47,29295.300000191,2023-12-04T21:47:56Z,29311.139,Wohlstand,mafanikio,s,chimbuko,kumbuko,mapwaji,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3a770,Deep Question,html.Page,1_1_0_0,NA,NA,form submission,5247.1610001907,29295.300000191,29294.47,29311.139,34558.300000191,34558.600000381,2023-12-04T21:48:02Z,34573.138,Spionage,upelelezi,s,maslahi,utokazo,magangao,subani,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3a770,Save data screen,canvas.Screen,1_1_0_1,NA,NA,timeout,499.606,34560,34553.147,34573.138,35056.103,35056.600000381,2023-12-04T21:48:02Z,35072.744,Spionage,upelelezi,s,maslahi,utokazo,magangao,NA,NA,0,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3a770,deep,flow.Sequence,1_1_0,NA,NA,completion,5744.964,29295.300000191,29294.47,29311.139,35056.103,35056.800000191,2023-12-04T21:48:02Z,35072.744,Spionage,upelelezi,s,maslahi,utokazo,magangao,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3a770,task,flow.Sequence,1_1,NA,NA,completion,5744.964,29295.300000191,29294.47,29311.139,35056.103,35056.900000572,2023-12-04T21:48:02Z,35072.744,Spionage,upelelezi,s,maslahi,utokazo,magangao,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3a770,Deep Question,html.Page,1_2_0_0,NA,NA,form submission,6989.5560001907,35057,35056.103,35072.744,42062.300000191,42062.700000763,2023-12-04T21:48:09Z,42066.643,Ergänzung,kijalizo,s,ulaghai,mustarehe,matangazo,heshima,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
