observation,sender,sender_type,sender_id,response,response_action,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,distractors,german,swahili,enc,distractor1,distractor2,distractor3,response_2,x,correct,x_2,url_vp,url_sess,meta_labjs_version,meta_location,meta_user_agent,meta_platform,meta_language,meta_locale,meta_time_zone,meta_timezone_offset,meta_screen_width,meta_screen_height,meta_scroll_width,meta_scroll_height,meta_window_inner_width,meta_window_inner_height,meta_device_pixel_ratio,meta_labjs_build_flavor,meta_labjs_build_commit
f76cb,Introduction general,canvas.Screen,0,weiter,keypress(q),response,31022.600000143,1068.6000001431,1059.88,1076.5,32099.100000143,32100.5,2024-05-14T11:30:44Z,32113.4,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158,3,20.2.4,https://neurocog.fernuni.ch/studies/vweber/jbaenninger/encoding_immediate/index.html?vp=158&sess=3,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36 Edg/124.0.0.0",Win32,de,de-CH,Europe/Zurich,-120,1280,720,1232,598,1232,598,1.5,production,f5b4a49f956347addd546a832a3327688c2c0fef
f76cb,Introduction practice,canvas.Screen,1_0,NA,keypress(Space),response,8946.1,32100.800000191,32093.95,32113.4,41059.5,41059.800000191,2024-05-14T11:30:53Z,41062.842,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
f76cb,deep,flow.Sequence,1_1_0_0,NA,NA,skipped,NA,41060,NA,NA,41059.5,41060,2024-05-14T11:30:53Z,41062.842,"c(""distractor1"", ""distractor2"", ""distractor3"")",Kritik,lawama,s,dereva,nafasi,mawazo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
f76cb,Shallow Question,html.Page,1_1_0_1_0,NA,NA,form submission,10953.558000095,41060.100000143,41062.842,41062.842,52016.400000095,52016.5,2024-05-14T11:31:04Z,52028.7,"c(""distractor1"", ""distractor2"", ""distractor3"")",Kritik,lawama,s,dereva,nafasi,mawazo,mawazo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
f76cb,"""Richtig""-Screen",canvas.Screen,1_1_0_1_1,NA,NA,skipped,NA,52017.300000191,NA,NA,52016.400000095,52017.400000095,2024-05-14T11:31:04Z,52028.7,"c(""distractor1"", ""distractor2"", ""distractor3"")",Kritik,lawama,s,dereva,nafasi,mawazo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
f76cb,"""Falsch""-Screen",canvas.Screen,1_1_0_1_2,NA,NA,timeout,5000.9,52018.100000143,52015.674,52028.7,57012.9,57015.100000143,2024-05-14T11:31:09Z,57029.6,"c(""distractor1"", ""distractor2"", ""distractor3"")",Kritik,lawama,s,dereva,nafasi,mawazo,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
f76cb,shallow,flow.Sequence,1_1_0_1,NA,NA,completion,15950.058,41060,41062.842,41062.842,57012.9,57015.100000143,2024-05-14T11:31:09Z,57029.6,"c(""distractor1"", ""distractor2"", ""distractor3"")",Kritik,lawama,s,dereva,nafasi,mawazo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
f76cb,task,flow.Sequence,1_1_0,NA,NA,completion,15950.058,41059.900000095,41062.842,41062.842,57012.9,57015.200000048,2024-05-14T11:31:09Z,57029.6,"c(""distractor1"", ""distractor2"", ""distractor3"")",Kritik,lawama,s,dereva,nafasi,mawazo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
f76cb,Deep Question,html.Page,1_1_1_0_0,NA,NA,form submission,6483.7000001907,57015.300000191,57012.9,57029.6,63513.300000191,63513.5,2024-05-14T11:31:16Z,63515.75,"c(""distractor1"", ""distractor2"", ""distractor3"")",Qualität,mtindo,d,NA,NA,NA,xdvjdl,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
f76cb,"""Richtig""-Screen",canvas.Screen,1_1_1_0_1,NA,NA,skipped,NA,63515.600000143,NA,NA,63513.300000191,63515.700000048,2024-05-14T11:31:16Z,63515.75,"c(""distractor1"", ""distractor2"", ""distractor3"")",Qualität,mtindo,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
f76cb,"""Falsch""-Screen",canvas.Screen,1_1_1_0_2,NA,NA,timeout,4997.85,63516.200000048,63515.75,63515.75,68497,68499.400000095,2024-05-14T11:31:21Z,68513.6,"c(""distractor1"", ""distractor2"", ""distractor3"")",Qualität,mtindo,d,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
f76cb,deep,flow.Sequence,1_1_1_0,NA,NA,completion,11467.4,57015.300000191,57012.9,57029.6,68497,68499.5,2024-05-14T11:31:21Z,68513.6,"c(""distractor1"", ""distractor2"", ""distractor3"")",Qualität,mtindo,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
f76cb,shallow,flow.Sequence,1_1_1_1,NA,NA,skipped,NA,68499.5,NA,NA,68497,68499.5,2024-05-14T11:31:21Z,68513.6,"c(""distractor1"", ""distractor2"", ""distractor3"")",Qualität,mtindo,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
f76cb,task,flow.Sequence,1_1_1,NA,NA,completion,11467.4,57015.200000048,57012.9,57029.6,68497,68499.600000143,2024-05-14T11:31:21Z,68513.6,"c(""distractor1"", ""distractor2"", ""distractor3"")",Qualität,mtindo,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
f76cb,deep,flow.Sequence,1_1_2_0,NA,NA,skipped,NA,68499.600000143,NA,NA,68497,68499.600000143,2024-05-14T11:31:21Z,68513.6,"c(""distractor1"", ""distractor2"", ""distractor3"")",Rückhalt,msaada,s,muhula,auwali,kiwimbe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
f76cb,Shallow Question,html.Page,1_1_2_1_0,NA,NA,form submission,9137.6000000477,68499.700000048,68497,68513.6,77651.200000048,77651.400000095,2024-05-14T11:31:30Z,77653.326,"c(""distractor1"", ""distractor2"", ""distractor3"")",Rückhalt,msaada,s,muhula,auwali,kiwimbe,kiwimbe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
f76cb,"""Richtig""-Screen",canvas.Screen,1_1_2_1_1,NA,NA,skipped,NA,77652.5,NA,NA,77651.200000048,77652.600000143,2024-05-14T11:31:30Z,77653.326,"c(""distractor1"", ""distractor2"", ""distractor3"")",Rückhalt,msaada,s,muhula,auwali,kiwimbe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
f76cb,"""Falsch""-Screen",canvas.Screen,1_1_2_1_2,NA,NA,timeout,5002.274,77653.400000095,77653.326,77653.326,82639.2,82639.800000191,2024-05-14T11:31:35Z,82655.6,"c(""distractor1"", ""distractor2"", ""distractor3"")",Rückhalt,msaada,s,muhula,auwali,kiwimbe,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
f76cb,shallow,flow.Sequence,1_1_2_1,NA,NA,completion,14125.6,68499.700000048,68497,68513.6,82639.2,82639.900000095,2024-05-14T11:31:35Z,82655.6,"c(""distractor1"", ""distractor2"", ""distractor3"")",Rückhalt,msaada,s,muhula,auwali,kiwimbe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
f76cb,task,flow.Sequence,1_1_2,NA,NA,completion,14125.6,68499.600000143,68497,68513.6,82639.2,82639.900000095,2024-05-14T11:31:35Z,82655.6,"c(""distractor1"", ""distractor2"", ""distractor3"")",Rückhalt,msaada,s,muhula,auwali,kiwimbe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
f76cb,deep,flow.Sequence,1_1_3_0,NA,NA,skipped,NA,82640,NA,NA,82639.2,82640,2024-05-14T11:31:35Z,82655.6,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gegenwart,hadhara,s,katiba,jokofu,mikopo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
f76cb,Shallow Question,html.Page,1_1_3_1_0,NA,NA,form submission,7198.7000001907,82640,82639.2,82655.6,89854.300000191,89854.400000095,2024-05-14T11:31:42Z,89860.3,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gegenwart,hadhara,s,katiba,jokofu,mikopo,hadhara,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
