observation,sender,sender_type,sender_id,response,response_action,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,distractors,german,swahili,enc,distractor1,distractor2,distractor3,response_2,x,correct,x_2,url_vp,url_sess,meta_labjs_version,meta_location,meta_user_agent,meta_platform,meta_language,meta_locale,meta_time_zone,meta_timezone_offset,meta_screen_width,meta_screen_height,meta_scroll_width,meta_scroll_height,meta_window_inner_width,meta_window_inner_height,meta_device_pixel_ratio,meta_labjs_build_flavor,meta_labjs_build_commit
c82e5,Introduction general,canvas.Screen,0,weiter,keypress(q),response,81326.6,902,906.72,923.4,82250,82303,2024-05-25T18:51:29Z,82304,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,162,1,20.2.4,https://neurocog.fernuni.ch/studies/vweber/jbaenninger/encoding_immediate/index.html?vp=162&sess=1,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:126.0) Gecko/20100101 Firefox/126.0,Win32,de,de-CH,Europe/Zurich,-120,1280,800,1280,619,1280,667,1.5,production,f5b4a49f956347addd546a832a3327688c2c0fef
c82e5,Introduction practice,canvas.Screen,1_0,NA,keypress(Space),response,7165,82304,82303.7,82304,89469,89552,2024-05-25T18:51:36Z,89553.22,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
c82e5,Deep Question,html.Page,1_1_0_0_0,NA,NA,form submission,24339.78,89553,89552.96,89553.22,113893,113893,2024-05-25T18:52:01Z,113893,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gesundheit,salama,d,NA,NA,NA,ddd,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
c82e5,"""Richtig""-Screen",canvas.Screen,1_1_0_0_1,NA,NA,skipped,NA,113899,NA,NA,113893,113899,2024-05-25T18:52:01Z,113893,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gesundheit,salama,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
c82e5,"""Falsch""-Screen",canvas.Screen,1_1_0_0_2,NA,NA,timeout,5011.62,113902,113886.66,113893,118869.1,118892,2024-05-25T18:52:06Z,118904.62,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gesundheit,salama,d,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
c82e5,deep,flow.Sequence,1_1_0_0,NA,NA,completion,29315.88,89553,89552.96,89553.22,118869.1,118892,2024-05-25T18:52:06Z,118904.62,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gesundheit,salama,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
c82e5,shallow,flow.Sequence,1_1_0_1,NA,NA,skipped,NA,118893,NA,NA,118869.1,118893,2024-05-25T18:52:06Z,118904.62,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gesundheit,salama,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
c82e5,task,flow.Sequence,1_1_0,NA,NA,completion,29315.88,89553,89552.96,89553.22,118869.1,118893,2024-05-25T18:52:06Z,118904.62,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gesundheit,salama,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
c82e5,deep,flow.Sequence,1_1_1_0,NA,NA,skipped,NA,118893,NA,NA,118869.1,118894,2024-05-25T18:52:06Z,118904.62,"c(""distractor1"", ""distractor2"", ""distractor3"")",Kritik,lawama,s,dereva,nafasi,mawazo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
c82e5,Shallow Question,html.Page,1_1_1_1_0,NA,NA,form submission,4727.38,118894,118869.1,118904.62,123632,123633,2024-05-25T18:52:10Z,123637.84,"c(""distractor1"", ""distractor2"", ""distractor3"")",Kritik,lawama,s,dereva,nafasi,mawazo,nafasi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
c82e5,"""Richtig""-Screen",canvas.Screen,1_1_1_1_1,NA,NA,skipped,NA,123634,NA,NA,123632,123634,2024-05-25T18:52:10Z,123637.84,"c(""distractor1"", ""distractor2"", ""distractor3"")",Kritik,lawama,s,dereva,nafasi,mawazo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
c82e5,"""Falsch""-Screen",canvas.Screen,1_1_1_1_2,NA,NA,timeout,4993.06,123636,123628.32,123637.84,128614.2,128615,2024-05-25T18:52:15Z,128630.9,"c(""distractor1"", ""distractor2"", ""distractor3"")",Kritik,lawama,s,dereva,nafasi,mawazo,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
c82e5,shallow,flow.Sequence,1_1_1_1,NA,NA,completion,9709.58,118894,118869.1,118904.62,128614.2,128616,2024-05-25T18:52:15Z,128630.9,"c(""distractor1"", ""distractor2"", ""distractor3"")",Kritik,lawama,s,dereva,nafasi,mawazo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
c82e5,task,flow.Sequence,1_1_1,NA,NA,completion,9709.58,118893,118869.1,118904.62,128614.2,128616,2024-05-25T18:52:15Z,128630.9,"c(""distractor1"", ""distractor2"", ""distractor3"")",Kritik,lawama,s,dereva,nafasi,mawazo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
c82e5,Deep Question,html.Page,1_1_2_0_0,NA,NA,form submission,9836.1,128616,128614.2,128630.9,138467,138467,2024-05-25T18:52:25Z,138475.6,"c(""distractor1"", ""distractor2"", ""distractor3"")",Schatten,kivuli,d,NA,NA,NA,lopo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
c82e5,"""Richtig""-Screen",canvas.Screen,1_1_2_0_1,NA,NA,skipped,NA,138468,NA,NA,138467,138468,2024-05-25T18:52:25Z,138475.6,"c(""distractor1"", ""distractor2"", ""distractor3"")",Schatten,kivuli,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
c82e5,"""Falsch""-Screen",canvas.Screen,1_1_2_0_2,NA,NA,timeout,5004.54,138470,138463.56,138475.6,143463.44,143466,2024-05-25T18:52:30Z,143480.14,"c(""distractor1"", ""distractor2"", ""distractor3"")",Schatten,kivuli,d,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
c82e5,deep,flow.Sequence,1_1_2_0,NA,NA,completion,14832.54,128616,128614.2,128630.9,143463.44,143466,2024-05-25T18:52:30Z,143480.14,"c(""distractor1"", ""distractor2"", ""distractor3"")",Schatten,kivuli,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
