observation;sender;sender_type;sender_id;response;response_action;ended_on;duration;time_run;time_render;time_show;time_end;time_commit;timestamp;time_switch;distractors;german;swahili;enc;distractor1;distractor2;distractor3;response_2;x;correct;x_2;url_vp;url_sess;meta_labjs_version;meta_location;meta_user_agent;meta_platform;meta_language;meta_locale;meta_time_zone;meta_timezone_offset;meta_screen_width;meta_screen_height;meta_scroll_width;meta_scroll_height;meta_window_inner_width;meta_window_inner_height;meta_device_pixel_ratio;meta_labjs_build_flavor;meta_labjs_build_commit;;;;
a247c;Introduction;general;canvas.Screen;0;weiter;keypress(q);response;59121.56;717;728.68;745.44;59867;59887;2023-05-07T09:27:09Z;59891.86;NULL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;170;1;20.02.2004;https://neurocog.fernuni.ch/studies/vweber/sliechti/encoding_immediate/index.html?vp=170&sess=1;Mozilla/5.0;(Windows;NT;10;;;;;;;;;;;;;;
a247c;Introduction;practice;canvas.Screen;1_0;NA;keypress(Space);response;11600.14;59891;59891.26;59891.86;71492;71503;2023-05-07T09:27:21Z;71505.94;NULL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;
a247c;Deep;Question;html.Page;1_1_0_0_0;NA;NA;form;submission;8109.06;71504;71505.56;71505.94;79615;79615;2023-05-07T09:27:29Z;79618.62;"c(""distractor1"", ""distractor2"", ""distractor3"")";Gesundheit;salama;d;NA;NA;NA;health;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
a247c;"""Richtig""-Screen";canvas.Screen;1_1_0_0_1;NA;NA;skipped;NA;79619;NA;NA;79615;79619;2023-05-07T09:27:29Z;79618.62;"c(""distractor1"", ""distractor2"", ""distractor3"")";Gesundheit;salama;d;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;
a247c;"""Falsch""-Screen";canvas.Screen;1_1_0_0_2;NA;NA;timeout;4999.36;79622;79605.54;79618.62;84601.46;84604;2023-05-07T09:27:34Z;84617.98;"c(""distractor1"", ""distractor2"", ""distractor3"")";Gesundheit;salama;d;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;
a247c;deep;flow.Sequence;1_1_0_0;NA;NA;completion;13095.52;71504;71505.56;71505.94;84601.46;84604;2023-05-07T09:27:34Z;84617.98;"c(""distractor1"", ""distractor2"", ""distractor3"")";Gesundheit;salama;d;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;
a247c;shallow;flow.Sequence;1_1_0_1;NA;NA;skipped;NA;84605;NA;NA;84601.46;84606;2023-05-07T09:27:34Z;84617.98;"c(""distractor1"", ""distractor2"", ""distractor3"")";Gesundheit;salama;d;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;
a247c;task;flow.Sequence;1_1_0;NA;NA;completion;13095.52;71504;71505.56;71505.94;84601.46;84606;2023-05-07T09:27:34Z;84617.98;"c(""distractor1"", ""distractor2"", ""distractor3"")";Gesundheit;salama;d;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;
a247c;Deep;Question;html.Page;1_1_1_0_0;NA;NA;form;submission;9787.02;84607;84601.46;84617.98;94405;94406;2023-05-07T09:27:44Z;94416.84;"c(""distractor1"", ""distractor2"", ""distractor3"")";Qualität;mtindo;d;NA;NA;NA;sfdg;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
a247c;"""Richtig""-Screen";canvas.Screen;1_1_1_0_1;NA;NA;skipped;NA;94411;NA;NA;94405;94411;2023-05-07T09:27:44Z;94416.84;"c(""distractor1"", ""distractor2"", ""distractor3"")";Qualität;mtindo;d;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;
a247c;"""Falsch""-Screen";canvas.Screen;1_1_1_0_2;NA;NA;timeout;4999.26;94414;94400.48;94416.84;99399.62;99402;2023-05-07T09:27:49Z;99416.1;"c(""distractor1"", ""distractor2"", ""distractor3"")";Qualität;mtindo;d;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;
a247c;deep;flow.Sequence;1_1_1_0;NA;NA;completion;14781.64;84607;84601.46;84617.98;99399.62;99403;2023-05-07T09:27:49Z;99416.1;"c(""distractor1"", ""distractor2"", ""distractor3"")";Qualität;mtindo;d;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;
a247c;shallow;flow.Sequence;1_1_1_1;NA;NA;skipped;NA;99404;NA;NA;99399.62;99404;2023-05-07T09:27:49Z;99416.1;"c(""distractor1"", ""distractor2"", ""distractor3"")";Qualität;mtindo;d;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;
a247c;task;flow.Sequence;1_1_1;NA;NA;completion;14781.64;84607;84601.46;84617.98;99399.62;99405;2023-05-07T09:27:49Z;99416.1;"c(""distractor1"", ""distractor2"", ""distractor3"")";Qualität;mtindo;d;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;
a247c;Deep;Question;html.Page;1_1_2_0_0;NA;NA;form;submission;6669.9;99406;99399.62;99416.1;106086;106087;2023-05-07T09:27:55Z;106098.7;"c(""distractor1"", ""distractor2"", ""distractor3"")";Schatten;kivuli;d;NA;NA;NA;sfs;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
a247c;"""Richtig""-Screen";canvas.Screen;1_1_2_0_1;NA;NA;skipped;NA;106092;NA;NA;106086;106093;2023-05-07T09:27:55Z;106098.7;"c(""distractor1"", ""distractor2"", ""distractor3"")";Schatten;kivuli;d;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;
a247c;"""Falsch""-Screen";canvas.Screen;1_1_2_0_2;NA;NA;timeout;4999.46;106098;106077.82;106098.7;111081.74;111084;2023-05-07T09:28:00Z;111098.16;"c(""distractor1"", ""distractor2"", ""distractor3"")";Schatten;kivuli;d;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;
a247c;deep;flow.Sequence;1_1_2_0;NA;NA;completion;11665.64;99406;99399.62;99416.1;111081.74;111084;2023-05-07T09:28:00Z;111098.16;"c(""distractor1"", ""distractor2"", ""distractor3"")";Schatten;kivuli;d;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;
