observation;sender;sender_type;sender_id;response;response_action;ended_on;duration;time_run;time_render;time_show;time_end;time_commit;timestamp;time_switch;german;swahili;enc;distractor1;distractor2;distractor3;response_2;x;correct;distractors;url_vp;url_sess;meta_labjs_version;meta_location;meta_user_agent;meta_platform;meta_language;meta_locale;meta_time_zone;meta_timezone_offset;meta_screen_width;meta_screen_height;meta_scroll_width;meta_scroll_height;meta_window_inner_width;meta_window_inner_height;meta_device_pixel_ratio;meta_labjs_build_flavor;meta_labjs_build_commit;;;;
054fb;Introduction;delayed;retrieval;canvas.Screen;0;weiter;keypress(Space);response;6967.676;633.9;628.378;645.224;7612.9;7614.6;2023-05-28T13:19:58Z;7622.497;NA;NA;NA;NA;NA;NA;NA;NA;NA;NULL;172;2;20.02.2004;https://neurocog.fernuni.ch/studies/vweber/sliechti/delayed/index.html?vp=172&sess=2;Mozilla/5.0 (Windows NT 10.0;;;;;;;;;;;;;;;;
054fb;Deep;Question;html.Page;1_0_0_0;NA;NA;form;submission;27854.403;7615.1;7606.225;7622.497;35476.9;35477.2;2023-05-28T13:20:26Z;35482.924;Genehmigung;idhini;s;mwanamke;itikadi;fedheha;öklj;NA;NA;NULL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
054fb;Save;data;screen;canvas.Screen;1_0_0_1;NA;NA;timeout;499.812;35478.9;35466.272;35482.924;35965.84;35966.9;2023-05-28T13:20:27Z;35982.736;Genehmigung;idhini;s;mwanamke;itikadi;fedheha;NA;NA;0;NULL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
054fb;deep;flow.Sequence;1_0_0;NA;NA;completion;28343.343;7615;7606.225;7622.497;35965.84;35967.3;2023-05-28T13:20:27Z;35982.736;Genehmigung;idhini;s;mwanamke;itikadi;fedheha;NA;NA;NA;NULL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;
054fb;task;flow.Sequence;1_0;NA;NA;completion;28343.343;7615;7606.225;7622.497;35965.84;35967.5;2023-05-28T13:20:27Z;35982.736;Genehmigung;idhini;s;mwanamke;itikadi;fedheha;NA;NA;NA;NULL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;
054fb;Deep;Question;html.Page;1_1_0_0;NA;NA;form;submission;5608.264;35967.8;35965.84;35982.736;41591;41591.2;2023-05-28T13:20:32Z;41594.498;Betrüger;mdanganyifu;s;mwanamuziki;wastani;mahakama;mdafangoyiu;NA;NA;NULL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
054fb;Save;data;screen;canvas.Screen;1_1_0_1;NA;NA;timeout;499.985;41592.6;41577.695;41594.498;42077.782;42078.4;2023-05-28T13:20:33Z;42094.483;Betrüger;mdanganyifu;s;mwanamuziki;wastani;mahakama;NA;NA;0;NULL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
054fb;deep;flow.Sequence;1_1_0;NA;NA;completion;6095.046;35967.7;35965.84;35982.736;42077.782;42078.5;2023-05-28T13:20:33Z;42094.483;Betrüger;mdanganyifu;s;mwanamuziki;wastani;mahakama;NA;NA;NA;NULL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;
054fb;task;flow.Sequence;1_1;NA;NA;completion;6095.046;35967.6;35965.84;35982.736;42077.782;42078.6;2023-05-28T13:20:33Z;42094.483;Betrüger;mdanganyifu;s;mwanamuziki;wastani;mahakama;NA;NA;NA;NULL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;
054fb;Deep;Question;html.Page;1_2_0_0;NA;NA;form;submission;6016.017;42078.7;42077.782;42094.483;48110.5;48110.8;2023-05-28T13:20:39Z;48122.431;Erneuerung;ukarabati;d;ushawishi;ukalifu;unyonyaji;ohinli;NA;NA;NULL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
054fb;Save;data;screen;canvas.Screen;1_2_0_1;NA;NA;timeout;499.851;48112.2;48105.993;48122.431;48605.569;48606.5;2023-05-28T13:20:39Z;48622.282;Erneuerung;ukarabati;d;ushawishi;ukalifu;unyonyaji;NA;NA;0;NULL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
054fb;deep;flow.Sequence;1_2_0;NA;NA;completion;6511.086;42078.7;42077.782;42094.483;48605.569;48606.8;2023-05-28T13:20:39Z;48622.282;Erneuerung;ukarabati;d;ushawishi;ukalifu;unyonyaji;NA;NA;NA;NULL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;
054fb;task;flow.Sequence;1_2;NA;NA;completion;6511.086;42078.6;42077.782;42094.483;48605.569;48606.9;2023-05-28T13:20:39Z;48622.282;Erneuerung;ukarabati;d;ushawishi;ukalifu;unyonyaji;NA;NA;NA;NULL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;
054fb;Deep;Question;html.Page;1_3_0_0;NA;NA;form;submission;5302.118;48607.1;48605.569;48622.282;53924.4;53924.6;2023-05-28T13:20:45Z;53934.301;Respekt;heshima;d;changamnao;upinzani;ufanisi;heshima;NA;NA;NULL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
