observation;sender;sender_type;sender_id;response;response_action;ended_on;duration;time_run;time_render;time_show;time_end;time_commit;timestamp;time_switch;distractors;german;swahili;enc;distractor1;distractor2;distractor3;response_2;x;correct;x_2;url_vp;url_sess;meta_labjs_version;meta_location;meta_user_agent;meta_platform;meta_language;meta_locale;meta_time_zone;meta_timezone_offset;meta_screen_width;meta_screen_height;meta_scroll_width;meta_scroll_height;meta_window_inner_width;meta_window_inner_height;meta_device_pixel_ratio;meta_labjs_build_flavor;meta_labjs_build_commit;;;;
f2dbe;Introduction;general;canvas.Screen;0;weiter;keypress(q);response;8893.72;541;535.6;552.28;9446;9468;2023-06-16T11:31:59Z;9472.8;NULL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;172;3;20.02.2004;https://neurocog.fernuni.ch/studies/vweber/sliechti/encoding_immediate/index.html?vp=172&sess=3;Mozilla/5.0;(Windows;NT;10;;;;;;;;;;;;;;
f2dbe;Introduction;practice;canvas.Screen;1_0;NA;keypress(Space);response;4068.2;9472;9472.24;9472.8;13541;13563;2023-06-16T11:32:04Z;13567.3;NULL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;
f2dbe;deep;flow.Sequence;1_1_0_0;NA;NA;skipped;NA;13565;NA;NA;13541;13565;2023-06-16T11:32:04Z;13567.3;"c(""distractor1"", ""distractor2"", ""distractor3"")";Gegenwart;hadhara;s;katiba;jokofu;mikopo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;
f2dbe;Shallow;Question;html.Page;1_1_0_1_0;NA;NA;form;submission;11753.7;13566;13565.74;13567.3;25321;25321;2023-06-16T11:32:15Z;25315.84;"c(""distractor1"", ""distractor2"", ""distractor3"")";Gegenwart;hadhara;s;katiba;jokofu;mikopo;hadhara;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
f2dbe;"""Richtig""-Screen";canvas.Screen;1_1_0_1_1;NA;NA;timeout;4999.34;25326;25297.6;25315.84;30298.5;30301;2023-06-16T11:32:20Z;30315.18;"c(""distractor1"", ""distractor2"", ""distractor3"")";Gegenwart;hadhara;s;katiba;jokofu;mikopo;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;
f2dbe;"""Falsch""-Screen";canvas.Screen;1_1_0_1_2;NA;NA;skipped;NA;30309;NA;NA;30298.5;30309;2023-06-16T11:32:20Z;30315.18;"c(""distractor1"", ""distractor2"", ""distractor3"")";Gegenwart;hadhara;s;katiba;jokofu;mikopo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;
f2dbe;shallow;flow.Sequence;1_1_0_1;NA;NA;completion;16731.2;13566;13565.74;13567.3;30298.5;30310;2023-06-16T11:32:20Z;30315.18;"c(""distractor1"", ""distractor2"", ""distractor3"")";Gegenwart;hadhara;s;katiba;jokofu;mikopo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;
f2dbe;task;flow.Sequence;1_1_0;NA;NA;completion;16731.2;13565;13565.74;13567.3;30298.5;30311;2023-06-16T11:32:20Z;30315.18;"c(""distractor1"", ""distractor2"", ""distractor3"")";Gegenwart;hadhara;s;katiba;jokofu;mikopo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;
f2dbe;deep;flow.Sequence;1_1_1_0;NA;NA;skipped;NA;30311;NA;NA;30298.5;30312;2023-06-16T11:32:20Z;30315.18;"c(""distractor1"", ""distractor2"", ""distractor3"")";Kritik;lawama;s;dereva;nafasi;mawazo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;
f2dbe;Shallow;Question;html.Page;1_1_1_1_0;NA;NA;form;submission;5258.82;30312;30298.5;30315.18;35574;35574;2023-06-16T11:32:26Z;35581.22;"c(""distractor1"", ""distractor2"", ""distractor3"")";Kritik;lawama;s;dereva;nafasi;mawazo;mawazo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
