observation,sender,sender_type,sender_id,response,response_action,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,distractors,german,swahili,enc,distractor1,distractor2,distractor3,response_2,x,correct,x_2,url_vp,url_sess,meta_labjs_version,meta_location,meta_user_agent,meta_platform,meta_language,meta_locale,meta_time_zone,meta_timezone_offset,meta_screen_width,meta_screen_height,meta_scroll_width,meta_scroll_height,meta_window_inner_width,meta_window_inner_height,meta_device_pixel_ratio,meta_labjs_build_flavor,meta_labjs_build_commit
b1e4d,Introduction general,canvas.Screen,0,weiter,keypress(q),response,66507.42,997,1031.56,1081.58,67589,67597,2023-04-28T12:28:19Z,67598.96,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,3,20.2.4,https://neurocog.fernuni.ch/studies/vweber/encoding_immediate/index.html?vp=117&sess=3,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:109.0) Gecko/20100101 Firefox/110.0,MacIntel,de,de-CH,Europe/Zurich,-120,1680,1050,1434,707,1434,755,2,production,f5b4a49f956347addd546a832a3327688c2c0fef
b1e4d,Introduction practice,canvas.Screen,1_0,NA,keypress(Space),response,9653.04,67599,67598.7,67598.96,77252,77258,2023-04-28T12:28:28Z,77259.88,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
b1e4d,Deep Question,html.Page,1_1_0_0_0,NA,NA,form submission,11551.12,77260,77259.62,77259.88,88811,88812,2023-04-28T12:28:40Z,88822.48,"c(""distractor1"", ""distractor2"", ""distractor3"")",Qualität,mtindo,d,NA,NA,NA,kualshahi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
b1e4d,"""Richtig""-Screen",canvas.Screen,1_1_0_0_1,NA,NA,skipped,NA,88817,NA,NA,88811,88817,2023-04-28T12:28:40Z,88822.48,"c(""distractor1"", ""distractor2"", ""distractor3"")",Qualität,mtindo,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
b1e4d,"""Falsch""-Screen",canvas.Screen,1_1_0_0_2,NA,NA,timeout,4999.98,88820,88808.24,88822.48,93805.08,93805,2023-04-28T12:28:45Z,93822.46,"c(""distractor1"", ""distractor2"", ""distractor3"")",Qualität,mtindo,d,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
b1e4d,deep,flow.Sequence,1_1_0_0,NA,NA,completion,16545.2,77259,77259.62,77259.88,93805.08,93806,2023-04-28T12:28:45Z,93822.46,"c(""distractor1"", ""distractor2"", ""distractor3"")",Qualität,mtindo,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
b1e4d,shallow,flow.Sequence,1_1_0_1,NA,NA,skipped,NA,93806,NA,NA,93805.08,93806,2023-04-28T12:28:45Z,93822.46,"c(""distractor1"", ""distractor2"", ""distractor3"")",Qualität,mtindo,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
b1e4d,task,flow.Sequence,1_1_0,NA,NA,completion,16545.2,77259,77259.62,77259.88,93805.08,93806,2023-04-28T12:28:45Z,93822.46,"c(""distractor1"", ""distractor2"", ""distractor3"")",Qualität,mtindo,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
b1e4d,deep,flow.Sequence,1_1_1_0,NA,NA,skipped,NA,93807,NA,NA,93805.08,93807,2023-04-28T12:28:45Z,93822.46,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gegenwart,hadhara,s,katiba,jokofu,mikopo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
b1e4d,Shallow Question,html.Page,1_1_1_1_0,NA,NA,form submission,8188.54,93807,93805.08,93822.46,102011,102012,2023-04-28T12:28:53Z,102009.92,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gegenwart,hadhara,s,katiba,jokofu,mikopo,hadhara,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
