observation,sender,sender_type,sender_id,response,response_action,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,german,swahili,enc,distractor1,distractor2,distractor3,response_2,x,correct,distractors,url_vp,url_sess,meta_labjs_version,meta_location,meta_user_agent,meta_platform,meta_language,meta_locale,meta_time_zone,meta_timezone_offset,meta_screen_width,meta_screen_height,meta_scroll_width,meta_scroll_height,meta_window_inner_width,meta_window_inner_height,meta_device_pixel_ratio,meta_labjs_build_flavor,meta_labjs_build_commit
d27c6,Introduction delayed retrieval,canvas.Screen,0,weiter,keypress(Space),response,32401.092999809,1018.3999998569,1024.764,1058.107,33459.199999809,33467.799999952,2023-03-23T19:39:17Z,33480.316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,200,4,20.2.4,https://neurocog.fernuni.ch/studies/vweber/sfink/delayed/index.html?vp=200&sess=4,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36",Win32,de-DE,de,Europe/Zurich,-60,1368,912,1368,713,1368,761,2,production,f5b4a49f956347addd546a832a3327688c2c0fef
d27c6,Deep Question,html.Page,1_0_0_0,NA,NA,form submission,2400.3839998093,33468.399999857,33451.134,33480.316,35880.699999809,35881,2023-03-23T19:39:20Z,35882.109,Atmosphäre,angahewa,s,kuteseka,usahihi,kutoamini,a,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
d27c6,Save data screen,canvas.Screen,1_0_0_1,NA,NA,timeout,501.83100000001,35882.799999952,35865.211,35882.109,36366.072,36368,2023-03-23T19:39:20Z,36383.94,Atmosphäre,angahewa,s,kuteseka,usahihi,kutoamini,NA,NA,0,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
d27c6,deep,flow.Sequence,1_0_0,NA,NA,completion,2885.756,33468.399999857,33451.134,33480.316,36366.072,36378.199999809,2023-03-23T19:39:20Z,36383.94,Atmosphäre,angahewa,s,kuteseka,usahihi,kutoamini,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
d27c6,task,flow.Sequence,1_0,NA,NA,completion,2885.756,33468.299999952,33451.134,33480.316,36366.072,36378.699999809,2023-03-23T19:39:20Z,36383.94,Atmosphäre,angahewa,s,kuteseka,usahihi,kutoamini,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
d27c6,Deep Question,html.Page,1_1_0_0,NA,NA,form submission,2616.2599998093,36379,36366.072,36383.94,39000.199999809,39000.599999905000,2023-03-23T19:39:23Z,39023.989,Begegnung,kukutana,s,mmasihiya,mpiganaji,husiano,a,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
d27c6,Save data screen,canvas.Screen,1_1_0_1,NA,NA,timeout,494.173,39001.899999857,38984.396,39023.989,39501.454,39502.899999857,2023-03-23T19:39:23Z,39518.162,Begegnung,kukutana,s,mmasihiya,mpiganaji,husiano,NA,NA,0,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
d27c6,deep,flow.Sequence,1_1_0,NA,NA,completion,3117.514,36379,36366.072,36383.94,39501.454,39503.699999809,2023-03-23T19:39:23Z,39518.162,Begegnung,kukutana,s,mmasihiya,mpiganaji,husiano,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
d27c6,task,flow.Sequence,1_1,NA,NA,completion,3117.514,36379,36366.072,36383.94,39501.454,39504.199999809,2023-03-23T19:39:23Z,39518.162,Begegnung,kukutana,s,mmasihiya,mpiganaji,husiano,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
d27c6,Deep Question,html.Page,1_2_0_0,NA,NA,form submission,2341.9379999046,39504.599999905000,39501.454,39518.162,41860.099999905000,41860.599999905000,2023-03-23T19:39:26Z,41869.419,Vorwurf,mashtaka,s,msukumo,mtangulizi,uenyekiti,a,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
