observation,sender,sender_type,sender_id,response,response_action,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,distractors,german,swahili,enc,distractor1,distractor2,distractor3,response_2,x,correct,x_2,url_vp,url_sess,meta_labjs_version,meta_location,meta_user_agent,meta_platform,meta_language,meta_locale,meta_time_zone,meta_timezone_offset,meta_screen_width,meta_screen_height,meta_scroll_width,meta_scroll_height,meta_window_inner_width,meta_window_inner_height,meta_device_pixel_ratio,meta_labjs_build_flavor,meta_labjs_build_commit
258a8,Introduction general,canvas.Screen,0,weiter,keypress(q),response,2565425.728,1749.6999999881,671.256,1786.972,2567212.7,2567216.4,2023-05-16T16:06:53Z,2567221.874,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,212,3,20.2.4,https://neurocog.fernuni.ch/studies/vweber/sfink/encoding_immediate/index.html?vp=212&sess=3,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36",Win32,de-CH,de,Europe/Zurich,-120,1536,864,1536,706,1536,754,1.25,production,f5b4a49f956347addd546a832a3327688c2c0fef
258a8,Introduction practice,canvas.Screen,1_0,NA,keypress(Space),response,10874.025999976,2567217.3,2567206.049,2567221.874,2578095.9,2578097.3,2023-05-16T16:07:04Z,2578113.005,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258a8,Deep Question,html.Page,1_1_0_0_0,NA,NA,form submission,4350.3949999763,2578097.8,2578095.751,2578113.005,2582463.4,2582463.6,2023-05-16T16:07:08Z,2582476.015,"c(""distractor1"", ""distractor2"", ""distractor3"")",Schatten,kivuli,d,NA,NA,NA,b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258a8,"""Richtig""-Screen",canvas.Screen,1_1_0_0_1,NA,NA,skipped,NA,2582465.7,NA,NA,2582463.4,2582465.9,2023-05-16T16:07:08Z,2582476.015,"c(""distractor1"", ""distractor2"", ""distractor3"")",Schatten,kivuli,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258a8,"""Falsch""-Screen",canvas.Screen,1_1_0_0_2,NA,NA,timeout,4995.9219999998,2582467.4,2582459.96,2582476.015,2587455.327,2587468.4,2023-05-16T16:07:13Z,2587471.937,"c(""distractor1"", ""distractor2"", ""distractor3"")",Schatten,kivuli,d,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258a8,deep,flow.Sequence,1_1_0_0,NA,NA,completion,9342.3220000002,2578097.8,2578095.751,2578113.005,2587455.327,2587469,2023-05-16T16:07:13Z,2587471.937,"c(""distractor1"", ""distractor2"", ""distractor3"")",Schatten,kivuli,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258a8,shallow,flow.Sequence,1_1_0_1,NA,NA,skipped,NA,2587469.1,NA,NA,2587455.327,2587469.4,2023-05-16T16:07:13Z,2587471.937,"c(""distractor1"", ""distractor2"", ""distractor3"")",Schatten,kivuli,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258a8,task,flow.Sequence,1_1_0,NA,NA,completion,9342.3220000002,2578097.7,2578095.751,2578113.005,2587455.327,2587469.6,2023-05-16T16:07:13Z,2587471.937,"c(""distractor1"", ""distractor2"", ""distractor3"")",Schatten,kivuli,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258a8,deep,flow.Sequence,1_1_1_0,NA,NA,skipped,NA,2587469.9,NA,NA,2587455.327,2587470.1,2023-05-16T16:07:13Z,2587471.937,"c(""distractor1"", ""distractor2"", ""distractor3"")",Rückhalt,msaada,s,muhula,auwali,kiwimbe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258a8,Shallow Question,html.Page,1_1_1_1_0,NA,NA,form submission,3935.2629999882,2587470.5,2587455.327,2587471.937,2591407.2,2591407.4,2023-05-16T16:07:17Z,2591418.823,"c(""distractor1"", ""distractor2"", ""distractor3"")",Rückhalt,msaada,s,muhula,auwali,kiwimbe,kiwimbe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258a8,"""Richtig""-Screen",canvas.Screen,1_1_1_1_1,NA,NA,skipped,NA,2591409.4,NA,NA,2591407.2,2591409.5,2023-05-16T16:07:17Z,2591418.823,"c(""distractor1"", ""distractor2"", ""distractor3"")",Rückhalt,msaada,s,muhula,auwali,kiwimbe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258a8,"""Falsch""-Screen",canvas.Screen,1_1_1_1_2,NA,NA,timeout,4995.7460000003,2591410.3,2591402.55,2591418.823,2596398.24,2596399.5,2023-05-16T16:07:22Z,2596414.569,"c(""distractor1"", ""distractor2"", ""distractor3"")",Rückhalt,msaada,s,muhula,auwali,kiwimbe,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258a8,shallow,flow.Sequence,1_1_1_1,NA,NA,completion,8926.3030000003,2587470.3,2587455.327,2587471.937,2596398.24,2596400,2023-05-16T16:07:22Z,2596414.569,"c(""distractor1"", ""distractor2"", ""distractor3"")",Rückhalt,msaada,s,muhula,auwali,kiwimbe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258a8,task,flow.Sequence,1_1_1,NA,NA,completion,8926.3030000003,2587469.9,2587455.327,2587471.937,2596398.24,2596400.3,2023-05-16T16:07:22Z,2596414.569,"c(""distractor1"", ""distractor2"", ""distractor3"")",Rückhalt,msaada,s,muhula,auwali,kiwimbe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258a8,Deep Question,html.Page,1_1_2_0_0,NA,NA,form submission,3965.830999976,2596400.8,2596398.24,2596414.569,2600380.4,2600380.6,2023-05-16T16:07:26Z,2600394.901,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gesundheit,salama,d,NA,NA,NA,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258a8,"""Richtig""-Screen",canvas.Screen,1_1_2_0_1,NA,NA,skipped,NA,2600383.1,NA,NA,2600380.4,2600383.3,2023-05-16T16:07:26Z,2600394.901,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gesundheit,salama,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258a8,"""Falsch""-Screen",canvas.Screen,1_1_2_0_2,NA,NA,timeout,4995.642,2600384.3,2600378.527,2600394.901,2605373.878,2605374.9,2023-05-16T16:07:31Z,2605390.543,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gesundheit,salama,d,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258a8,deep,flow.Sequence,1_1_2_0,NA,NA,completion,8959.3089999999,2596400.7,2596398.24,2596414.569,2605373.878,2605375.2,2023-05-16T16:07:31Z,2605390.543,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gesundheit,salama,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258a8,shallow,flow.Sequence,1_1_2_1,NA,NA,skipped,NA,2605375.5,NA,NA,2605373.878,2605375.7,2023-05-16T16:07:31Z,2605390.543,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gesundheit,salama,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258a8,task,flow.Sequence,1_1_2,NA,NA,completion,8959.3089999999,2596400.6,2596398.24,2596414.569,2605373.878,2605376,2023-05-16T16:07:31Z,2605390.543,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gesundheit,salama,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258a8,deep,flow.Sequence,1_1_3_0,NA,NA,skipped,NA,2605376.2,NA,NA,2605373.878,2605376.4,2023-05-16T16:07:31Z,2605390.543,"c(""distractor1"", ""distractor2"", ""distractor3"")",Kritik,lawama,s,dereva,nafasi,mawazo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258a8,Shallow Question,html.Page,1_1_3_1_0,NA,NA,form submission,3813.8569999761,2605376.5,2605373.878,2605390.543,2609204.4,2609204.5,2023-05-16T16:07:35Z,2609230.326,"c(""distractor1"", ""distractor2"", ""distractor3"")",Kritik,lawama,s,dereva,nafasi,mawazo,dereva,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258a8,"""Richtig""-Screen",canvas.Screen,1_1_3_1_1,NA,NA,skipped,NA,2609206.4,NA,NA,2609204.4,2609206.6,2023-05-16T16:07:35Z,2609230.326,"c(""distractor1"", ""distractor2"", ""distractor3"")",Kritik,lawama,s,dereva,nafasi,mawazo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258a8,"""Falsch""-Screen",canvas.Screen,1_1_3_1_2,NA,NA,timeout,5002.9029999999,2609207.1,2609187.905,2609230.326,2614216.6,2614228,2023-05-16T16:07:40Z,2614233.229,"c(""distractor1"", ""distractor2"", ""distractor3"")",Kritik,lawama,s,dereva,nafasi,mawazo,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258a8,shallow,flow.Sequence,1_1_3_1,NA,NA,completion,8826.057,2605376.5,2605373.878,2605390.543,2614216.6,2614228.4,2023-05-16T16:07:40Z,2614233.229,"c(""distractor1"", ""distractor2"", ""distractor3"")",Kritik,lawama,s,dereva,nafasi,mawazo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258a8,task,flow.Sequence,1_1_3,NA,NA,completion,8826.057,2605376.1,2605373.878,2605390.543,2614216.6,2614228.7,2023-05-16T16:07:40Z,2614233.229,"c(""distractor1"", ""distractor2"", ""distractor3"")",Kritik,lawama,s,dereva,nafasi,mawazo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258a8,Deep Question,html.Page,1_1_4_0_0,NA,NA,form submission,2910.5710000121,2614229,2614216.6,2614233.229,2617143.8,2617143.9,2023-05-16T16:07:43Z,2617147.473,"c(""distractor1"", ""distractor2"", ""distractor3"")",Qualität,mtindo,d,NA,NA,NA,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258a8,"""Richtig""-Screen",canvas.Screen,1_1_4_0_1,NA,NA,skipped,NA,2617146.6,NA,NA,2617143.8,2617146.7,2023-05-16T16:07:43Z,2617147.473,"c(""distractor1"", ""distractor2"", ""distractor3"")",Qualität,mtindo,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258a8,"""Falsch""-Screen",canvas.Screen,1_1_4_0_2,NA,NA,timeout,4996.1379999998,2617147.9,2617131.418,2617147.473,2622126.732,2622127.6,2023-05-16T16:07:48Z,2622143.611,"c(""distractor1"", ""distractor2"", ""distractor3"")",Qualität,mtindo,d,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258a8,deep,flow.Sequence,1_1_4_0,NA,NA,completion,7893.503,2614228.9,2614216.6,2614233.229,2622126.732,2622128,2023-05-16T16:07:48Z,2622143.611,"c(""distractor1"", ""distractor2"", ""distractor3"")",Qualität,mtindo,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258a8,shallow,flow.Sequence,1_1_4_1,NA,NA,skipped,NA,2622128.2,NA,NA,2622126.732,2622128.3,2023-05-16T16:07:48Z,2622143.611,"c(""distractor1"", ""distractor2"", ""distractor3"")",Qualität,mtindo,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258a8,task,flow.Sequence,1_1_4,NA,NA,completion,7893.503,2614228.8,2614216.6,2614233.229,2622126.732,2622128.6,2023-05-16T16:07:48Z,2622143.611,"c(""distractor1"", ""distractor2"", ""distractor3"")",Qualität,mtindo,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258a8,deep,flow.Sequence,1_1_5_0,NA,NA,skipped,NA,2622128.9,NA,NA,2622126.732,2622128.9,2023-05-16T16:07:48Z,2622143.611,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gegenwart,hadhara,s,katiba,jokofu,mikopo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258a8,Shallow Question,html.Page,1_1_5_1_0,NA,NA,form submission,3892.1890000119,2622129.1,2622126.732,2622143.611,2626035.8,2626036,2023-05-16T16:07:52Z,2626040.116,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gegenwart,hadhara,s,katiba,jokofu,mikopo,hadhara,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258a8,"""Richtig""-Screen",canvas.Screen,1_1_5_1_1,NA,NA,timeout,4995.9550000001,2626037.8,2626024.065,2626040.116,2631019.967,2631021.1,2023-05-16T16:07:57Z,2631036.071,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gegenwart,hadhara,s,katiba,jokofu,mikopo,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258a8,"""Falsch""-Screen",canvas.Screen,1_1_5_1_2,NA,NA,skipped,NA,2631026.2,NA,NA,2631019.967,2631026.5,2023-05-16T16:07:57Z,2631036.071,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gegenwart,hadhara,s,katiba,jokofu,mikopo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
