observation,sender,sender_type,sender_id,response,response_action,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,german,swahili,enc,distractor1,distractor2,distractor3,response_2,x,correct,distractors,url_vp,url_sess,meta_labjs_version,meta_location,meta_user_agent,meta_platform,meta_language,meta_locale,meta_time_zone,meta_timezone_offset,meta_screen_width,meta_screen_height,meta_scroll_width,meta_scroll_height,meta_window_inner_width,meta_window_inner_height,meta_device_pixel_ratio,meta_labjs_build_flavor,meta_labjs_build_commit
f9a42,Introduction delayed retrieval,canvas.Screen,0,weiter,keypress(Space),response,2400.8,1491,1489.52,1506.2,3907,3918,2023-05-19T14:30:21Z,3924.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,213,4,20.2.4,https://neurocog.fernuni.ch/studies/vweber/sfink/delayed/index.html?vp=213&sess=4,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/113.0,Win32,de,de-CH,Europe/Zurich,-120,1368,912,1368,731,1368,779,2,production,f5b4a49f956347addd546a832a3327688c2c0fef
f9a42,Deep Question,html.Page,1_0_0_0,NA,NA,form submission,46193.58,3919,3918.64,3924.42,50118,50120,2023-05-19T14:31:07Z,50139.36,Schlange,foleni,s,uvumilivu,uteuzi,muuzaji,jj,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
f9a42,Save data screen,canvas.Screen,1_0_0_1,NA,NA,timeout,500.32,50130,50116.02,50139.36,50623,50625,2023-05-19T14:31:08Z,50639.68,Schlange,foleni,s,uvumilivu,uteuzi,muuzaji,NA,NA,0,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
f9a42,deep,flow.Sequence,1_0_0,NA,NA,completion,46698.58,3919,3918.64,3924.42,50623,50626,2023-05-19T14:31:08Z,50639.68,Schlange,foleni,s,uvumilivu,uteuzi,muuzaji,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
f9a42,task,flow.Sequence,1_0,NA,NA,completion,46698.58,3919,3918.64,3924.42,50623,50627,2023-05-19T14:31:08Z,50639.68,Schlange,foleni,s,uvumilivu,uteuzi,muuzaji,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
f9a42,Deep Question,html.Page,1_1_0_0,NA,NA,form submission,46166.32,50629,50623,50639.68,96806,96808,2023-05-19T14:31:54Z,96805,Notfall,dharura,d,rairai,malalamiko,ahueni,atera,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
f9a42,Save data screen,canvas.Screen,1_1_0_1,NA,NA,timeout,500.32000000001,96816,96803.7,96805,97288.66,97290,2023-05-19T14:31:54Z,97305.32,Notfall,dharura,d,rairai,malalamiko,ahueni,NA,NA,0,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
f9a42,deep,flow.Sequence,1_1_0,NA,NA,completion,46648.98,50629,50623,50639.68,97288.66,97291,2023-05-19T14:31:54Z,97305.32,Notfall,dharura,d,rairai,malalamiko,ahueni,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
f9a42,task,flow.Sequence,1_1,NA,NA,completion,46648.98,50629,50623,50639.68,97288.66,97292,2023-05-19T14:31:54Z,97305.32,Notfall,dharura,d,rairai,malalamiko,ahueni,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
f9a42,Deep Question,html.Page,1_2_0_0,NA,NA,form submission,45556.68,97294,97288.66,97305.32,142862,142862,2023-05-19T14:32:40Z,142870,Toleranz,kuvumiliana,s,maombolezo,ujasusi,mchekeshaji,uu,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
f9a42,Save data screen,canvas.Screen,1_2_0_1,NA,NA,timeout,500.32000000001,142866,142860.76,142870,143353.64,143356,2023-05-19T14:32:40Z,143370.32,Toleranz,kuvumiliana,s,maombolezo,ujasusi,mchekeshaji,NA,NA,0,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
f9a42,deep,flow.Sequence,1_2_0,NA,NA,completion,46048.32,97294,97288.66,97305.32,143353.64,143358,2023-05-19T14:32:40Z,143370.32,Toleranz,kuvumiliana,s,maombolezo,ujasusi,mchekeshaji,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
f9a42,task,flow.Sequence,1_2,NA,NA,completion,46048.32,97294,97288.66,97305.32,143353.64,143359,2023-05-19T14:32:40Z,143370.32,Toleranz,kuvumiliana,s,maombolezo,ujasusi,mchekeshaji,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
f9a42,Deep Question,html.Page,1_3_0_0,NA,NA,form submission,26321.68,143361,143353.64,143370.32,169692,169693,2023-05-19T14:33:07Z,169705.2,Fenster,dirisha,s,walakini,tasawari,maarifa,ushedili,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
f9a42,Save data screen,canvas.Screen,1_3_0_1,NA,NA,timeout,500.31999999998,169696,169691.9,169705.2,170188.86,170190,2023-05-19T14:33:07Z,170205.52,Fenster,dirisha,s,walakini,tasawari,maarifa,NA,NA,0,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
f9a42,deep,flow.Sequence,1_3_0,NA,NA,completion,26818.54,143359,143353.64,143370.32,170188.86,170191,2023-05-19T14:33:07Z,170205.52,Fenster,dirisha,s,walakini,tasawari,maarifa,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
