observation,sender,sender_type,sender_id,response,response_action,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,distractors,german,swahili,enc,distractor1,distractor2,distractor3,response_2,x,correct,x_2,url_vp,url_sess,meta_labjs_version,meta_location,meta_user_agent,meta_platform,meta_language,meta_locale,meta_time_zone,meta_timezone_offset,meta_screen_width,meta_screen_height,meta_scroll_width,meta_scroll_height,meta_window_inner_width,meta_window_inner_height,meta_device_pixel_ratio,meta_labjs_build_flavor,meta_labjs_build_commit
c5479,Introduction general,canvas.Screen,0,weiter,keypress(q),response,190471.5979999,2426.0999999046,4079196.674,4079230.002,4269701.5999999,4269704.8,2023-05-01T16:29:14Z,4269706.784,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,213,1,20.2.4,https://neurocog.fernuni.ch/studies/vweber/sfink/encoding_immediate/index.html?vp=213&sess=1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36",Win32,de-CH,de,Europe/Zurich,-120,1536,864,1536,706,1536,754,1.25,production,f5b4a49f956347addd546a832a3327688c2c0fef
c5479,Introduction practice,canvas.Screen,1_0,NA,keypress(Space),response,10619.216,4269705.3999999,4269696.396,4269706.784,4280326,4280327.5999999,2023-05-01T16:29:24Z,4280352.952,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
c5479,deep,flow.Sequence,1_1_0_0,NA,NA,skipped,NA,4280328.3999999,NA,NA,4280326,4280330,2023-05-01T16:29:24Z,4280352.952,"c(""distractor1"", ""distractor2"", ""distractor3"")",Rückhalt,msaada,s,muhula,auwali,kiwimbe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
c5479,Shallow Question,html.Page,1_1_0_1_0,NA,NA,form submission,18110.647999905,4280330.1999998,4280330.76,4280352.952,4298463.5999999,4298463.8,2023-05-01T16:29:43Z,4298466.446,"c(""distractor1"", ""distractor2"", ""distractor3"")",Rückhalt,msaada,s,muhula,auwali,kiwimbe,kiwimbe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
c5479,"""Richtig""-Screen",canvas.Screen,1_1_0_1_1,NA,NA,skipped,NA,4298465.1999998,NA,NA,4298463.5999999,4298465.3,2023-05-01T16:29:43Z,4298466.446,"c(""distractor1"", ""distractor2"", ""distractor3"")",Rückhalt,msaada,s,muhula,auwali,kiwimbe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
c5479,"""Falsch""-Screen",canvas.Screen,1_1_0_1_2,NA,NA,timeout,4996.318,4298466.1999998,4298449.788,4298466.446,4303445.825,4303448.8999999,2023-05-01T16:29:48Z,4303462.764,"c(""distractor1"", ""distractor2"", ""distractor3"")",Rückhalt,msaada,s,muhula,auwali,kiwimbe,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
c5479,shallow,flow.Sequence,1_1_0_1,NA,NA,completion,23092.873000001,4280330.1999998,4280330.76,4280352.952,4303445.825,4303449,2023-05-01T16:29:48Z,4303462.764,"c(""distractor1"", ""distractor2"", ""distractor3"")",Rückhalt,msaada,s,muhula,auwali,kiwimbe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
c5479,task,flow.Sequence,1_1_0,NA,NA,completion,23092.873000001,4280328.3,4280330.76,4280352.952,4303445.825,4303449.0999999,2023-05-01T16:29:48Z,4303462.764,"c(""distractor1"", ""distractor2"", ""distractor3"")",Rückhalt,msaada,s,muhula,auwali,kiwimbe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
c5479,deep,flow.Sequence,1_1_1_0,NA,NA,skipped,NA,4303449.1999998,NA,NA,4303445.825,4303449.3,2023-05-01T16:29:48Z,4303462.764,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gegenwart,hadhara,s,katiba,jokofu,mikopo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
c5479,Shallow Question,html.Page,1_1_1_1_0,NA,NA,form submission,13811.135999857,4303449.3999999,4303445.825,4303462.764,4317273.8999999,4317274.1999998,2023-05-01T16:30:01Z,4317284.344,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gegenwart,hadhara,s,katiba,jokofu,mikopo,jokofu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
