observation,sender,sender_type,sender_id,response,response_action,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,distractors,german,swahili,enc,distractor1,distractor2,distractor3,response_2,x,correct,x_2,url_vp,url_sess,meta_labjs_version,meta_location,meta_user_agent,meta_platform,meta_language,meta_locale,meta_time_zone,meta_timezone_offset,meta_screen_width,meta_screen_height,meta_scroll_width,meta_scroll_height,meta_window_inner_width,meta_window_inner_height,meta_device_pixel_ratio,meta_labjs_build_flavor,meta_labjs_build_commit
b015b,Introduction general,canvas.Screen,0,weiter,keypress(q),response,3022250.691,1439.4000000954,712.576,1445.309,3023696,3023700.2,2023-05-31T16:08:57Z,3023703.712,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,218,1,20.2.4,https://neurocog.fernuni.ch/studies/vweber/sfink/encoding_immediate/index.html?vp=218&sess=1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36",Win32,de-CH,de,Europe/Zurich,-120,1536,864,1536,706,1536,754,1.25,production,f5b4a49f956347addd546a832a3327688c2c0fef
b015b,Introduction practice,canvas.Screen,1_0,NA,keypress(Space),response,5934.9880000479,3023700.8000002,3023684.658,3023703.712,3029638.7,3029639.9000001,2023-05-31T16:09:03Z,3029648.801,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
b015b,Deep Question,html.Page,1_1_0_0_0,NA,NA,form submission,15471.799000143,3029640.4000001,3029631.853,3029648.801,3045120.6000001,3045120.8000002,2023-05-31T16:09:19Z,3045136.106,"c(""distractor1"", ""distractor2"", ""distractor3"")",Schatten,kivuli,d,NA,NA,NA,fgr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
b015b,"""Richtig""-Screen",canvas.Screen,1_1_0_0_1,NA,NA,skipped,NA,3045122.5,NA,NA,3045120.6000001,3045122.6000001,2023-05-31T16:09:19Z,3045136.106,"c(""distractor1"", ""distractor2"", ""distractor3"")",Schatten,kivuli,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
b015b,"""Falsch""-Screen",canvas.Screen,1_1_0_0_2,NA,NA,timeout,4995.923,3045123.5,3045119.454,3045136.106,3050115.599,3050120.3000002,2023-05-31T16:09:24Z,3050132.029,"c(""distractor1"", ""distractor2"", ""distractor3"")",Schatten,kivuli,d,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
b015b,deep,flow.Sequence,1_1_0_0,NA,NA,completion,20466.798,3029640.4000001,3029631.853,3029648.801,3050115.599,3050120.9000001,2023-05-31T16:09:24Z,3050132.029,"c(""distractor1"", ""distractor2"", ""distractor3"")",Schatten,kivuli,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
b015b,shallow,flow.Sequence,1_1_0_1,NA,NA,skipped,NA,3050121.1000001,NA,NA,3050115.599,3050121.3000002,2023-05-31T16:09:24Z,3050132.029,"c(""distractor1"", ""distractor2"", ""distractor3"")",Schatten,kivuli,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
b015b,task,flow.Sequence,1_1_0,NA,NA,completion,20466.798,3029640.3000002,3029631.853,3029648.801,3050115.599,3050121.6000001,2023-05-31T16:09:24Z,3050132.029,"c(""distractor1"", ""distractor2"", ""distractor3"")",Schatten,kivuli,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
b015b,deep,flow.Sequence,1_1_1_0,NA,NA,skipped,NA,3050121.9000001,NA,NA,3050115.599,3050122.1000001,2023-05-31T16:09:24Z,3050132.029,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gegenwart,hadhara,s,katiba,jokofu,mikopo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
b015b,Shallow Question,html.Page,1_1_1_1_0,NA,NA,form submission,9233.2710001906,3050122.5,3050115.599,3050132.029,3059365.3000002,3059365.5,2023-05-31T16:09:33Z,3059374.349,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gegenwart,hadhara,s,katiba,jokofu,mikopo,jokofu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
