observation,sender,sender_type,sender_id,response,response_action,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,url_vp,url_sess,meta_labjs_version,meta_location,meta_user_agent,meta_platform,meta_language,meta_locale,meta_time_zone,meta_timezone_offset,meta_screen_width,meta_screen_height,meta_scroll_width,meta_scroll_height,meta_window_inner_width,meta_window_inner_height,meta_device_pixel_ratio,meta_labjs_build_flavor,meta_labjs_build_commit,distractors,german,swahili,enc,distractor1,distractor2,distractor3,x,correct,x_2,response_2
59f2d,Introduction general,canvas.Screen,0,weiter,keypress(q),response,79468.448999928,879.59999990463,873.063,889.751,80358.199999928,80361.899999976,2023-07-03T07:59:56Z,80375.108,220,3,20.2.4,https://neurocog.fernuni.ch/studies/vweber/sfink/encoding_immediate/index.html?vp=220&sess=3,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",Win32,de-CH,de,Europe/Zurich,-120,1536,864,1536,706,1536,754,1.25,production,f5b4a49f956347addd546a832a3327688c2c0fef,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59f2d,Introduction practice,canvas.Screen,1_0,NA,keypress(Space),response,6700.892,80362.099999905,80353.302,80375.108,87076,87077.299999952,2023-07-03T08:00:03Z,87085.657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59f2d,deep,flow.Sequence,1_1_0_0,NA,NA,skipped,NA,87077.899999976,NA,NA,87076,87080.699999928,2023-07-03T08:00:03Z,87085.657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(""distractor1"", ""distractor2"", ""distractor3"")",Rückhalt,msaada,s,muhula,auwali,kiwimbe,NA,NA,NA,NA
59f2d,Shallow Question,html.Page,1_1_0_1_0,muhula,NA,form submission,4348.343,87080.799999952,87068.527,87085.657,91434,91434.199999928,2023-07-03T08:00:07Z,91450.097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(""distractor1"", ""distractor2"", ""distractor3"")",Rückhalt,msaada,s,muhula,auwali,kiwimbe,NA,NA,NA,NA
59f2d,"""Richtig""-Screen",canvas.Screen,1_1_0_1_1,NA,NA,skipped,NA,91435.5,NA,NA,91434,91435.699999928,2023-07-03T08:00:07Z,91450.097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(""distractor1"", ""distractor2"", ""distractor3"")",Rückhalt,msaada,s,muhula,auwali,kiwimbe,NA,NA,NA,NA
59f2d,"""Falsch""-Screen",canvas.Screen,1_1_0_1_2,NA,NA,timeout,4994.465,91436.699999928,91415.282,91450.097,96428.213,96433.099999905,2023-07-03T08:00:12Z,96444.562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(""distractor1"", ""distractor2"", ""distractor3"")",Rückhalt,msaada,s,muhula,auwali,kiwimbe,NA,0,NA,NA
59f2d,shallow,flow.Sequence,1_1_0_1,NA,NA,completion,9342.556,87080.799999952,87068.527,87085.657,96428.213,96433.599999905,2023-07-03T08:00:12Z,96444.562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(""distractor1"", ""distractor2"", ""distractor3"")",Rückhalt,msaada,s,muhula,auwali,kiwimbe,NA,NA,NA,NA
59f2d,task,flow.Sequence,1_1_0,NA,NA,completion,9342.556,87077.799999952,87068.527,87085.657,96428.213,96434,2023-07-03T08:00:12Z,96444.562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(""distractor1"", ""distractor2"", ""distractor3"")",Rückhalt,msaada,s,muhula,auwali,kiwimbe,NA,NA,NA,NA
59f2d,Deep Question,html.Page,1_1_1_0_0,ungo,NA,form submission,3524.1379999285,96434.399999976,96428.213,96444.562,99968.699999928,99969,2023-07-03T08:00:16Z,99975.006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(""distractor1"", ""distractor2"", ""distractor3"")",Schatten,kivuli,d,NA,NA,NA,NA,NA,NA,NA
59f2d,"""Richtig""-Screen",canvas.Screen,1_1_1_0_1,NA,NA,skipped,NA,99971.099999905,NA,NA,99968.699999928,99971.299999952,2023-07-03T08:00:16Z,99975.006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(""distractor1"", ""distractor2"", ""distractor3"")",Schatten,kivuli,d,NA,NA,NA,NA,NA,NA,NA
59f2d,"""Falsch""-Screen",canvas.Screen,1_1_1_0_2,NA,NA,timeout,4996.392,99972.199999928,99958.474,99975.006,104954.754,104955.5999999,2023-07-03T08:00:21Z,104971.398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(""distractor1"", ""distractor2"", ""distractor3"")",Schatten,kivuli,d,NA,NA,NA,NA,0,NA,NA
