observation,sender,sender_type,sender_id,response,response_action,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,german,swahili,enc,distractor1,distractor2,distractor3,response_2,x,correct,url_vp,url_sess,meta_labjs_version,meta_location,meta_user_agent,meta_platform,meta_language,meta_locale,meta_time_zone,meta_timezone_offset,meta_screen_width,meta_screen_height,meta_scroll_width,meta_scroll_height,meta_window_inner_width,meta_window_inner_height,meta_device_pixel_ratio,meta_labjs_build_flavor,meta_labjs_build_commit,distractors
88e14,Introduction delayed retrieval,canvas.Screen,0,weiter,keypress(Space),response,12353.265999857,914.5,584.023,950.634,13303.899999857,13307,2023-08-13T10:21:09Z,13316.698,NA,NA,NA,NA,NA,NA,NA,NA,NA,221,4,20.2.4,https://neurocog.fernuni.ch/studies/vweber/sfink/delayed/index.html?vp=221&sess=4,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36 Edg/115.0.1901.183",Win32,en-GB,en-CH,Europe/Zurich,-120,1536,864,1482,698,1482,746,1.25,production,f5b4a49f956347addd546a832a3327688c2c0fef,NA
88e14,Deep Question,html.Page,1_0_0_0,NA,NA,form submission,12746.901999905,13307.5,13300.057,13316.698,26063.599999905,26064.099999905,2023-08-13T10:21:22Z,26080.786,Vermutung,udhanifu,s,haramia,tikisho,itifaki,mashtaka,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88e14,Save data screen,canvas.Screen,1_0_0_1,NA,NA,timeout,499.878,26068.099999905,26047.417,26080.786,26563.997,26565.199999809,2023-08-13T10:21:22Z,26580.664,Vermutung,udhanifu,s,haramia,tikisho,itifaki,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88e14,deep,flow.Sequence,1_0_0,NA,NA,completion,13247.299,13307.399999857,13300.057,13316.698,26563.997,26566.399999857,2023-08-13T10:21:22Z,26580.664,Vermutung,udhanifu,s,haramia,tikisho,itifaki,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88e14,task,flow.Sequence,1_0,NA,NA,completion,13247.299,13307.399999857,13300.057,13316.698,26563.997,26566.799999952,2023-08-13T10:21:22Z,26580.664,Vermutung,udhanifu,s,haramia,tikisho,itifaki,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88e14,Deep Question,html.Page,1_1_0_0,NA,NA,form submission,11420.735999857,26567.099999905,26563.997,26580.664,38001.399999857,38001.799999952,2023-08-13T10:21:33Z,38015.533,Ergänzung,kijalizo,d,ulaghai,mustarehe,matangazo,maekpela,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88e14,Save data screen,canvas.Screen,1_1_0_1,NA,NA,timeout,496.93799999999,38003.199999809,37995.91,38015.533,38495.804,38497,2023-08-13T10:21:34Z,38512.471,Ergänzung,kijalizo,d,ulaghai,mustarehe,matangazo,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88e14,deep,flow.Sequence,1_1_0,NA,NA,completion,11915.14,26567,26563.997,26580.664,38495.804,38497.299999952,2023-08-13T10:21:34Z,38512.471,Ergänzung,kijalizo,d,ulaghai,mustarehe,matangazo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88e14,task,flow.Sequence,1_1,NA,NA,completion,11915.14,26566.899999857,26563.997,26580.664,38495.804,38497.5,2023-08-13T10:21:34Z,38512.471,Ergänzung,kijalizo,d,ulaghai,mustarehe,matangazo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88e14,Deep Question,html.Page,1_2_0_0,NA,NA,form submission,9243.928999857,38497.699999809,38495.804,38512.471,47756.399999857,47757.299999952,2023-08-13T10:21:43Z,47778.937,Fenster,dirisha,d,walakini,tasawari,maarifa,kuawelo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88e14,Save data screen,canvas.Screen,1_2_0_1,NA,NA,timeout,499.185,47759.599999904996,47744.642,47778.937,48261.429,48262.5,2023-08-13T10:21:44Z,48278.122,Fenster,dirisha,d,walakini,tasawari,maarifa,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88e14,deep,flow.Sequence,1_2_0,NA,NA,completion,9748.958,38497.599999904996,38495.804,38512.471,48261.429,48262.799999952,2023-08-13T10:21:44Z,48278.122,Fenster,dirisha,d,walakini,tasawari,maarifa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88e14,task,flow.Sequence,1_2,NA,NA,completion,9748.958,38497.599999904996,38495.804,38512.471,48261.429,48264,2023-08-13T10:21:44Z,48278.122,Fenster,dirisha,d,walakini,tasawari,maarifa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88e14,Deep Question,html.Page,1_3_0_0,NA,NA,form submission,7223.4779999046,48264.399999857,48261.429,48278.122,55501.599999904996,55501.899999857,2023-08-13T10:21:51Z,55515.611,Tester,wanaojaribu,s,sherti,sihiri,mlipuko,mshtaka,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88e14,Save data screen,canvas.Screen,1_3_0_1,NA,NA,timeout,494.714,55503.099999904996,55493.903,55515.611,55993.713,55996.399999857,2023-08-13T10:21:51Z,56010.325,Tester,wanaojaribu,s,sherti,sihiri,mlipuko,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88e14,deep,flow.Sequence,1_3_0,NA,NA,completion,7715.591,48264.399999857,48261.429,48278.122,55993.713,55999.399999857,2023-08-13T10:21:51Z,56010.325,Tester,wanaojaribu,s,sherti,sihiri,mlipuko,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
