observation,sender,sender_type,sender_id,response,response_action,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,german,swahili,enc,distractor1,distractor2,distractor3,response_2,x,correct,distractors,url_vp,url_sess,meta_labjs_version,meta_location,meta_user_agent,meta_platform,meta_language,meta_locale,meta_time_zone,meta_timezone_offset,meta_screen_width,meta_screen_height,meta_scroll_width,meta_scroll_height,meta_window_inner_width,meta_window_inner_height,meta_device_pixel_ratio,meta_labjs_build_flavor,meta_labjs_build_commit
2f4c8,Introduction delayed retrieval,canvas.Screen,0,weiter,keypress(Space),response,19540.058000003,6631.1000000015,6470.022,6636.642,26176.700000003,26177.400000002,2023-07-14T14:58:21Z,26186.431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,177,2,20.2.4,https://neurocog.fernuni.ch/studies/vweber/sliechti/delayed/index.html?vp=177&sess=2,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36 Edg/114.0.1823.58",Win32,de,de-CH,Europe/Zurich,-120,1920,1080,1492,721,1492,769,1.25,production,f5b4a49f956347addd546a832a3327688c2c0fef
2f4c8,Deep Question,html.Page,1_0_0_0,NA,NA,form submission,14351.569,26177.600000001,26169.804,26186.431,40538,40538.100000001,2023-07-14T14:58:35Z,40553.078,Entwicklung,maendeleo,d,uangavu,mshindwa,badiliko,maendeleo,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2f4c8,Save data screen,canvas.Screen,1_0_0_1,NA,NA,timeout,500.036,40538.900000002,40536.424,40553.078,41036.511,41037.200000003,2023-07-14T14:58:36Z,41053.114,Entwicklung,maendeleo,d,uangavu,mshindwa,badiliko,NA,NA,1,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2f4c8,deep,flow.Sequence,1_0_0,NA,NA,completion,14850.08,26177.600000001,26169.804,26186.431,41036.511,41037.300000001,2023-07-14T14:58:36Z,41053.114,Entwicklung,maendeleo,d,uangavu,mshindwa,badiliko,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2f4c8,task,flow.Sequence,1_0,NA,NA,completion,14850.08,26177.600000001,26169.804,26186.431,41036.511,41037.400000002,2023-07-14T14:58:36Z,41053.114,Entwicklung,maendeleo,d,uangavu,mshindwa,badiliko,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2f4c8,Deep Question,html.Page,1_1_0_0,NA,NA,form submission,30116.386,41037.5,41036.511,41053.114,71169.5,71169.800000001,2023-07-14T14:59:06Z,71186.557,Orientierung,urekebisho,s,uelekeo,marekebisho,utunzaji,k,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2f4c8,Save data screen,canvas.Screen,1_1_0_1,NA,NA,timeout,499.72100000001,71171.200000003,71152.966,71186.557,71669.503,71670.5,2023-07-14T14:59:06Z,71686.278,Orientierung,urekebisho,s,uelekeo,marekebisho,utunzaji,NA,NA,0,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2f4c8,deep,flow.Sequence,1_1_0,NA,NA,completion,30616.389,41037.5,41036.511,41053.114,71669.503,71670.600000001,2023-07-14T14:59:06Z,71686.278,Orientierung,urekebisho,s,uelekeo,marekebisho,utunzaji,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2f4c8,task,flow.Sequence,1_1,NA,NA,completion,30616.389,41037.5,41036.511,41053.114,71669.503,71670.700000003,2023-07-14T14:59:06Z,71686.278,Orientierung,urekebisho,s,uelekeo,marekebisho,utunzaji,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2f4c8,Deep Question,html.Page,1_2_0_0,NA,NA,form submission,8315.222,71670.800000001,71669.503,71686.278,80001.5,80001.600000001,2023-07-14T14:59:15Z,80002.761,Stimmung,kinyongo,d,kilekile,kisambo,madhehebu,kudhibiti,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2f4c8,Save data screen,canvas.Screen,1_2_0_1,NA,NA,timeout,500.14200000001,80003,79986.28,80002.761,80486.081,80486.600000001,2023-07-14T14:59:15Z,80502.903,Stimmung,kinyongo,d,kilekile,kisambo,madhehebu,NA,NA,0,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2f4c8,deep,flow.Sequence,1_2_0,NA,NA,completion,8799.803,71670.800000001,71669.503,71686.278,80486.081,80486.700000003,2023-07-14T14:59:15Z,80502.903,Stimmung,kinyongo,d,kilekile,kisambo,madhehebu,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2f4c8,task,flow.Sequence,1_2,NA,NA,completion,8799.803,71670.700000003,71669.503,71686.278,80486.081,80486.800000001,2023-07-14T14:59:15Z,80502.903,Stimmung,kinyongo,d,kilekile,kisambo,madhehebu,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2f4c8,Deep Question,html.Page,1_3_0_0,NA,NA,form submission,28666.597,80487,80486.081,80502.903,109169.5,109169.7,2023-07-14T14:59:44Z,109185.994,Fleisch,mshakiki,s,kizunguzungu,mshikamano,angusho,mhskiri,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2f4c8,Save data screen,canvas.Screen,1_3_0_1,NA,NA,timeout,499.97799999999,109171,109169.282,109185.994,109669.238,109669.7,2023-07-14T14:59:44Z,109685.972,Fleisch,mshakiki,s,kizunguzungu,mshikamano,angusho,NA,NA,0,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2f4c8,deep,flow.Sequence,1_3_0,NA,NA,completion,29166.335,80486.900000002,80486.081,80502.903,109669.238,109669.8,2023-07-14T14:59:44Z,109685.972,Fleisch,mshakiki,s,kizunguzungu,mshikamano,angusho,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2f4c8,task,flow.Sequence,1_3,NA,NA,completion,29166.335,80486.900000002,80486.081,80502.903,109669.238,109669.9,2023-07-14T14:59:44Z,109685.972,Fleisch,mshakiki,s,kizunguzungu,mshikamano,angusho,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2f4c8,Deep Question,html.Page,1_4_0_0,NA,NA,form submission,4123.6280000015,109669.9,109669.238,109685.972,113809.6,113809.7,2023-07-14T14:59:48Z,113819.006,Vorwurf,mashtaka,d,msukumo,mtangulizi,uenyekiti,k,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2f4c8,Save data screen,canvas.Screen,1_4_0_1,NA,NA,timeout,500.303,113810.8,113802.535,113819.006,114302.483,114303.1,2023-07-14T14:59:49Z,114319.309,Vorwurf,mashtaka,d,msukumo,mtangulizi,uenyekiti,NA,NA,0,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2f4c8,deep,flow.Sequence,1_4_0,NA,NA,completion,4616.511,109669.9,109669.238,109685.972,114302.483,114303.3,2023-07-14T14:59:49Z,114319.309,Vorwurf,mashtaka,d,msukumo,mtangulizi,uenyekiti,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2f4c8,task,flow.Sequence,1_4,NA,NA,completion,4616.511,109669.9,109669.238,109685.972,114302.483,114303.4,2023-07-14T14:59:49Z,114319.309,Vorwurf,mashtaka,d,msukumo,mtangulizi,uenyekiti,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
