observation,sender,sender_type,sender_id,response,response_action,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,distractors,german,swahili,enc,distractor1,distractor2,distractor3,response_2,x,correct,x_2,url_vp,url_sess,meta_labjs_version,meta_location,meta_user_agent,meta_platform,meta_language,meta_locale,meta_time_zone,meta_timezone_offset,meta_screen_width,meta_screen_height,meta_scroll_width,meta_scroll_height,meta_window_inner_width,meta_window_inner_height,meta_device_pixel_ratio,meta_labjs_build_flavor,meta_labjs_build_commit
ba76c,Introduction general,canvas.Screen,0,weiter,keypress(q),response,47505.6,327,330.78,347.4,47853,47876,2023-10-19T12:31:26Z,47878.04,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,183,3,20.2.4,https://neurocog.fernuni.ch/studies/vweber/sliechti/encoding_immediate/index.html?vp=183&sess=3,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/118.0,Win32,de,de-CH,Europe/Zurich,-120,1280,720,1280,587,1280,587,1.5,production,f5b4a49f956347addd546a832a3327688c2c0fef
ba76c,Introduction practice,canvas.Screen,1_0,NA,keypress(Space),response,3724.96,47877,47877.56,47878.04,51603,51614,2023-10-19T12:31:30Z,51624.44,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ba76c,deep,flow.Sequence,1_1_0_0,NA,NA,skipped,NA,51615,NA,NA,51603,51615,2023-10-19T12:31:30Z,51624.44,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gegenwart,hadhara,s,katiba,jokofu,mikopo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ba76c,Shallow Question,html.Page,1_1_0_1_0,NA,NA,form submission,8604.56,51616,51616.46,51624.44,60229,60229,2023-10-19T12:31:38Z,60239.92,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gegenwart,hadhara,s,katiba,jokofu,mikopo,mikopo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ba76c,"""Richtig""-Screen",canvas.Screen,1_1_0_1_1,NA,NA,skipped,NA,60234,NA,NA,60229,60234,2023-10-19T12:31:38Z,60239.92,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gegenwart,hadhara,s,katiba,jokofu,mikopo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ba76c,"""Falsch""-Screen",canvas.Screen,1_1_0_1_2,NA,NA,timeout,4999.4,60237,60228.14,60239.92,65223.18,65225,2023-10-19T12:31:43Z,65239.32,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gegenwart,hadhara,s,katiba,jokofu,mikopo,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ba76c,shallow,flow.Sequence,1_1_0_1,NA,NA,completion,13598.74,51616,51616.46,51624.44,65223.18,65226,2023-10-19T12:31:43Z,65239.32,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gegenwart,hadhara,s,katiba,jokofu,mikopo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ba76c,task,flow.Sequence,1_1_0,NA,NA,completion,13598.74,51615,51616.46,51624.44,65223.18,65226,2023-10-19T12:31:43Z,65239.32,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gegenwart,hadhara,s,katiba,jokofu,mikopo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ba76c,Deep Question,html.Page,1_1_1_0_0,NA,NA,form submission,6742.68,65227,65223.18,65239.32,71982,71982,2023-10-19T12:31:50Z,71988.5,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gesundheit,salama,d,NA,NA,NA,g,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ba76c,"""Richtig""-Screen",canvas.Screen,1_1_1_0_1,NA,NA,skipped,NA,71985,NA,NA,71982,71986,2023-10-19T12:31:50Z,71988.5,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gesundheit,salama,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
