observation,sender,sender_type,sender_id,response,response_action,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,german,swahili,enc,distractor1,distractor2,distractor3,response_2,x,correct,distractors,url_vp,url_sess,meta_labjs_version,meta_location,meta_user_agent,meta_platform,meta_language,meta_locale,meta_time_zone,meta_timezone_offset,meta_screen_width,meta_screen_height,meta_scroll_width,meta_scroll_height,meta_window_inner_width,meta_window_inner_height,meta_device_pixel_ratio,meta_labjs_build_flavor,meta_labjs_build_commit
b14f5,Introduction delayed retrieval,canvas.Screen,0,weiter,keypress(Space),response,57825,1703,1712,1814,59537,59558,2023-10-04T12:09:54Z,59596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,186,2,20.2.4,https://neurocog.fernuni.ch/studies/vweber/sliechti/delayed%203/index.html?vp=186&sess=2,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.4 Safari/605.1.15",MacIntel,de-DE,de-DE,Europe/Zurich,-120,1440,900,1440,852,1440,900,2,production,f5b4a49f956347addd546a832a3327688c2c0fef
b14f5,Deep Question,html.Page,1_0_0_0,NA,NA,form submission,13077,59558,59565,59596,72673,72673,2023-10-04T12:10:07Z,72730,Toleranz,kuvumiliana,s,maombolezo,ujasusi,mchekeshaji,mwkulili,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
b14f5,Save data screen,canvas.Screen,1_0_0_1,NA,NA,timeout,500,72674,72696,72730,73196,73197,2023-10-04T12:10:07Z,73230,Toleranz,kuvumiliana,s,maombolezo,ujasusi,mchekeshaji,NA,NA,0,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
b14f5,deep,flow.Sequence,1_0_0,NA,NA,completion,13600,59558,59565,59596,73196,73197,2023-10-04T12:10:07Z,73230,Toleranz,kuvumiliana,s,maombolezo,ujasusi,mchekeshaji,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
b14f5,task,flow.Sequence,1_0,NA,NA,completion,13600,59558,59565,59596,73196,73198,2023-10-04T12:10:07Z,73230,Toleranz,kuvumiliana,s,maombolezo,ujasusi,mchekeshaji,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
b14f5,Deep Question,html.Page,1_1_0_0,NA,NA,form submission,76972,73198,73196,73230,150202,150202,2023-10-04T12:11:24Z,150262,Ergänzung,kijalizo,s,ulaghai,mustarehe,matangazo,m,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
b14f5,Save data screen,canvas.Screen,1_1_0_1,NA,NA,timeout,499,150203,150228,150262,150729,150729,2023-10-04T12:11:25Z,150761,Ergänzung,kijalizo,s,ulaghai,mustarehe,matangazo,NA,NA,0,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
b14f5,deep,flow.Sequence,1_1_0,NA,NA,completion,77499,73198,73196,73230,150729,150730,2023-10-04T12:11:25Z,150761,Ergänzung,kijalizo,s,ulaghai,mustarehe,matangazo,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
b14f5,task,flow.Sequence,1_1,NA,NA,completion,77499,73198,73196,73230,150729,150730,2023-10-04T12:11:25Z,150761,Ergänzung,kijalizo,s,ulaghai,mustarehe,matangazo,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
b14f5,Deep Question,html.Page,1_2_0_0,NA,NA,form submission,12012,150730,150729,150761,162773,162773,2023-10-04T12:11:37Z,162829,Schüler,mwanafunzi,d,mwekezaji,matumizi,uaminifu,mwafunzi,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
