sender,sender_type,sender_id,timestamp,meta,,German,Swahili,correct,distractor1,distractor2,distractor3,distractors,duration,enc,ended_on,response,response_,response_action,time_commit,time_end,time_render,time_run,time_show,time_switch,url,x
Introduction general,canvas.Screen,0,2023-01-08T10:12:15.564Z,"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""file:///Users/vincentweber/Documents/Arbeit%20Fernuni/lab_js/my_scripts/index_encoding_immediate.html?vp=105&sess=1"",""userAgent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"",""platform"":""MacIntel"",""language"":""de-DE"",""locale"":""de"",""timeZone"":""Europe/Zurich"",""timezoneOffset"":-60,""screen_width"":1440,""screen_height"":900,""scroll_width"":1440,""scroll_height"":690,""window_innerWidth"":1440,""window_innerHeight"":738,""devicePixelRatio"":2}",,,,,,,,,88828.694,,response,weiter,,keypress(q),88980.20000000112,88968,122.64,113.40000000037253,139.306,88987.052,"{""vp"":""105"",""sess"":""1""}",
Introduction practice,canvas.Screen,1_0,2023-01-08T10:12:21.442Z,,,,,,,,,,5867.548000001494,,response,,,keypress(Space),94857.70000000112,94854.60000000149,88970.386,88980.60000000149,88987.052,94873.834,,
Deep Question,html.Page,1_1_0_0_0,2023-01-08T10:12:33.767Z,,,Gesundheit,salama,,,,,"[""distractor1"",""distractor2"",""distractor3""]",12308.466000000742,d,form submission,,1,,107182.5,107182.30000000075,94857.168,94858.30000000075,94873.834,107190.564,,
"""Richtig""-Screen",canvas.Screen,1_1_0_0_1,2023-01-08T10:12:33.767Z,,,Gesundheit,salama,,,,,"[""distractor1"",""distractor2"",""distractor3""]",NaN,d,skipped,,,,107183.40000000037,107182.30000000075,,107183.20000000112,,107190.564,,
"""Falsch""-Screen",canvas.Screen,1_1_0_0_2,2023-01-08T10:12:38.764Z,,,Gesundheit,salama,0,,,,"[""distractor1"",""distractor2"",""distractor3""]",4999.800000000003,d,timeout,,,,112179.70000000112,112173.698,107173.898,107183.90000000037,107190.564,112190.364,,
deep,flow.Sequence,1_1_0_0,2023-01-08T10:12:38.764Z,,,Gesundheit,salama,,,,,"[""distractor1"",""distractor2"",""distractor3""]",17299.864,d,completion,,,,112180.40000000037,112173.698,94857.168,94858.20000000112,94873.834,112190.364,,
shallow,flow.Sequence,1_1_0_1,2023-01-08T10:12:38.765Z,,,Gesundheit,salama,,,,,"[""distractor1"",""distractor2"",""distractor3""]",NaN,d,skipped,,,,112180.80000000075,112173.698,,112180.60000000149,,112190.364,,
task  ,flow.Sequence,1_1_0,2023-01-08T10:12:38.765Z,,,Gesundheit,salama,,,,,"[""distractor1"",""distractor2"",""distractor3""]",17299.864,d,completion,,,,112181,112173.698,94857.168,94858.20000000112,94873.834,112190.364,,
deep,flow.Sequence,1_1_1_0,2023-01-08T10:12:38.765Z,,,Kritik,lawama,,dereva,nafasi,mawazo,"[""distractor1"",""distractor2"",""distractor3""]",NaN,s,skipped,,,,112181.40000000037,112173.698,,112181.30000000075,,112190.364,,
Shallow Question,html.Page,1_1_1_1_0,2023-01-08T10:12:45.396Z,,,Kritik,lawama,,dereva,nafasi,mawazo,"[""distractor1"",""distractor2"",""distractor3""]",6621.436000000744,s,form submission,,mawazo,,118812.5,118811.80000000075,112173.698,112181.60000000149,112190.364,118824.095,,
"""Richtig""-Screen",canvas.Screen,1_1_1_1_1,2023-01-08T10:12:45.400Z,,,Kritik,lawama,,dereva,nafasi,mawazo,"[""distractor1"",""distractor2"",""distractor3""]",NaN,s,skipped,,,,118815.60000000149,118811.80000000075,,118815.5,,118824.095,,
"""Falsch""-Screen",canvas.Screen,1_1_1_1_2,2023-01-08T10:12:50.392Z,,,Kritik,lawama,0,dereva,nafasi,mawazo,"[""distractor1"",""distractor2"",""distractor3""]",4999.800000000003,s,timeout,,,,123808.70000000112,123807.229,118807.429,118816.90000000037,118824.095,123823.895,,
shallow,flow.Sequence,1_1_1_1,2023-01-08T10:12:50.393Z,,,Kritik,lawama,,dereva,nafasi,mawazo,"[""distractor1"",""distractor2"",""distractor3""]",11616.865000000005,s,completion,,,,123809.20000000112,123807.229,112173.698,112181.5,112190.364,123823.895,,
task  ,flow.Sequence,1_1_1,2023-01-08T10:12:50.393Z,,,Kritik,lawama,,dereva,nafasi,mawazo,"[""distractor1"",""distractor2"",""distractor3""]",11616.865000000005,s,completion,,,,123809.60000000149,123807.229,112173.698,112181.10000000149,112190.364,123823.895,,
deep,flow.Sequence,1_1_2_0,2023-01-08T10:12:50.394Z,,,Rückhalt,msaada,,muhula,auwali,kiwimbe,"[""distractor1"",""distractor2"",""distractor3""]",NaN,s,skipped,,,,123810.10000000149,123807.229,,123809.90000000037,,123823.895,,
Shallow Question,html.Page,1_1_2_1_0,2023-01-08T10:12:55.114Z,,,Rückhalt,msaada,,muhula,auwali,kiwimbe,"[""distractor1"",""distractor2"",""distractor3""]",4705.405000000741,s,form submission,,auwali,,128529.80000000075,128529.30000000075,123807.229,123810.20000000112,123823.895,128541.022,,
"""Richtig""-Screen",canvas.Screen,1_1_2_1_1,2023-01-08T10:12:55.116Z,,,Rückhalt,msaada,,muhula,auwali,kiwimbe,"[""distractor1"",""distractor2"",""distractor3""]",NaN,s,skipped,,,,128532.80000000075,128529.30000000075,,128532.70000000112,,128541.022,,
"""Falsch""-Screen",canvas.Screen,1_1_2_1_2,2023-01-08T10:13:00.110Z,,,Rückhalt,msaada,0,muhula,auwali,kiwimbe,"[""distractor1"",""distractor2"",""distractor3""]",4999.799999999988,s,timeout,,,,133526.40000000037,133524.156,128524.356,128533.60000000149,128541.022,133540.822,,
shallow,flow.Sequence,1_1_2_1,2023-01-08T10:13:00.110Z,,,Rückhalt,msaada,,muhula,auwali,kiwimbe,"[""distractor1"",""distractor2"",""distractor3""]",9700.260999999984,s,completion,,,,133526.80000000075,133524.156,123807.229,123810.20000000112,123823.895,133540.822,,
task  ,flow.Sequence,1_1_2,2023-01-08T10:13:00.111Z,,,Rückhalt,msaada,,muhula,auwali,kiwimbe,"[""distractor1"",""distractor2"",""distractor3""]",9700.260999999984,s,completion,,,,133527.1000000015,133524.156,123807.229,123809.80000000075,123823.895,133540.822,,
Deep Question,html.Page,1_1_3_0_0,2023-01-08T10:13:03.328Z,,,Qualität,mtindo,,,,,"[""distractor1"",""distractor2"",""distractor3""]",3203.1780000000144,d,form submission,,3,,136744.30000000075,136744,133524.156,133527.30000000075,133540.822,136757.957,,
"""Richtig""-Screen",canvas.Screen,1_1_3_0_1,2023-01-08T10:13:03.331Z,,,Qualität,mtindo,,,,,"[""distractor1"",""distractor2"",""distractor3""]",NaN,d,skipped,,,,136747.6000000015,136744,,136747.5,,136757.957,,
"""Falsch""-Screen",canvas.Screen,1_1_3_0_2,2023-01-08T10:13:08.327Z,,,Qualität,mtindo,0,,,,"[""distractor1"",""distractor2"",""distractor3""]",4999.8000000000175,d,timeout,,,,141743.1000000015,141741.091,136741.291,136748.30000000075,136757.957,141757.757,,
deep,flow.Sequence,1_1_3_0,2023-01-08T10:13:08.327Z,,,Qualität,mtindo,,,,,"[""distractor1"",""distractor2"",""distractor3""]",8200.269,d,completion,,,,141743.5,141741.091,133524.156,133527.20000000112,133540.822,141757.757,,
shallow,flow.Sequence,1_1_3_1,2023-01-08T10:13:08.327Z,,,Qualität,mtindo,,,,,"[""distractor1"",""distractor2"",""distractor3""]",NaN,d,skipped,,,,141743.80000000075,141741.091,,141743.70000000112,,141757.757,,
task  ,flow.Sequence,1_1_3,2023-01-08T10:13:08.328Z,,,Qualität,mtindo,,,,,"[""distractor1"",""distractor2"",""distractor3""]",8200.269,d,completion,,,,141744,141741.091,133524.156,133527.20000000112,133540.822,141757.757,,
deep,flow.Sequence,1_1_4_0,2023-01-08T10:13:08.328Z,,,Gegenwart,hadhara,,katiba,jokofu,mikopo,"[""distractor1"",""distractor2"",""distractor3""]",NaN,s,skipped,,,,141744.30000000075,141741.091,,141744.20000000112,,141757.757,,
