Introduction general;canvas.Screen;0;weiter;keypress(q);response;172460.465;126.9;120.669;137.335;172597.8;172604.6;2023-02-28T13:47:34Z;172623.033;NULL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;115;1;20.02.04;https://neurocog.fernuni.ch/studies/vweber/encoding_immediate/index.html?vp=115&sess=1;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36";MacIntel;de-DE;de;Europe/Zurich;-60;1440;900;1440;773;1440;821;2;production;f5b4a49f956347addd546a832a3327688c2c0fef
Introduction practice;canvas.Screen;1_0;NA;keypress(Space);response;908.667;172604.9;172606.367;172623.033;173531.7;173534.8;2023-02-28T13:47:35Z;173539.663;NULL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
deep;flow.Sequence;1_1_0_0;NA;NA;skipped;NA;173535.4;NA;NA;173531.7;173535.6;2023-02-28T13:47:35Z;173539.663;"c(""distractor1"", ""distractor2"", ""distractor3"")";Kritik;lawama;s;dereva;nafasi;mawazo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Shallow Question;html.Page;1_1_0_1_0;lawama;NA;form submission;91833.937;173535.8;173522.997;173539.663;265373.6;265374.1;2023-02-28T13:49:07Z;265374.104;"c(""distractor1"", ""distractor2"", ""distractor3"")";Kritik;lawama;s;dereva;nafasi;mawazo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"""Richtig""-Screen";canvas.Screen;1_1_0_1_1;NA;NA;timeout;4999.8;265377.8;265357.438;265374.104;270357.238;270358.8;2023-02-28T13:49:12Z;270373.904;"c(""distractor1"", ""distractor2"", ""distractor3"")";Kritik;lawama;s;dereva;nafasi;mawazo;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"""Falsch""-Screen";canvas.Screen;1_1_0_1_2;NA;NA;skipped;NA;270361.9;NA;NA;270357.238;270362.2;2023-02-28T13:49:12Z;270373.904;"c(""distractor1"", ""distractor2"", ""distractor3"")";Kritik;lawama;s;dereva;nafasi;mawazo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
shallow;flow.Sequence;1_1_0_1;NA;NA;completion;96817.575;173535.7;173522.997;173539.663;270357.238;270362.4;2023-02-28T13:49:12Z;270373.904;"c(""distractor1"", ""distractor2"", ""distractor3"")";Kritik;lawama;s;dereva;nafasi;mawazo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
task;flow.Sequence;1_1_0;NA;NA;completion;96817.575;173535.3;173522.997;173539.663;270357.238;270362.7;2023-02-28T13:49:12Z;270373.904;"c(""distractor1"", ""distractor2"", ""distractor3"")";Kritik;lawama;s;dereva;nafasi;mawazo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Introduction general;canvas.Screen;0;weiter;keypress(q);response;1300712.579;273.8;144.193;277.521;1300990.1;1300997.7;2023-02-28T13:29:49Z;1301023.653;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;115;1;20.02.04;https://neurocog.fernuni.ch/studies/vweber/encoding_immediate/index.html?vp=115&sess=1;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36";MacIntel;de-DE;de;Europe/Zurich;-60;1440;900;1426;692;1426;740;2;production;f5b4a49f956347addd546a832a3327688c2c0fef
Introduction practice;canvas.Screen;1_0;NA;keypress(Space);response;7288.547;1300998;1301006.987;1301023.653;1308312.2;1308315.6;2023-02-28T13:29:56Z;1308326.165;NULL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
deep;flow.Sequence;1_1_0_0;NA;NA;skipped;NA;1308316;NA;NA;1308312.2;1308317.9;2023-02-28T13:29:56Z;1308326.165;"c(""distractor1"", ""distractor2"", ""distractor3"")";Gegenwart;hadhara;s;katiba;jokofu;mikopo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Shallow Question;html.Page;1_1_0_1_0;katiba;NA;form submission;9762.035;1308318;1308309.499;1308326.165;1318088.2;1318088.6;2023-02-28T13:30:06Z;1318093.098;"c(""distractor1"", ""distractor2"", ""distractor3"")";Gegenwart;hadhara;s;katiba;jokofu;mikopo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"""Richtig""-Screen";canvas.Screen;1_1_0_1_1;NA;NA;skipped;NA;1318090.6;NA;NA;1318088.2;1318090.7;2023-02-28T13:30:06Z;1318093.098;"c(""distractor1"", ""distractor2"", ""distractor3"")";Gegenwart;hadhara;s;katiba;jokofu;mikopo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"""Falsch""-Screen";canvas.Screen;1_1_0_1_2;NA;NA;timeout;4999.8;1318091.7;1318076.432;1318093.098;1323076.232;1323081.5;2023-02-28T13:30:11Z;1323092.898;"c(""distractor1"", ""distractor2"", ""distractor3"")";Gegenwart;hadhara;s;katiba;jokofu;mikopo;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
shallow;flow.Sequence;1_1_0_1;NA;NA;completion;14750.067;1308318;1308309.499;1308326.165;1323076.232;1323081.7;2023-02-28T13:30:11Z;1323092.898;"c(""distractor1"", ""distractor2"", ""distractor3"")";Gegenwart;hadhara;s;katiba;jokofu;mikopo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
task;flow.Sequence;1_1_0;NA;NA;completion;14750.067;1308316;1308309.499;1308326.165;1323076.232;1323081.9;2023-02-28T13:30:11Z;1323092.898;"c(""distractor1"", ""distractor2"", ""distractor3"")";Gegenwart;hadhara;s;katiba;jokofu;mikopo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Deep Question;html.Page;1_1_1_0_0;lll;NA;form submission;5984.202;1323082.2;1323076.232;1323092.898;1329077.1;1329077.7;2023-02-28T13:30:17Z;1329076.557;"c(""distractor1"", ""distractor2"", ""distractor3"")";Qualität;mtindo;d;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"""Richtig""-Screen";canvas.Screen;1_1_1_0_1;NA;NA;skipped;NA;1329080.8;NA;NA;1329077.1;1329080.9;2023-02-28T13:30:17Z;1329076.557;"c(""distractor1"", ""distractor2"", ""distractor3"")";Qualität;mtindo;d;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"""Falsch""-Screen";canvas.Screen;1_1_1_0_2;NA;NA;timeout;4999.8;1329081.7;1329059.891;1329076.557;1334059.691;1334061.6;2023-02-28T13:30:22Z;1334076.357;"c(""distractor1"", ""distractor2"", ""distractor3"")";Qualität;mtindo;d;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
deep;flow.Sequence;1_1_1_0;NA;NA;completion;10966.793;1323082;1323076.232;1323092.898;1334059.691;1334062.2;2023-02-28T13:30:22Z;1334076.357;"c(""distractor1"", ""distractor2"", ""distractor3"")";Qualität;mtindo;d;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
shallow;flow.Sequence;1_1_1_1;NA;NA;skipped;NA;1334062.4;NA;NA;1334059.691;1334062.6;2023-02-28T13:30:22Z;1334076.357;"c(""distractor1"", ""distractor2"", ""distractor3"")";Qualität;mtindo;d;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
task;flow.Sequence;1_1_1;NA;NA;completion;10966.793;1323082;1323076.232;1323092.898;1334059.691;1334062.8;2023-02-28T13:30:22Z;1334076.357;"c(""distractor1"", ""distractor2"", ""distractor3"")";Qualität;mtindo;d;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
