observation,sender,sender_type,sender_id,response,response_action,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,german,swahili,enc,distractor1,distractor2,distractor3,response_2,x,correct,distractors,url_vp,url_sess,meta_labjs_version,meta_location,meta_user_agent,meta_platform,meta_language,meta_locale,meta_time_zone,meta_timezone_offset,meta_screen_width,meta_screen_height,meta_scroll_width,meta_scroll_height,meta_window_inner_width,meta_window_inner_height,meta_device_pixel_ratio,meta_labjs_build_flavor,meta_labjs_build_commit
86341,Introduction delayed retrieval,canvas.Screen,0,weiter,keypress(Space),response,19368,284,285,296,19653,19661,2023-03-22T12:32:40Z,19692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,107,4,20.2.4,https://neurocog.fernuni.ch/studies/vweber/sliechti/delayed/index.html?vp=107&sess=4,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.1 Safari/605.1.15",MacIntel,de-DE,de-DE,Europe/Zurich,-60,1440,900,1217,655,1217,703,2,production,f5b4a49f956347addd546a832a3327688c2c0fef
86341,Deep Question,html.Page,1_0_0_0,NA,NA,form submission,1791,19662,19682,19692,21483,21483,2023-03-22T12:32:42Z,21509,Auftrag,uagizaji,d,ghanima,kuzingatia,msukani,sfs,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86341,Save data screen,canvas.Screen,1_0_0_1,NA,NA,timeout,500,21485,21492,21509,21993,21994,2023-03-22T12:32:42Z,22009,Auftrag,uagizaji,d,ghanima,kuzingatia,msukani,NA,NA,0,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86341,deep,flow.Sequence,1_0_0,NA,NA,completion,2301,19662,19682,19692,21993,21995,2023-03-22T12:32:42Z,22009,Auftrag,uagizaji,d,ghanima,kuzingatia,msukani,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86341,task,flow.Sequence,1_0,NA,NA,completion,2301,19662,19682,19692,21993,21995,2023-03-22T12:32:42Z,22009,Auftrag,uagizaji,d,ghanima,kuzingatia,msukani,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86341,Deep Question,html.Page,1_1_0_0,NA,NA,form submission,2407,21995,21993,22009,24416,24416,2023-03-22T12:32:45Z,24443,Symbol,kielezo,s,kinyume,nderemo,utayari,sdf,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86341,Save data screen,canvas.Screen,1_1_0_1,NA,NA,timeout,500,24418,24426,24443,24925,24926,2023-03-22T12:32:45Z,24943,Symbol,kielezo,s,kinyume,nderemo,utayari,NA,NA,0,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86341,deep,flow.Sequence,1_1_0,NA,NA,completion,2916,21995,21993,22009,24925,24927,2023-03-22T12:32:45Z,24943,Symbol,kielezo,s,kinyume,nderemo,utayari,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86341,task,flow.Sequence,1_1,NA,NA,completion,2916,21995,21993,22009,24925,24927,2023-03-22T12:32:45Z,24943,Symbol,kielezo,s,kinyume,nderemo,utayari,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86341,Deep Question,html.Page,1_2_0_0,NA,NA,form submission,710,24927,24925,24943,25653,25654,2023-03-22T12:32:46Z,25676,Annäherung,maegesho,s,madahili,kujiamini,mapendekezo,sdf,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86341,Save data screen,canvas.Screen,1_2_0_1,NA,NA,timeout,500,25655,25659,25676,26159,26161,2023-03-22T12:32:46Z,26176,Annäherung,maegesho,s,madahili,kujiamini,mapendekezo,NA,NA,0,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86341,deep,flow.Sequence,1_2_0,NA,NA,completion,1216,24927,24925,24943,26159,26161,2023-03-22T12:32:46Z,26176,Annäherung,maegesho,s,madahili,kujiamini,mapendekezo,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86341,task,flow.Sequence,1_2,NA,NA,completion,1216,24927,24925,24943,26159,26162,2023-03-22T12:32:46Z,26176,Annäherung,maegesho,s,madahili,kujiamini,mapendekezo,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86341,Deep Question,html.Page,1_3_0_0,NA,NA,form submission,1258,26162,26159,26176,27434,27434,2023-03-22T12:32:48Z,27459,Zufall,kikuti,s,kukosekana,uchoraji,leseni,sds,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86341,Save data screen,canvas.Screen,1_3_0_1,NA,NA,timeout,501,27435,27443,27459,27943,27944,2023-03-22T12:32:48Z,27960,Zufall,kikuti,s,kukosekana,uchoraji,leseni,NA,NA,0,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86341,deep,flow.Sequence,1_3_0,NA,NA,completion,1767,26162,26159,26176,27943,27944,2023-03-22T12:32:48Z,27960,Zufall,kikuti,s,kukosekana,uchoraji,leseni,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86341,task,flow.Sequence,1_3,NA,NA,completion,1767,26162,26159,26176,27943,27944,2023-03-22T12:32:48Z,27960,Zufall,kikuti,s,kukosekana,uchoraji,leseni,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86341,Deep Question,html.Page,1_4_0_0,NA,NA,form submission,903,27945,27943,27960,28863,28864,2023-03-22T12:32:49Z,28892,Vorsorge,tahadhari,d,ufafanuzi,makini,mashambani,sdf,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86341,Save data screen,canvas.Screen,1_4_0_1,NA,NA,timeout,501,28865,28876,28892,29376,29376,2023-03-22T12:32:50Z,29393,Vorsorge,tahadhari,d,ufafanuzi,makini,mashambani,NA,NA,0,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86341,deep,flow.Sequence,1_4_0,NA,NA,completion,1416,27945,27943,27960,29376,29377,2023-03-22T12:32:50Z,29393,Vorsorge,tahadhari,d,ufafanuzi,makini,mashambani,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86341,task,flow.Sequence,1_4,NA,NA,completion,1416,27945,27943,27960,29376,29377,2023-03-22T12:32:50Z,29393,Vorsorge,tahadhari,d,ufafanuzi,makini,mashambani,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86341,Deep Question,html.Page,1_5_0_0,NA,NA,form submission,545,29377,29376,29393,29938,29938,2023-03-22T12:32:50Z,29959,Schönheit,kirembo,s,mahojiano,msisimko,jitihadi,sdg,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86341,Save data screen,canvas.Screen,1_5_0_1,NA,NA,timeout,501,29940,29943,29959,30442,30443,2023-03-22T12:32:51Z,30460,Schönheit,kirembo,s,mahojiano,msisimko,jitihadi,NA,NA,0,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86341,deep,flow.Sequence,1_5_0,NA,NA,completion,1049,29377,29376,29393,30442,30445,2023-03-22T12:32:51Z,30460,Schönheit,kirembo,s,mahojiano,msisimko,jitihadi,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
