id	 activity	 retrievalStrategy	 trial	 encodingStrategy	 retentionInterval	 textItemSw	 textItemDe	 response	 correct	 rt
101	 PA	 Deep	 1	 Deep	 Immediate	 ufungaji	 Verpackung	 mfungaji	 0	 13.051652
101	 PA	 Deep	 2	 Deep	 Immediate	 wanaojaribu	 Tester	 wanaojaribu	 1	 5.984356
101	 PA	 Deep	 3	 Shallow	 Immediate	 mafanikio	 Wohlstand	 mfangolezi	 0	 4.901245
101	 PA	 Deep	 4	 Shallow	 Immediate	 nadharia	 Theorie	 nhadaria	 0	 6.683280
101	 PA	 Deep	 5	 Deep	 Immediate	 yaliyomo	 Inhalt	 juhi	 0	 10.798017
101	 PA	 Deep	 6	 Deep	 Immediate	 matarajio	 Hoffnung	 matarajio	 1	 8.233666
101	 PA	 Deep	 7	 Shallow	 Immediate	 foleni	 Schlange	 kileni	 0	 6.158527
101	 PA	 Deep	 8	 Shallow	 Immediate	 kuvumiliana	 Toleranz	 kuri	 0	 5.510467
101	 PA	 Deep	 9	 Deep	 Immediate	 udhanifu	 Vermutung	 ushadhani	 0	 10.566276
101	 PA	 Deep	 10	 Shallow	 Immediate	 dirisha	 Fenster	 sireshau	 0	 4.447643
101	 PA	 Deep	 11	 Shallow	 Immediate	 upelelezi	 Spionage	 npelelezi	 0	 5.687513
101	 PA	 Deep	 12	 Shallow	 Immediate	 mshtuko	 Schock	 mshtuki	 0	 3.716267
101	 PA	 Deep	 13	 Deep	 Immediate	 kichekesho	 Vergnügen	 kichetesho	 0	 9.193032
101	 PA	 Deep	 14	 Deep	 Immediate	 mwanafunzi	 Schüler	 mfungunzi	 0	 15.232629
101	 PA	 Deep	 15	 Shallow	 Immediate	 kijalizo	 Ergänzung	 kileli	 0	 5.684805
101	 PA	 Deep	 16	 Deep	 Immediate	 dharura	 Notfall	 adhariero	 0	 12.218921
101	 PA	 Shallow	 1	 Deep	 Immediate	 ufungaji	 Verpackung	 ufungaji	 1	 6.719355
101	 PA	 Shallow	 2	 Shallow	 Immediate	 upelelezi	 Spionage	 upelelezi	 1	 2.245819
101	 PA	 Shallow	 3	 Shallow	 Immediate	 mshtuko	 Schock	 mshtuko	 1	 2.540847
101	 PA	 Shallow	 4	 Shallow	 Immediate	 nadharia	 Theorie	 nadharia	 1	 4.454306
101	 PA	 Shallow	 5	 Shallow	 Immediate	 foleni	 Schlange	 foleni	 1	 3.307566
101	 PA	 Shallow	 6	 Deep	 Immediate	 dharura	 Notfall	 dharura	 1	 4.558398
101	 PA	 Shallow	 7	 Shallow	 Immediate	 dirisha	 Fenster	 dirisha	 1	 3.409845
101	 PA	 Shallow	 8	 Deep	 Immediate	 yaliyomo	 Inhalt	 yaliyomo	 1	 3.903922
101	 PA	 Shallow	 9	 Deep	 Immediate	 wanaojaribu	 Tester	 wanaojaribu	 1	 3.734890
101	 PA	 Shallow	 10	 Shallow	 Immediate	 kuvumiliana	 Toleranz	 kuvumiliana	 1	 5.001966
101	 PA	 Shallow	 11	 Shallow	 Immediate	 kijalizo	 Ergänzung	 kijalizo	 1	 3.924474
101	 PA	 Shallow	 12	 Deep	 Immediate	 matarajio	 Hoffnung	 matarajio	 1	 7.371371
101	 PA	 Shallow	 13	 Deep	 Immediate	 kichekesho	 Vergnügen	 kichekesho	 1	 3.258787
101	 PA	 Shallow	 14	 Shallow	 Immediate	 mafanikio	 Wohlstand	 mafanikio	 1	 5.981301
101	 PA	 Shallow	 15	 Deep	 Immediate	 mwanafunzi	 Schüler	 mwanafunzi	 1	 2.840904
101	 PA	 Shallow	 16	 Deep	 Immediate	 udhanifu	 Vermutung	 udhanifu	 1	 3.323329
