id	 activity	 retrievalStrategy	 trial	 encodingStrategy	 retentionInterval	 textItemSw	 textItemDe	 response	 correct	 rt
101	 Rest	 Deep	 1	 Shallow	 Delayed	 maendeleo	 Entwicklung	 wageha	 0	 33.830942
101	 Rest	 Deep	 2	 Deep	 Delayed	 ugeuzaji	 Wechsel	 kuchewa	 0	 26.113925
101	 Rest	 Deep	 3	 Shallow	 Delayed	 angahewa	 Atmosphäre	 bahe	 0	 6.836953
101	 Rest	 Deep	 4	 Deep	 Delayed	 kiwango	 Niveau	 kahu	 0	 8.345307
101	 Rest	 Deep	 5	 Shallow	 Delayed	 kubadilika	 Flexibilität	 leha	 0	 3.598448
101	 Rest	 Deep	 6	 Shallow	 Delayed	 mashtaka	 Vorwurf	 mataka	 0	 20.410459
101	 Rest	 Deep	 7	 Deep	 Delayed	 karatasi	 Papier	 dulea	 0	 14.089810
101	 Rest	 Deep	 8	 Deep	 Delayed	 urekebisho	 Orientierung	 bake	 0	 12.925520
101	 Rest	 Deep	 9	 Shallow	 Delayed	 mdanganyifu	 Betrüger	 policifu	 0	 18.531950
101	 Rest	 Deep	 10	 Deep	 Delayed	 ukarabati	 Erneuerung	 kuchelewa	 0	 9.788054
101	 Rest	 Deep	 11	 Shallow	 Delayed	 kukutana	 Begegnung	 mahinti	 0	 6.804646
101	 Rest	 Deep	 12	 Shallow	 Delayed	 idhini	 Genehmigung	 ulewa	 0	 10.858903
101	 Rest	 Deep	 13	 Deep	 Delayed	 mshakiki	 Fleisch	 schmatiki	 0	 6.629084
101	 Rest	 Deep	 14	 Deep	 Delayed	 heshima	 Respekt	 mafupolici	 0	 9.227464
101	 Rest	 Deep	 15	 Shallow	 Delayed	 kinyongo	 Stimmung	 lehewa	 0	 8.569531
101	 Rest	 Deep	 16	 Deep	 Delayed	 uadilifu	 Integrität	 urecha	 0	 5.564027
101	 Rest	 Shallow	 1	 Deep	 Delayed	 ugeuzaji	 Wechsel	 ukalifu	 0	 12.995771
101	 Rest	 Shallow	 2	 Deep	 Delayed	 heshima	 Respekt	 heshima	 1	 13.227236
101	 Rest	 Shallow	 3	 Shallow	 Delayed	 kukutana	 Begegnung	 kukutana	 1	 5.321191
101	 Rest	 Shallow	 4	 Shallow	 Delayed	 maendeleo	 Entwicklung	 maendeleo	 1	 3.380560
101	 Rest	 Shallow	 5	 Shallow	 Delayed	 kinyongo	 Stimmung	 wastani	 0	 12.954322
101	 Rest	 Shallow	 6	 Deep	 Delayed	 uadilifu	 Integrität	 uadilifu	 1	 10.760545
101	 Rest	 Shallow	 7	 Deep	 Delayed	 kiwango	 Niveau	 kiwango	 1	 14.699432
101	 Rest	 Shallow	 8	 Deep	 Delayed	 ukarabati	 Erneuerung	 ukarabati	 1	 7.619767
101	 Rest	 Shallow	 9	 Shallow	 Delayed	 mashtaka	 Vorwurf	 mashtaka	 1	 5.703885
101	 Rest	 Shallow	 10	 Deep	 Delayed	 mshakiki	 Fleisch	 mshakiki	 1	 9.793898
101	 Rest	 Shallow	 11	 Shallow	 Delayed	 idhini	 Genehmigung	 idhini	 1	 11.318619
101	 Rest	 Shallow	 12	 Deep	 Delayed	 karatasi	 Papier	 karatasi	 1	 7.640468
101	 Rest	 Shallow	 13	 Deep	 Delayed	 urekebisho	 Orientierung	 urekebisho	 1	 5.824742
101	 Rest	 Shallow	 14	 Shallow	 Delayed	 kubadilika	 Flexibilität	 kubadilika	 1	 6.005778
101	 Rest	 Shallow	 15	 Shallow	 Delayed	 mdanganyifu	 Betrüger	 mdanganyifu	 1	 6.230706
101	 Rest	 Shallow	 16	 Shallow	 Delayed	 angahewa	 Atmosphäre	 angahewa	 1	 3.340103
