id	 activity	 block	 run	 trial	 encodingStrategy	 retentionInterval	 textItemSw	 textItemDe	 response	 correct	 rt
101	 Rest	 1	 1	 1	 Deep	 Immediate	 ugomaji	 Aufstand	 	 0	 3.153213
101	 Rest	 1	 1	 2	 Deep	 Delayed	 mshakiki	 Fleisch	  	 0	 5.396714
101	 Rest	 1	 1	 3	 Shallow	 Delayed	 kukutana	 Begegnung	 enjini	 0	 7.394976
101	 Rest	 1	 1	 4	 Shallow	 Immediate	 kuchelewa	 Verzögerung	 rasilmali	 0	 5.770907
101	 Rest	 1	 1	 5	 Shallow	 Delayed	 idhini	 Genehmigung	 idhini	 1	 6.876719
101	 Rest	 1	 1	 6	 Shallow	 Immediate	 utamaduni	 Kultur	 shetani	 0	 5.727436
101	 Rest	 1	 1	 7	 Deep	 Delayed	 uadilifu	 Integrität	 	 0	 3.324342
101	 Rest	 1	 1	 8	 Deep	 Immediate	 mtihani	 Prüfung	 	 0	 3.049196
101	 Rest	 1	 2	 1	 Shallow	 Immediate	 utamaduni	 Kultur	 utamaduni	 1	 7.893928
101	 Rest	 1	 2	 2	 Shallow	 Delayed	 idhini	 Genehmigung	 idhini	 1	 4.179051
101	 Rest	 1	 2	 3	 Shallow	 Delayed	 kukutana	 Begegnung	 kukutana	 1	 4.438168
101	 Rest	 1	 2	 4	 Deep	 Delayed	 uadilifu	 Integrität	 mdilifu	 0	 9.202196
101	 Rest	 1	 2	 5	 Deep	 Delayed	 mshakiki	 Fleisch	 	 0	 1.658933
101	 Rest	 1	 2	 6	 Deep	 Immediate	 mtihani	 Prüfung	 	 0	 2.549393
101	 Rest	 1	 2	 7	 Deep	 Immediate	 ugomaji	 Aufstand	 	 0	 2.424135
101	 Rest	 1	 2	 8	 Shallow	 Immediate	 kuchelewa	 Verzögerung	 kuchelewa	 1	 3.115997
101	 Rest	 1	 3	 1	 Shallow	 Immediate	 utamaduni	 Kultur	 utamaduni	 1	 8.950651
101	 Rest	 1	 3	 2	 Shallow	 Delayed	 kukutana	 Begegnung	 kukutana	 1	 4.699963
