id	 activity	 block	 run	 trial	 encodingStrategy	 retentionInterval	 textItemSw	 textItemDe	 response	 correct	 rt
102	 PA	 1	 1	 1	 Deep	 Delayed	 uadilifu	 Integrität	 haus	 0	 7.047336
102	 PA	 1	 1	 2	 Shallow	 Immediate	 kuchelewa	 Verzögerung	 makorowezo	 0	 5.397509
102	 PA	 1	 1	 3	 Shallow	 Delayed	 idhini	 Genehmigung	 kisambo	 0	 6.001513
102	 PA	 1	 1	 4	 Shallow	 Delayed	 kukutana	 Begegnung	 enjini	 0	 3.765955
102	 PA	 1	 1	 5	 Deep	 Immediate	 mtihani	 Prüfung	 zug	 0	 7.537192
102	 PA	 1	 1	 6	 Deep	 Delayed	 mshakiki	 Fleisch	 viande	 0	 8.474810
102	 PA	 1	 1	 7	 Shallow	 Immediate	 utamaduni	 Kultur	 shetani	 0	 4.058290
102	 PA	 1	 1	 8	 Deep	 Immediate	 ugomaji	 Aufstand	 zug	 0	 4.758872
102	 PA	 1	 2	 1	 Shallow	 Delayed	 idhini	 Genehmigung	 idhini	 1	 10.676306
102	 PA	 1	 2	 2	 Deep	 Delayed	 mshakiki	 Fleisch	 mtakiki	 0	 9.915434
102	 PA	 1	 2	 3	 Deep	 Delayed	 uadilifu	 Integrität	 zug	 0	 9.251190
102	 PA	 1	 2	 4	 Shallow	 Immediate	 utamaduni	 Kultur	 utamaduni	 1	 4.584228
102	 PA	 1	 2	 5	 Deep	 Immediate	 mtihani	 Prüfung	 mahani	 0	 12.424351
102	 PA	 1	 2	 6	 Shallow	 Immediate	 kuchelewa	 Verzögerung	 kuchelewa	 1	 4.705945
102	 PA	 1	 2	 7	 Shallow	 Delayed	 kukutana	 Begegnung	 kukutana	 1	 5.057958
102	 PA	 1	 2	 8	 Deep	 Immediate	 ugomaji	 Aufstand	 idhini	 0	 7.893451
102	 PA	 1	 3	 1	 Deep	 Immediate	 ugomaji	 Aufstand	 ugomaji	 1	 4.828502
102	 PA	 1	 3	 2	 Shallow	 Delayed	 kukutana	 Begegnung	 kukutana	 1	 3.317766
102	 PA	 1	 3	 3	 Shallow	 Immediate	 kuchelewa	 Verzögerung	 kuchelewa	 1	 3.535972
102	 PA	 1	 3	 4	 Deep	 Immediate	 mtihani	 Prüfung	 mtihani	 1	 7.912721
102	 PA	 1	 3	 5	 Shallow	 Immediate	 utamaduni	 Kultur	 utamaduni	 1	 5.186671
102	 PA	 1	 3	 6	 Shallow	 Delayed	 idhini	 Genehmigung	 kisambo	 0	 7.780872
102	 PA	 1	 3	 7	 Deep	 Delayed	 uadilifu	 Integrität	 zug	 0	 13.341781
102	 PA	 1	 3	 8	 Deep	 Delayed	 mshakiki	 Fleisch	 mtakiki	 0	 10.699093
102	 PA	 1	 4	 1	 Shallow	 Immediate	 utamaduni	 Kultur	 utamaduni	 1	 3.801242
102	 PA	 1	 4	 2	 Deep	 Immediate	 ugomaji	 Aufstand	 ighdini	 0	 11.169725
102	 PA	 1	 4	 3	 Shallow	 Delayed	 kukutana	 Begegnung	 kukutana	 1	 2.671840
102	 PA	 1	 4	 4	 Deep	 Immediate	 mtihani	 Prüfung	 mtihani	 1	 7.562868
102	 PA	 1	 4	 5	 Shallow	 Delayed	 idhini	 Genehmigung	 idhini	 1	 5.350981
102	 PA	 1	 4	 6	 Deep	 Delayed	 uadilifu	 Integrität	 zug	 0	 14.952390
102	 PA	 1	 4	 7	 Deep	 Delayed	 mshakiki	 Fleisch	 mshakiki	 1	 5.796783
102	 PA	 1	 4	 8	 Shallow	 Immediate	 kuchelewa	 Verzögerung	 kuchelewa	 1	 4.630960
102	 PA	 1	 5	 1	 Shallow	 Delayed	 kukutana	 Begegnung	 kukutana	 1	 1.881485
102	 PA	 1	 5	 2	 Shallow	 Immediate	 kuchelewa	 Verzögerung	 kuchelewa	 1	 2.860611
102	 PA	 1	 5	 3	 Deep	 Delayed	 mshakiki	 Fleisch	 mshakiki	 1	 3.716232
102	 PA	 1	 5	 4	 Deep	 Delayed	 uadilifu	 Integrität	 uadimajo	 0	 14.632393
102	 PA	 1	 5	 5	 Shallow	 Immediate	 utamaduni	 Kultur	 utamaduni	 1	 4.844698
102	 PA	 1	 5	 6	 Deep	 Immediate	 mtihani	 Prüfung	 mtihani	 1	 14.590504
102	 PA	 1	 5	 7	 Deep	 Immediate	 ugomaji	 Aufstand	 uadimajo	 0	 13.106573
102	 PA	 1	 5	 8	 Shallow	 Delayed	 idhini	 Genehmigung	 idhini	 1	 2.063620
102	 PA	 1	 6	 1	 Shallow	 Immediate	 utamaduni	 Kultur	 utamaduni	 1	 4.172617
102	 PA	 1	 6	 2	 Shallow	 Immediate	 kuchelewa	 Verzögerung	 kuchelewa	 1	 2.358961
102	 PA	 1	 6	 3	 Deep	 Delayed	 uadilifu	 Integrität	 uadilifu	 1	 11.165765
102	 PA	 1	 6	 4	 Deep	 Delayed	 mshakiki	 Fleisch	 mshakiki	 1	 4.006124
102	 PA	 1	 6	 5	 Shallow	 Delayed	 kukutana	 Begegnung	 kukutana	 1	 1.711703
102	 PA	 1	 6	 6	 Deep	 Immediate	 ugomaji	 Aufstand	 udomaji	 0	 12.586302
102	 PA	 1	 6	 7	 Deep	 Immediate	 mtihani	 Prüfung	 mtihani	 1	 5.389872
102	 PA	 1	 6	 8	 Shallow	 Delayed	 idhini	 Genehmigung	 idhini	 1	 5.695069
102	 PA	 2	 1	 1	 Shallow	 Delayed	 angahewa	 Atmosphäre	 angahewa	 1	 7.340630
102	 PA	 2	 1	 2	 Shallow	 Delayed	 kubadilika	 Flexibilität	 kubadilika	 1	 4.742895
102	 PA	 2	 1	 3	 Deep	 Immediate	 mwimbaji	 Sänger	 zug	 0	 4.463812
102	 PA	 2	 1	 4	 Deep	 Immediate	 mshambulizi	 Angreifer	 sturm	 0	 6.549252
102	 PA	 2	 1	 5	 Shallow	 Immediate	 diwani	 Kanzler	 diwani	 1	 3.534485
102	 PA	 2	 1	 6	 Deep	 Delayed	 ugeuzaji	 Wechsel	 change	 0	 5.089291
102	 PA	 2	 1	 7	 Deep	 Delayed	 ukarabati	 Erneuerung	 neu	 0	 4.176730
102	 PA	 2	 1	 8	 Shallow	 Immediate	 uhasibu	 Abrechnung	 mahitaji	 0	 6.563879
102	 PA	 2	 2	 1	 Deep	 Immediate	 mwimbaji	 Sänger	 kibu	 0	 11.313114
102	 PA	 2	 2	 2	 Deep	 Delayed	 ukarabati	 Erneuerung	 zug	 0	 12.998605
102	 PA	 2	 2	 3	 Shallow	 Delayed	 kubadilika	 Flexibilität	 kubadilika	 1	 6.792818
102	 PA	 2	 2	 4	 Shallow	 Immediate	 diwani	 Kanzler	 diwani	 1	 1.918493
102	 PA	 2	 2	 5	 Shallow	 Delayed	 angahewa	 Atmosphäre	 angahewa	 1	 2.526569
102	 PA	 2	 2	 6	 Deep	 Immediate	 mshambulizi	 Angreifer	 mwahibilizu	 0	 13.409968
102	 PA	 2	 2	 7	 Deep	 Delayed	 ugeuzaji	 Wechsel	 ka	 0	 8.006722
102	 PA	 2	 2	 8	 Shallow	 Immediate	 uhasibu	 Abrechnung	 uhasibu	 1	 5.586438
102	 PA	 2	 3	 1	 Shallow	 Immediate	 diwani	 Kanzler	 diwani	 1	 2.124222
102	 PA	 2	 3	 2	 Shallow	 Delayed	 kubadilika	 Flexibilität	 kubadilika	 1	 2.742040
102	 PA	 2	 3	 3	 Deep	 Delayed	 ugeuzaji	 Wechsel	 ugeuzaji	 1	 6.601039
