id	 activity	 retrievalStrategy	 trial	 encodingStrategy	 retentionInterval	 textItemSw	 textItemDe	 response	 correct	 rt
102	 PA	 Deep	 1	 Deep	 Immediate	 mshambulizi	 Angreifer	 mwangabishu	 0	 13.331648
102	 PA	 Deep	 2	 Deep	 Immediate	 ubunifu	 Kreativität	 udobinifu	 0	 31.693444
102	 PA	 Deep	 3	 Deep	 Immediate	 maongozi	 System	 maongozi	 1	 9.753427
102	 PA	 Deep	 4	 Shallow	 Immediate	 diwani	 Kanzler	 divani	 0	 5.589975
102	 PA	 Deep	 5	 Shallow	 Immediate	 kudhibiti	 Kontrolle	 kudibu	 0	 20.820192
102	 PA	 Deep	 6	 Shallow	 Immediate	 uhasibu	 Abrechnung	 maratasha	 0	 14.639227
102	 PA	 Deep	 7	 Deep	 Immediate	 mtihani	 Prüfung	 mwahani	 0	 27.336957
102	 PA	 Deep	 8	 Shallow	 Immediate	 kiwiliwili	 Körper	 kiwiliwili	 1	 10.640491
102	 PA	 Deep	 9	 Deep	 Immediate	 mwimbaji	 Sänger	 mwabaji	 0	 24.168090
102	 PA	 Deep	 10	 Shallow	 Immediate	 kilindo	 Übersicht	 kudilibo	 0	 22.033290
102	 PA	 Deep	 11	 Deep	 Immediate	 unaweza	 Können	 unaweza	 1	 6.294797
102	 PA	 Deep	 12	 Deep	 Immediate	 banguko	 Lawine	 unabuko	 0	 12.090737
102	 PA	 Deep	 13	 Shallow	 Immediate	 utamaduni	 Kultur	 unabunifo	 0	 19.270344
102	 PA	 Deep	 14	 Shallow	 Immediate	 kuhatarisha	 Gefährdung	 zug	 0	 5.957698
102	 PA	 Deep	 15	 Deep	 Immediate	 ugomaji	 Aufstand	 utekemajo	 0	 35.789681
102	 PA	 Deep	 16	 Shallow	 Immediate	 kuchelewa	 Verzögerung	 zug	 0	 7.530344
102	 PA	 Shallow	 1	 Shallow	 Immediate	 utamaduni	 Kultur	 utamaduni	 1	 4.210124
102	 PA	 Shallow	 2	 Shallow	 Immediate	 kudhibiti	 Kontrolle	 kudhibiti	 1	 3.032995
102	 PA	 Shallow	 3	 Shallow	 Immediate	 kiwiliwili	 Körper	 kiwiliwili	 1	 2.720761
102	 PA	 Shallow	 4	 Deep	 Immediate	 mtihani	 Prüfung	 mtihani	 1	 4.766504
102	 PA	 Shallow	 5	 Deep	 Immediate	 maongozi	 System	 maongozi	 1	 2.704624
102	 PA	 Shallow	 6	 Deep	 Immediate	 ugomaji	 Aufstand	 ugomaji	 1	 3.819608
102	 PA	 Shallow	 7	 Shallow	 Immediate	 kuhatarisha	 Gefährdung	 kuhatarisha	 1	 4.080597
102	 PA	 Shallow	 8	 Deep	 Immediate	 mshambulizi	 Angreifer	 mshambulizi	 1	 3.981796
102	 PA	 Shallow	 9	 Deep	 Immediate	 unaweza	 Können	 unaweza	 1	 2.645492
102	 PA	 Shallow	 10	 Deep	 Immediate	 ubunifu	 Kreativität	 ubunifu	 1	 5.669761
102	 PA	 Shallow	 11	 Deep	 Immediate	 mwimbaji	 Sänger	 mwimbaji	 1	 3.260720
102	 PA	 Shallow	 12	 Shallow	 Immediate	 diwani	 Kanzler	 diwani	 1	 2.202312
102	 PA	 Shallow	 13	 Shallow	 Immediate	 kuchelewa	 Verzögerung	 kuchelewa	 1	 4.013371
102	 PA	 Shallow	 14	 Shallow	 Immediate	 uhasibu	 Abrechnung	 uhasibu	 1	 9.629915
102	 PA	 Shallow	 15	 Shallow	 Immediate	 kilindo	 Übersicht	 kilindo	 1	 2.232771
102	 PA	 Shallow	 16	 Deep	 Immediate	 banguko	 Lawine	 banguko	 1	 2.527182
