id	 activity	 retrievalStrategy	 trial	 encodingStrategy	 retentionInterval	 textItemSw	 textItemDe	 response	 correct	 rt
104	 Rest	 Deep	 1	 Shallow	 Delayed	 usulubu	 Widerstand	 	 0	 16.769099
104	 Rest	 Deep	 2	 Shallow	 Delayed	 nyongeza	 Zuwachs	 upelelezi	 0	 8.918074
104	 Rest	 Deep	 3	 Deep	 Delayed	 tahadhari	 Vorsorge	 fahadhare	 0	 36.221820
104	 Rest	 Deep	 4	 Deep	 Delayed	 msongora	 Polizist	 	 0	 15.719678
104	 Rest	 Deep	 5	 Deep	 Delayed	 uagizaji	 Auftrag	 waneojizi	 0	 57.899505
104	 Rest	 Deep	 6	 Deep	 Delayed	 ushindani	 Wettbewerb	 	 0	 9.334028
104	 Rest	 Deep	 7	 Shallow	 Delayed	 kikuti	 Zufall	 	 0	 12.949788
104	 Rest	 Deep	 8	 Deep	 Delayed	 wakati	 Gelegenheit	 	 0	 7.822106
104	 Rest	 Deep	 9	 Shallow	 Delayed	 ufahamivu	 Verstand	 	 0	 3.698661
104	 Rest	 Deep	 10	 Deep	 Delayed	 ushahidi	 Beweis	 	 0	 4.649060
104	 Rest	 Deep	 11	 Deep	 Delayed	 kutengwa	 Ausschluss	 	 0	 10.120085
104	 Rest	 Deep	 12	 Deep	 Delayed	 mshindani	 Konkurrent	 	 0	 49.646886
104	 Rest	 Deep	 13	 Shallow	 Delayed	 mapendano	 Sympathie	 	 0	 7.165627
104	 Rest	 Deep	 14	 Shallow	 Delayed	 maegesho	 Annäherung	 	 0	 2.661701
104	 Rest	 Deep	 15	 Shallow	 Delayed	 kielezo	 Symbol	 kikuti	 0	 12.454057
104	 Rest	 Deep	 16	 Shallow	 Delayed	 kirembo	 Schönheit	 	 0	 5.794679
104	 Rest	 Shallow	 1	 Shallow	 Delayed	 kikuti	 Zufall	 kikuti	 1	 6.423236
104	 Rest	 Shallow	 2	 Shallow	 Delayed	 nyongeza	 Zuwachs	 nyongeza	 1	 4.128801
104	 Rest	 Shallow	 3	 Deep	 Delayed	 ushindani	 Wettbewerb	 ushindani	 1	 7.777822
104	 Rest	 Shallow	 4	 Shallow	 Delayed	 mapendano	 Sympathie	 mapendano	 1	 6.302091
104	 Rest	 Shallow	 5	 Deep	 Delayed	 tahadhari	 Vorsorge	 tahadhari	 1	 19.689809
104	 Rest	 Shallow	 6	 Deep	 Delayed	 mshindani	 Konkurrent	 mshindani	 1	 4.035608
104	 Rest	 Shallow	 7	 Deep	 Delayed	 wakati	 Gelegenheit	 wakati	 1	 11.530207
104	 Rest	 Shallow	 8	 Deep	 Delayed	 ushahidi	 Beweis	 mapendezi	 0	 6.607723
104	 Rest	 Shallow	 9	 Shallow	 Delayed	 kirembo	 Schönheit	 kirembo	 1	 7.429327
104	 Rest	 Shallow	 10	 Deep	 Delayed	 msongora	 Polizist	 msukani	 0	 5.398937
104	 Rest	 Shallow	 11	 Deep	 Delayed	 kutengwa	 Ausschluss	 kutengwa	 1	 17.000389
104	 Rest	 Shallow	 12	 Shallow	 Delayed	 usulubu	 Widerstand	 usulubu	 1	 7.563492
104	 Rest	 Shallow	 13	 Deep	 Delayed	 uagizaji	 Auftrag	 uagizaji	 1	 9.784330
104	 Rest	 Shallow	 14	 Shallow	 Delayed	 kielezo	 Symbol	 kielezo	 1	 5.189328
104	 Rest	 Shallow	 15	 Shallow	 Delayed	 ufahamivu	 Verstand	 utayari	 0	 23.760489
104	 Rest	 Shallow	 16	 Shallow	 Delayed	 maegesho	 Annäherung	 maegesho	 1	 10.843966
