observation,sender,sender_type,sender_id,response,response_action,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,german,swahili,enc,distractor1,distractor2,distractor3,response_2,x,correct,distractors,url_vp,url_sess,meta_labjs_version,meta_location,meta_user_agent,meta_platform,meta_language,meta_locale,meta_time_zone,meta_timezone_offset,meta_screen_width,meta_screen_height,meta_scroll_width,meta_scroll_height,meta_window_inner_width,meta_window_inner_height,meta_device_pixel_ratio,meta_labjs_build_flavor,meta_labjs_build_commit
8.3E+03,Introduction delayed retrieval,canvas.Screen,0,weiter,keypress(Space),response,43176,363,369,402,43545,43549,2023-01-16T11:39:24Z,43583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,106,2,20.2.4,https://neurocog.fernuni.ch/studies/vweber/delayed/index.html?vp=106&sess=2,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15",MacIntel,de-DE,de-DE,Europe/Zurich,-60,1440,900,1440,743,1440,791,2,production,f5b4a49f956347addd546a832a3327688c2c0fef
8.3E+03,Deep Question,html.Page,1_0_0_0,NA,NA,form submission,19746,43550,43567,43583,63329,63329,2023-01-16T11:39:44Z,63364,Entwicklung,maendeleo,s,uangavu,mshindwa,badiliko,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8.3E+03,Save data screen,canvas.Screen,1_0_0_1,NA,NA,timeout,501,63330,63348,63364,63848,63849,2023-01-16T11:39:45Z,63865,Entwicklung,maendeleo,s,uangavu,mshindwa,badiliko,NA,NA,0,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8.3E+03,deep,flow.Sequence,1_0_0,NA,NA,completion,20265,43550,43567,43583,63848,63849,2023-01-16T11:39:45Z,63865,Entwicklung,maendeleo,s,uangavu,mshindwa,badiliko,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8.3E+03,task,flow.Sequence,1_0,NA,NA,completion,20265,43550,43567,43583,63848,63849,2023-01-16T11:39:45Z,63865,Entwicklung,maendeleo,s,uangavu,mshindwa,badiliko,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8.3E+03,Deep Question,html.Page,1_1_0_0,NA,NA,form submission,17742,63849,63848,63865,81607,81608,2023-01-16T11:40:02Z,81626,Flexibilität,kubadilika,s,enjini,usikilivu,hesabu,kudathase,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8.3E+03,Save data screen,canvas.Screen,1_1_0_1,NA,NA,timeout,500,81608,81615,81626,82110,82111,2023-01-16T11:40:03Z,82126,Flexibilität,kubadilika,s,enjini,usikilivu,hesabu,NA,NA,0,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8.3E+03,deep,flow.Sequence,1_1_0,NA,NA,completion,18245,63849,63848,63865,82110,82111,2023-01-16T11:40:03Z,82126,Flexibilität,kubadilika,s,enjini,usikilivu,hesabu,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8.3E+03,task,flow.Sequence,1_1,NA,NA,completion,18245,63849,63848,63865,82110,82111,2023-01-16T11:40:03Z,82126,Flexibilität,kubadilika,s,enjini,usikilivu,hesabu,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8.3E+03,Deep Question,html.Page,1_2_0_0,NA,NA,form submission,5258,82111,82110,82126,87384,87384,2023-01-16T11:40:08Z,87411,Begegnung,kukutana,s,mmasihiya,mpiganaji,husiano,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8.3E+03,Save data screen,canvas.Screen,1_2_0_1,NA,NA,timeout,501,87385,87394,87411,87896,87896,2023-01-16T11:40:09Z,87912,Begegnung,kukutana,s,mmasihiya,mpiganaji,husiano,NA,NA,0,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8.3E+03,deep,flow.Sequence,1_2_0,NA,NA,completion,5770,82111,82110,82126,87896,87896,2023-01-16T11:40:09Z,87912,Begegnung,kukutana,s,mmasihiya,mpiganaji,husiano,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8.3E+03,task,flow.Sequence,1_2,NA,NA,completion,5770,82111,82110,82126,87896,87896,2023-01-16T11:40:09Z,87912,Begegnung,kukutana,s,mmasihiya,mpiganaji,husiano,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8.3E+03,Deep Question,html.Page,1_3_0_0,NA,NA,form submission,6896,87896,87896,87912,94808,94808,2023-01-16T11:40:16Z,94833,Betrüger,mdanganyifu,s,mwanamuziki,wastani,mahakama,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8.3E+03,Save data screen,canvas.Screen,1_3_0_1,NA,NA,timeout,501,94809,94820,94833,95318,95319,2023-01-16T11:40:16Z,95334,Betrüger,mdanganyifu,s,mwanamuziki,wastani,mahakama,NA,NA,0,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8.3E+03,deep,flow.Sequence,1_3_0,NA,NA,completion,7406,87896,87896,87912,95318,95319,2023-01-16T11:40:16Z,95334,Betrüger,mdanganyifu,s,mwanamuziki,wastani,mahakama,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8.3E+03,task,flow.Sequence,1_3,NA,NA,completion,7406,87896,87896,87912,95318,95319,2023-01-16T11:40:16Z,95334,Betrüger,mdanganyifu,s,mwanamuziki,wastani,mahakama,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8.3E+03,Deep Question,html.Page,1_4_0_0,NA,NA,form submission,16258,95319,95318,95334,111592,111593,2023-01-16T11:40:32Z,111624,Erneuerung,ukarabati,d,ushawishi,ukalifu,unyonyaji,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8.3E+03,Save data screen,canvas.Screen,1_4_0_1,NA,NA,timeout,501,111594,111608,111624,112108,112108,2023-01-16T11:40:33Z,112125,Erneuerung,ukarabati,d,ushawishi,ukalifu,unyonyaji,NA,NA,0,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8.3E+03,deep,flow.Sequence,1_4_0,NA,NA,completion,16774,95319,95318,95334,112108,112109,2023-01-16T11:40:33Z,112125,Erneuerung,ukarabati,d,ushawishi,ukalifu,unyonyaji,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8.3E+03,task,flow.Sequence,1_4,NA,NA,completion,16774,95319,95318,95334,112108,112109,2023-01-16T11:40:33Z,112125,Erneuerung,ukarabati,d,ushawishi,ukalifu,unyonyaji,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8.3E+03,Deep Question,html.Page,1_5_0_0,NA,NA,form submission,31106,112109,112108,112125,143231,143232,2023-01-16T11:41:04Z,143265,Papier,karatasi,d,uchambuzi,usalama,kukataliwa,keritasi,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8.3E+03,Save data screen,canvas.Screen,1_5_0_1,NA,NA,timeout,500,143233,143249,143265,143748,143749,2023-01-16T11:41:05Z,143765,Papier,karatasi,d,uchambuzi,usalama,kukataliwa,NA,NA,0,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8.3E+03,deep,flow.Sequence,1_5_0,NA,NA,completion,31623,112109,112108,112125,143748,143749,2023-01-16T11:41:05Z,143765,Papier,karatasi,d,uchambuzi,usalama,kukataliwa,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8.3E+03,task,flow.Sequence,1_5,NA,NA,completion,31623,112109,112108,112125,143748,143749,2023-01-16T11:41:05Z,143765,Papier,karatasi,d,uchambuzi,usalama,kukataliwa,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8.3E+03,Deep Question,html.Page,1_6_0_0,NA,NA,form submission,1386,143749,143748,143765,145151,145151,2023-01-16T11:41:06Z,145182,Orientierung,urekebisho,d,uelekeo,marekebisho,utunzaji,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8.3E+03,Save data screen,canvas.Screen,1_6_0_1,NA,NA,timeout,501,145152,145167,145182,145667,145667,2023-01-16T11:41:06Z,145683,Orientierung,urekebisho,d,uelekeo,marekebisho,utunzaji,NA,NA,0,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8.3E+03,deep,flow.Sequence,1_6_0,NA,NA,completion,1902,143749,143748,143765,145667,145667,2023-01-16T11:41:06Z,145683,Orientierung,urekebisho,d,uelekeo,marekebisho,utunzaji,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8.3E+03,task,flow.Sequence,1_6,NA,NA,completion,1902,143749,143748,143765,145667,145667,2023-01-16T11:41:06Z,145683,Orientierung,urekebisho,d,uelekeo,marekebisho,utunzaji,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8.3E+03,Deep Question,html.Page,1_7_0_0,NA,NA,form submission,1860,145668,145667,145683,147543,147543,2023-01-16T11:41:08Z,147567,Atmosphäre,angahewa,s,kuteseka,usahihi,kutoamini,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8.3E+03,Save data screen,canvas.Screen,1_7_0_1,NA,NA,timeout,501,147544,147550,147567,148052,148052,2023-01-16T11:41:09Z,148068,Atmosphäre,angahewa,s,kuteseka,usahihi,kutoamini,NA,NA,0,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8.3E+03,deep,flow.Sequence,1_7_0,NA,NA,completion,2369,145667,145667,145683,148052,148052,2023-01-16T11:41:09Z,148068,Atmosphäre,angahewa,s,kuteseka,usahihi,kutoamini,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8.3E+03,task,flow.Sequence,1_7,NA,NA,completion,2369,145667,145667,145683,148052,148053,2023-01-16T11:41:09Z,148068,Atmosphäre,angahewa,s,kuteseka,usahihi,kutoamini,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8.3E+03,Deep Question,html.Page,1_8_0_0,NA,NA,form submission,2851,148053,148052,148068,150919,150919,2023-01-16T11:41:12Z,150952,Stimmung,kinyongo,s,kilekile,kisambo,madhehebu,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
