observation,sender,sender_type,sender_id,response,response_action,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,distractors,german,swahili,enc,distractor1,distractor2,distractor3,response_2,x,correct,x_2,url_vp,url_sess,meta_labjs_version,meta_location,meta_user_agent,meta_platform,meta_language,meta_locale,meta_time_zone,meta_timezone_offset,meta_screen_width,meta_screen_height,meta_scroll_width,meta_scroll_height,meta_window_inner_width,meta_window_inner_height,meta_device_pixel_ratio,meta_labjs_build_flavor,meta_labjs_build_commit
0ccb7,Introduction general,canvas.Screen,0,weiter,keypress(q),response,1612178.911,582.69999998808,899.451,932.789,1613111.7,1613114.3,2023-01-28T16:59:45Z,1613116.244,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106,3,20.2.4,https://neurocog.fernuni.ch/studies/vweber/encoding_immediate/index.html?vp=106&sess=3,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36",MacIntel,de-DE,de,Europe/Zurich,-60,1440,900,1440,748,1440,796,2,production,f5b4a49f956347addd546a832a3327688c2c0fef
0ccb7,Introduction practice,canvas.Screen,1_0,NA,keypress(Space),response,3971.556000012,1613114.6,1613099.575,1613116.244,1617087.8,1617090,2023-01-28T16:59:49Z,1617101.045,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0ccb7,Deep Question,html.Page,1_1_0_0_0,NA,NA,form submission,4993.6549999882,1617090.2,1617084.376,1617101.045,1622094.7,1622094.9,2023-01-28T16:59:54Z,1622101.745,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gesundheit,salama,d,NA,NA,NA,a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0ccb7,"""Richtig""-Screen",canvas.Screen,1_1_0_0_1,NA,NA,skipped,NA,1622096.1,NA,NA,1622094.7,1622096.3,2023-01-28T16:59:54Z,1622101.745,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gesundheit,salama,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0ccb7,"""Falsch""-Screen",canvas.Screen,1_1_0_0_2,NA,NA,timeout,5000.7,1622097.1,1622085.076,1622101.745,1627085.776,1627089.1,2023-01-28T16:59:59Z,1627102.445,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gesundheit,salama,d,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0ccb7,deep,flow.Sequence,1_1_0_0,NA,NA,completion,9984.7310000001,1617090.1,1617084.376,1617101.045,1627085.776,1627089.4,2023-01-28T16:59:59Z,1627102.445,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gesundheit,salama,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0ccb7,shallow,flow.Sequence,1_1_0_1,NA,NA,skipped,NA,1627089.4,NA,NA,1627085.776,1627089.6,2023-01-28T16:59:59Z,1627102.445,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gesundheit,salama,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0ccb7,task,flow.Sequence,1_1_0,NA,NA,completion,9984.7310000001,1617090.1,1617084.376,1617101.045,1627085.776,1627089.9,2023-01-28T16:59:59Z,1627102.445,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gesundheit,salama,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0ccb7,deep,flow.Sequence,1_1_1_0,NA,NA,skipped,NA,1627089.9,NA,NA,1627085.776,1627090,2023-01-28T16:59:59Z,1627102.445,"c(""distractor1"", ""distractor2"", ""distractor3"")",Kritik,lawama,s,dereva,nafasi,mawazo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0ccb7,Shallow Question,html.Page,1_1_1_1_0,NA,NA,form submission,2409.3550000119,1627090.2,1627085.776,1627102.445,1629511.8,1629512.1,2023-01-28T17:00:02Z,1629521.416,"c(""distractor1"", ""distractor2"", ""distractor3"")",Kritik,lawama,s,dereva,nafasi,mawazo,lawama,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0ccb7,"""Richtig""-Screen",canvas.Screen,1_1_1_1_1,NA,NA,timeout,5000.7,1629512.9,1629504.747,1629521.416,1634505.447,1634507.6,2023-01-28T17:00:07Z,1634522.116,"c(""distractor1"", ""distractor2"", ""distractor3"")",Kritik,lawama,s,dereva,nafasi,mawazo,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0ccb7,"""Falsch""-Screen",canvas.Screen,1_1_1_1_2,NA,NA,skipped,NA,1634509.9,NA,NA,1634505.447,1634510.1,2023-01-28T17:00:07Z,1634522.116,"c(""distractor1"", ""distractor2"", ""distractor3"")",Kritik,lawama,s,dereva,nafasi,mawazo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0ccb7,shallow,flow.Sequence,1_1_1_1,NA,NA,completion,7403.0019999999,1627090.2,1627085.776,1627102.445,1634505.447,1634510.3,2023-01-28T17:00:07Z,1634522.116,"c(""distractor1"", ""distractor2"", ""distractor3"")",Kritik,lawama,s,dereva,nafasi,mawazo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0ccb7,task,flow.Sequence,1_1_1,NA,NA,completion,7403.0019999999,1627089.9,1627085.776,1627102.445,1634505.447,1634510.3,2023-01-28T17:00:07Z,1634522.116,"c(""distractor1"", ""distractor2"", ""distractor3"")",Kritik,lawama,s,dereva,nafasi,mawazo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0ccb7,deep,flow.Sequence,1_1_2_0,NA,NA,skipped,NA,1634510.5,NA,NA,1634505.447,1634510.6,2023-01-28T17:00:07Z,1634522.116,"c(""distractor1"", ""distractor2"", ""distractor3"")",Rückhalt,msaada,s,muhula,auwali,kiwimbe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0ccb7,Shallow Question,html.Page,1_1_2_1_0,NA,NA,form submission,1607.9839999941,1634510.6,1634505.447,1634522.116,1636130.1,1636130.3,2023-01-28T17:00:08Z,1636139.009,"c(""distractor1"", ""distractor2"", ""distractor3"")",Rückhalt,msaada,s,muhula,auwali,kiwimbe,auwali,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0ccb7,"""Richtig""-Screen",canvas.Screen,1_1_2_1_1,NA,NA,skipped,NA,1636130.9,NA,NA,1636130.1,1636131,2023-01-28T17:00:08Z,1636139.009,"c(""distractor1"", ""distractor2"", ""distractor3"")",Rückhalt,msaada,s,muhula,auwali,kiwimbe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0ccb7,"""Falsch""-Screen",canvas.Screen,1_1_2_1_2,NA,NA,timeout,5000.7,1636131.7,1636122.34,1636139.009,1641123.04,1641124.6,2023-01-28T17:00:13Z,1641139.709,"c(""distractor1"", ""distractor2"", ""distractor3"")",Rückhalt,msaada,s,muhula,auwali,kiwimbe,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0ccb7,shallow,flow.Sequence,1_1_2_1,NA,NA,completion,6600.9240000001,1634510.6,1634505.447,1634522.116,1641123.04,1641124.7,2023-01-28T17:00:13Z,1641139.709,"c(""distractor1"", ""distractor2"", ""distractor3"")",Rückhalt,msaada,s,muhula,auwali,kiwimbe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0ccb7,task,flow.Sequence,1_1_2,NA,NA,completion,6600.9240000001,1634510.5,1634505.447,1634522.116,1641123.04,1641124.9,2023-01-28T17:00:13Z,1641139.709,"c(""distractor1"", ""distractor2"", ""distractor3"")",Rückhalt,msaada,s,muhula,auwali,kiwimbe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0ccb7,Deep Question,html.Page,1_1_3_0_0,NA,NA,form submission,3030.490999988,1641125,1641123.04,1641139.709,1644170.2,1644170.3,2023-01-28T17:00:17Z,1644174.943,"c(""distractor1"", ""distractor2"", ""distractor3"")",Qualität,mtindo,d,NA,NA,NA,a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0ccb7,"""Richtig""-Screen",canvas.Screen,1_1_3_0_1,NA,NA,skipped,NA,1644172,NA,NA,1644170.2,1644172.1,2023-01-28T17:00:17Z,1644174.943,"c(""distractor1"", ""distractor2"", ""distractor3"")",Qualität,mtindo,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0ccb7,"""Falsch""-Screen",canvas.Screen,1_1_3_0_2,NA,NA,timeout,5000.7,1644172.6,1644158.274,1644174.943,1649158.974,1649160.4,2023-01-28T17:00:22Z,1649175.643,"c(""distractor1"", ""distractor2"", ""distractor3"")",Qualität,mtindo,d,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0ccb7,deep,flow.Sequence,1_1_3_0,NA,NA,completion,8019.2649999999,1641125,1641123.04,1641139.709,1649158.974,1649160.7,2023-01-28T17:00:22Z,1649175.643,"c(""distractor1"", ""distractor2"", ""distractor3"")",Qualität,mtindo,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0ccb7,shallow,flow.Sequence,1_1_3_1,NA,NA,skipped,NA,1649160.7,NA,NA,1649158.974,1649160.7,2023-01-28T17:00:22Z,1649175.643,"c(""distractor1"", ""distractor2"", ""distractor3"")",Qualität,mtindo,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0ccb7,task,flow.Sequence,1_1_3,NA,NA,completion,8019.2649999999,1641124.9,1641123.04,1641139.709,1649158.974,1649160.9,2023-01-28T17:00:22Z,1649175.643,"c(""distractor1"", ""distractor2"", ""distractor3"")",Qualität,mtindo,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0ccb7,Deep Question,html.Page,1_1_4_0_0,NA,NA,form submission,1586.657000012,1649161,1649158.974,1649175.643,1650762.3,1650762.5,2023-01-28T17:00:23Z,1650775.867,"c(""distractor1"", ""distractor2"", ""distractor3"")",Schatten,kivuli,d,NA,NA,NA,c,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0ccb7,"""Richtig""-Screen",canvas.Screen,1_1_4_0_1,NA,NA,skipped,NA,1650764,NA,NA,1650762.3,1650764.1,2023-01-28T17:00:23Z,1650775.867,"c(""distractor1"", ""distractor2"", ""distractor3"")",Schatten,kivuli,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0ccb7,"""Falsch""-Screen",canvas.Screen,1_1_4_0_2,NA,NA,timeout,5000.7,1650764.7,1650759.198,1650775.867,1655759.898,1655762,2023-01-28T17:00:28Z,1655776.567,"c(""distractor1"", ""distractor2"", ""distractor3"")",Schatten,kivuli,d,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0ccb7,deep,flow.Sequence,1_1_4_0,NA,NA,completion,6584.2550000001,1649160.9,1649158.974,1649175.643,1655759.898,1655762.2,2023-01-28T17:00:28Z,1655776.567,"c(""distractor1"", ""distractor2"", ""distractor3"")",Schatten,kivuli,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0ccb7,shallow,flow.Sequence,1_1_4_1,NA,NA,skipped,NA,1655762.3,NA,NA,1655759.898,1655762.3,2023-01-28T17:00:28Z,1655776.567,"c(""distractor1"", ""distractor2"", ""distractor3"")",Schatten,kivuli,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0ccb7,task,flow.Sequence,1_1_4,NA,NA,completion,6584.2550000001,1649160.9,1649158.974,1649175.643,1655759.898,1655762.4,2023-01-28T17:00:28Z,1655776.567,"c(""distractor1"", ""distractor2"", ""distractor3"")",Schatten,kivuli,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0ccb7,deep,flow.Sequence,1_1_5_0,NA,NA,skipped,NA,1655762.5,NA,NA,1655759.898,1655762.5,2023-01-28T17:00:28Z,1655776.567,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gegenwart,hadhara,s,katiba,jokofu,mikopo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0ccb7,Shallow Question,html.Page,1_1_5_1_0,NA,NA,form submission,2627.3330000059,1655762.7,1655759.898,1655776.567,1658403.9,1658404.1,2023-01-28T17:00:31Z,1658411.661,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gegenwart,hadhara,s,katiba,jokofu,mikopo,katiba,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0ccb7,"""Richtig""-Screen",canvas.Screen,1_1_5_1_1,NA,NA,skipped,NA,1658405.6,NA,NA,1658403.9,1658405.7,2023-01-28T17:00:31Z,1658411.661,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gegenwart,hadhara,s,katiba,jokofu,mikopo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0ccb7,"""Falsch""-Screen",canvas.Screen,1_1_5_1_2,NA,NA,timeout,5000.7,1658406.3,1658394.992,1658411.661,1663395.692,1663397.4,2023-01-28T17:00:36Z,1663412.361,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gegenwart,hadhara,s,katiba,jokofu,mikopo,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0ccb7,shallow,flow.Sequence,1_1_5_1,NA,NA,completion,7619.125,1655762.6,1655759.898,1655776.567,1663395.692,1663397.7,2023-01-28T17:00:36Z,1663412.361,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gegenwart,hadhara,s,katiba,jokofu,mikopo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0ccb7,task,flow.Sequence,1_1_5,NA,NA,completion,7619.125,1655762.4,1655759.898,1655776.567,1663395.692,1663397.9,2023-01-28T17:00:36Z,1663412.361,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gegenwart,hadhara,s,katiba,jokofu,mikopo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0ccb7,block,flow.Loop,1_1,NA,NA,completion,46294.647,1617090.1,1617084.376,1617101.045,1663395.692,1663398.1,2023-01-28T17:00:36Z,1663412.361,"c(""distractor1"", ""distractor2"", ""distractor3"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0ccb7,Practice,flow.Sequence,1,NA,NA,completion,50279.448,1613114.6,1613099.575,1613116.244,1663395.692,1663398.2,2023-01-28T17:00:36Z,1663412.361,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0ccb7,Experiment start,canvas.Screen,2,weiter,keypress(q),response,22563.439000012,1663398.3,1663395.692,1663412.361,1685975.8,1685979.7,2023-01-28T17:00:58Z,1686048.863,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0ccb7,Deep Question,html.Page,3_0_0_0_0_0_0,NA,NA,form submission,19865.437000012,1686058.7,1685965.518,1686048.863,1705914.3,1705914.6,2023-01-28T17:01:18Z,1705925.276,NULL,Ausschluss,kutengwa,d,NA,NA,NA,mapungu,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0ccb7,"""Richtig""-Screen",canvas.Screen,3_0_0_0_0_0_1,NA,NA,skipped,NA,1705916.3,NA,NA,1705914.3,1705916.4,2023-01-28T17:01:18Z,1705925.276,NULL,Ausschluss,kutengwa,d,NA,NA,NA,NA,sdf,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0ccb7,"""Falsch""-Screen",canvas.Screen,3_0_0_0_0_0_2,NA,NA,timeout,5000.7,1705916.9,1705908.607,1705925.276,1710909.307,1710911.3,2023-01-28T17:01:23Z,1710925.976,NULL,Ausschluss,kutengwa,d,NA,NA,NA,NA,sdf,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0ccb7,deep,flow.Sequence,3_0_0_0_0_0,NA,NA,completion,24860.444,1686058.7,1685965.518,1686048.863,1710909.307,1710911.6,2023-01-28T17:01:23Z,1710925.976,NULL,Ausschluss,kutengwa,d,NA,NA,NA,NA,sdf,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
