observation,sender,sender_type,sender_id,response,response_action,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,distractors,german,swahili,enc,distractor1,distractor2,distractor3,response_2,x,correct,x_2,url_vp,url_sess,meta_labjs_version,meta_location,meta_user_agent,meta_platform,meta_language,meta_locale,meta_time_zone,meta_timezone_offset,meta_screen_width,meta_screen_height,meta_scroll_width,meta_scroll_height,meta_window_inner_width,meta_window_inner_height,meta_device_pixel_ratio,meta_labjs_build_flavor,meta_labjs_build_commit
d7167,Introduction general,canvas.Screen,0,weiter,keypress(q),response,9740.2139998093,2971.5,2960.51,5243.486,14983.699999809,14987.099999905,2023-02-10T19:20:34Z,14992.029,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107,3,20.2.4,https://neurocog.fernuni.ch/studies/vweber/encoding_immediate/index.html?vp=107&sess=3,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36",Win32,en-US,en-US,Europe/Berlin,-60,1536,864,1536,674,1536,722,1.25,production,f5b4a49f956347addd546a832a3327688c2c0fef
d7167,Introduction practice,canvas.Screen,1_0,NA,keypress(Space),response,1858.1709998093,14987.699999809,14976.038,14992.029,16850.199999809,16850.800000191,2023-02-10T19:20:36Z,16858.42,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
d7167,deep,flow.Sequence,1_1_0_0,NA,NA,skipped,NA,16851,NA,NA,16850.199999809,16851.300000191,2023-02-10T19:20:36Z,16858.42,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gegenwart,hadhara,s,katiba,jokofu,mikopo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
d7167,Shallow Question,html.Page,1_1_0_1_0,NA,NA,form submission,13155.380000191,16851.400000095,16841.895,16858.42,30013.800000191,30014.099999905,2023-02-10T19:20:49Z,30023.153,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gegenwart,hadhara,s,katiba,jokofu,mikopo,katiba,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
d7167,"""Richtig""-Screen",canvas.Screen,1_1_0_1_1,NA,NA,skipped,NA,30015.699999809,NA,NA,30013.800000191,30015.800000191,2023-02-10T19:20:49Z,30023.153,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gegenwart,hadhara,s,katiba,jokofu,mikopo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
d7167,"""Falsch""-Screen",canvas.Screen,1_1_0_1_2,NA,NA,timeout,4999.256,30017,29989.954,30023.153,35005.809,35006.699999809,2023-02-10T19:20:54Z,35022.409,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gegenwart,hadhara,s,katiba,jokofu,mikopo,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
d7167,shallow,flow.Sequence,1_1_0_1,NA,NA,completion,18147.389,16851.400000095,16841.895,16858.42,35005.809,35007,2023-02-10T19:20:54Z,35022.409,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gegenwart,hadhara,s,katiba,jokofu,mikopo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
d7167,task,flow.Sequence,1_1_0,NA,NA,completion,18147.389,16851,16841.895,16858.42,35005.809,35007.099999904996,2023-02-10T19:20:54Z,35022.409,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gegenwart,hadhara,s,katiba,jokofu,mikopo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
d7167,deep,flow.Sequence,1_1_1_0,NA,NA,skipped,NA,35007.400000095004,NA,NA,35005.809,35007.5,2023-02-10T19:20:54Z,35022.409,"c(""distractor1"", ""distractor2"", ""distractor3"")",Rückhalt,msaada,s,muhula,auwali,kiwimbe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
d7167,Shallow Question,html.Page,1_1_1_1_0,NA,NA,form submission,12363.790999809,35007.900000095004,35005.809,35022.409,47386.199999809,47386.5,2023-02-10T19:21:07Z,47387.213,"c(""distractor1"", ""distractor2"", ""distractor3"")",Rückhalt,msaada,s,muhula,auwali,kiwimbe,kiwimbe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
