observation,sender,sender_type,sender_id,response,response_action,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,distractors,german,swahili,enc,distractor1,distractor2,distractor3,response_2,x,correct,x_2,url_vp,url_sess,meta_labjs_version,meta_location,meta_user_agent,meta_platform,meta_language,meta_locale,meta_time_zone,meta_timezone_offset,meta_screen_width,meta_screen_height,meta_scroll_width,meta_scroll_height,meta_window_inner_width,meta_window_inner_height,meta_device_pixel_ratio,meta_labjs_build_flavor,meta_labjs_build_commit
a346f,Introduction general,canvas.Screen,0,weiter,keypress(q),response,173025.322,1983.2999999523,1997.991,2048.178,175073.5,175076.5,2023-01-20T17:08:41Z,175090.601,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,1,20.2.4,https://neurocog.fernuni.ch/studies/vweber/encoding_immediate/index.html?vp=108&sess=1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36",Win32,en-US,en-US,Europe/Berlin,-60,1536,864,1536,674,1536,722,1.25,production,f5b4a49f956347addd546a832a3327688c2c0fef
a346f,Introduction practice,canvas.Screen,1_0,NA,keypress(Space),response,21759.798999976,175076.89999998,175067.475,175090.601,196850.39999998,196851,2023-01-20T17:09:02Z,196883.095,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a346f,Deep Question,html.Page,1_1_0_0_0,NA,NA,form submission,14260.604999928,196851.89999998,196839.753,196883.095,211143.69999993,211144,2023-01-20T17:09:17Z,211168.895,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gesundheit,salama,d,NA,NA,NA,k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a346f,"""Richtig""-Screen",canvas.Screen,1_1_0_0_1,NA,NA,skipped,NA,211145.69999993,NA,NA,211143.69999993,211145.89999998,2023-01-20T17:09:17Z,211168.895,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gesundheit,salama,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a346f,"""Falsch""-Screen",canvas.Screen,1_1_0_0_2,NA,NA,timeout,4999.351,211147.39999998,211135.7,211168.895,216151.611,216154,2023-01-20T17:09:22Z,216168.246,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gesundheit,salama,d,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a346f,deep,flow.Sequence,1_1_0_0,NA,NA,completion,19268.516,196851.89999998,196839.753,196883.095,216151.611,216154.19999993,2023-01-20T17:09:22Z,216168.246,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gesundheit,salama,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a346f,shallow,flow.Sequence,1_1_0_1,NA,NA,skipped,NA,216154.39999998,NA,NA,216151.611,216154.39999998,2023-01-20T17:09:22Z,216168.246,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gesundheit,salama,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a346f,task,flow.Sequence,1_1_0,NA,NA,completion,19268.516,196851.89999998,196839.753,196883.095,216151.611,216154.60000002,2023-01-20T17:09:22Z,216168.246,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gesundheit,salama,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a346f,Deep Question,html.Page,1_1_1_0_0,NA,NA,form submission,10426.653999976,216154.79999995,216151.611,216168.246,226594.89999998,226595.19999993,2023-01-20T17:09:32Z,226600.06,"c(""distractor1"", ""distractor2"", ""distractor3"")",Schatten,kivuli,d,NA,NA,NA,salamaa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a346f,"""Richtig""-Screen",canvas.Screen,1_1_1_0_1,NA,NA,skipped,NA,226598,NA,NA,226594.89999998,226598.19999993,2023-01-20T17:09:32Z,226600.06,"c(""distractor1"", ""distractor2"", ""distractor3"")",Schatten,kivuli,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a346f,"""Falsch""-Screen",canvas.Screen,1_1_1_0_2,NA,NA,timeout,4999.391,226599.19999993,226583.542,226600.06,231582.81,231583.60000002,2023-01-20T17:09:37Z,231599.451,"c(""distractor1"", ""distractor2"", ""distractor3"")",Schatten,kivuli,d,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a346f,deep,flow.Sequence,1_1_1_0,NA,NA,completion,15414.564,216154.69999993,216151.611,216168.246,231582.81,231583.89999998,2023-01-20T17:09:37Z,231599.451,"c(""distractor1"", ""distractor2"", ""distractor3"")",Schatten,kivuli,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a346f,shallow,flow.Sequence,1_1_1_1,NA,NA,skipped,NA,231584.10000002,NA,NA,231582.81,231584.29999995,2023-01-20T17:09:37Z,231599.451,"c(""distractor1"", ""distractor2"", ""distractor3"")",Schatten,kivuli,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a346f,task,flow.Sequence,1_1_1,NA,NA,completion,15414.564,216154.60000002,216151.611,216168.246,231582.81,231584.39999998,2023-01-20T17:09:37Z,231599.451,"c(""distractor1"", ""distractor2"", ""distractor3"")",Schatten,kivuli,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a346f,Deep Question,html.Page,1_1_2_0_0,NA,NA,form submission,8678.9489999762,231584.69999993,231582.81,231599.451,240278.39999998,240278.69999993,2023-01-20T17:09:46Z,240281.497,"c(""distractor1"", ""distractor2"", ""distractor3"")",Qualität,mtindo,d,NA,NA,NA,kivuilii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a346f,"""Richtig""-Screen",canvas.Screen,1_1_2_0_1,NA,NA,skipped,NA,240281,NA,NA,240278.39999998,240281.19999993,2023-01-20T17:09:46Z,240281.497,"c(""distractor1"", ""distractor2"", ""distractor3"")",Qualität,mtindo,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a346f,"""Falsch""-Screen",canvas.Screen,1_1_2_0_2,NA,NA,timeout,4999.366,240282.19999993,240264.846,240281.497,245264.252,245265,2023-01-20T17:09:51Z,245280.863,"c(""distractor1"", ""distractor2"", ""distractor3"")",Qualität,mtindo,d,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a346f,deep,flow.Sequence,1_1_2_0,NA,NA,completion,13664.801,231584.69999993,231582.81,231599.451,245264.252,245265.19999993,2023-01-20T17:09:51Z,245280.863,"c(""distractor1"", ""distractor2"", ""distractor3"")",Qualität,mtindo,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a346f,shallow,flow.Sequence,1_1_2_1,NA,NA,skipped,NA,245265.29999995,NA,NA,245264.252,245265.39999998,2023-01-20T17:09:51Z,245280.863,"c(""distractor1"", ""distractor2"", ""distractor3"")",Qualität,mtindo,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a346f,task,flow.Sequence,1_1_2,NA,NA,completion,13664.801,231584.60000002,231582.81,231599.451,245264.252,245265.60000002,2023-01-20T17:09:51Z,245280.863,"c(""distractor1"", ""distractor2"", ""distractor3"")",Qualität,mtindo,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
