observation,sender,sender_type,sender_id,response,response_action,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,german,swahili,enc,distractor1,distractor2,distractor3,response_2,x,correct,distractors,url_vp,url_sess,meta_labjs_version,meta_location,meta_user_agent,meta_platform,meta_language,meta_locale,meta_time_zone,meta_timezone_offset,meta_screen_width,meta_screen_height,meta_scroll_width,meta_scroll_height,meta_window_inner_width,meta_window_inner_height,meta_device_pixel_ratio,meta_labjs_build_flavor,meta_labjs_build_commit
f6fa2,Introduction delayed retrieval,canvas.Screen,0,weiter,keypress(Space),response,956,981,1013,1131,1969,2001,2023-04-08T13:18:03Z,2055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,124,2,20.2.4,https://neurocog.fernuni.ch/studies/vweber/delayed/index.html?vp=124&sess=2,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Safari/605.1.15",MacIntel,de-DE,de-DE,Europe/Zurich,-120,1440,900,1324,673,1324,721,2,production,f5b4a49f956347addd546a832a3327688c2c0fef
f6fa2,Deep Question,html.Page,1_0_0_0,NA,NA,form submission,14117,2002,2045,2055,16172,16173,2023-04-08T13:18:17Z,16223,Vergnügen,kichekesho,d,dubwana,mpanuko,mtesaji,k,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
f6fa2,Save data screen,canvas.Screen,1_0_0_1,NA,NA,timeout,500,16175,16190,16223,16690,16690,2023-04-08T13:18:18Z,16723,Vergnügen,kichekesho,d,dubwana,mpanuko,mtesaji,NA,NA,0,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
f6fa2,deep,flow.Sequence,1_0_0,NA,NA,completion,14635,2001,2045,2055,16690,16691,2023-04-08T13:18:18Z,16723,Vergnügen,kichekesho,d,dubwana,mpanuko,mtesaji,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
f6fa2,task,flow.Sequence,1_0,NA,NA,completion,14635,2001,2045,2055,16690,16691,2023-04-08T13:18:18Z,16723,Vergnügen,kichekesho,d,dubwana,mpanuko,mtesaji,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
f6fa2,Deep Question,html.Page,1_1_0_0,NA,NA,form submission,11493,16691,16690,16723,28216,28217,2023-04-08T13:18:30Z,28267,Spionage,upelelezi,s,maslahi,utokazo,magangao,mpuzi,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
f6fa2,Save data screen,canvas.Screen,1_1_0_1,NA,NA,timeout,499,28218,28241,28267,28732,28733,2023-04-08T13:18:30Z,28766,Spionage,upelelezi,s,maslahi,utokazo,magangao,NA,NA,0,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
f6fa2,deep,flow.Sequence,1_1_0,NA,NA,completion,12009,16691,16690,16723,28732,28734,2023-04-08T13:18:30Z,28766,Spionage,upelelezi,s,maslahi,utokazo,magangao,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
f6fa2,task,flow.Sequence,1_1,NA,NA,completion,12009,16691,16690,16723,28732,28734,2023-04-08T13:18:30Z,28766,Spionage,upelelezi,s,maslahi,utokazo,magangao,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
f6fa2,Deep Question,html.Page,1_2_0_0,NA,NA,form submission,4588,28734,28732,28766,33354,33354,2023-04-08T13:18:35Z,33412,Theorie,nadharia,s,ushungi,mkutano,uwakilishi,kk,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
