observation,sender,sender_type,sender_id,response,response_action,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,distractors,german,swahili,enc,distractor1,distractor2,distractor3,response_2,x,correct,x_2,url_vp,url_sess,meta_labjs_version,meta_location,meta_user_agent,meta_platform,meta_language,meta_locale,meta_time_zone,meta_timezone_offset,meta_screen_width,meta_screen_height,meta_scroll_width,meta_scroll_height,meta_window_inner_width,meta_window_inner_height,meta_device_pixel_ratio,meta_labjs_build_flavor,meta_labjs_build_commit
13eb4,Introduction general,canvas.Screen,0,weiter,keypress(q),response,63889.211,675.69999999995,281.213,681.289,64570.5,64576.7,2023-08-21T15:21:17Z,64580.783,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128,3,20.2.4,https://neurocog.fernuni.ch/studies/vweber/encoding_immediate/index.html?vp=128&sess=3,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36",Win32,de-DE,de,Europe/Zurich,-120,1440,960,1440,755,1440,803,2,production,f5b4a49f956347addd546a832a3327688c2c0fef
13eb4,Introduction practice,canvas.Screen,1_0,NA,keypress(Space),response,6758.6169999999,64576.8,64565.71,64580.783,71339.4,71340.6,2023-08-21T15:21:24Z,71354.514,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13eb4,deep,flow.Sequence,1_1_0_0,NA,NA,skipped,NA,71341,NA,NA,71339.4,71344,2023-08-21T15:21:24Z,71354.514,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gegenwart,hadhara,s,katiba,jokofu,mikopo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13eb4,Shallow Question,html.Page,1_1_0_1_0,NA,NA,form submission,5246.2860000001,71344.2,71344.76,71354.514,76600.8,76601.3,2023-08-21T15:21:29Z,76602.406,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gegenwart,hadhara,s,katiba,jokofu,mikopo,hadhara,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13eb4,"""Richtig""-Screen",canvas.Screen,1_1_0_1_1,NA,NA,timeout,5000.245,76604.1,76594.257,76602.406,81585.897,81587,2023-08-21T15:21:34Z,81602.651,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gegenwart,hadhara,s,katiba,jokofu,mikopo,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13eb4,"""Falsch""-Screen",canvas.Screen,1_1_0_1_2,NA,NA,skipped,NA,81588.8,NA,NA,81585.897,81589.1,2023-08-21T15:21:34Z,81602.651,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gegenwart,hadhara,s,katiba,jokofu,mikopo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13eb4,shallow,flow.Sequence,1_1_0_1,NA,NA,completion,10231.383,71344.2,71344.76,71354.514,81585.897,81589.5,2023-08-21T15:21:34Z,81602.651,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gegenwart,hadhara,s,katiba,jokofu,mikopo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13eb4,task,flow.Sequence,1_1_0,NA,NA,completion,10231.383,71341,71344.76,71354.514,81585.897,81589.9,2023-08-21T15:21:34Z,81602.651,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gegenwart,hadhara,s,katiba,jokofu,mikopo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13eb4,Deep Question,html.Page,1_1_1_0_0,NA,NA,form submission,5347.149,81590.1,81585.897,81602.651,86949.8,86950.6,2023-08-21T15:21:40Z,86971.073,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gesundheit,salama,d,NA,NA,NA,j,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13eb4,"""Richtig""-Screen",canvas.Screen,1_1_1_0_1,NA,NA,skipped,NA,86956.1,NA,NA,86949.8,86956.5,2023-08-21T15:21:40Z,86971.073,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gesundheit,salama,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
