observation,sender,sender_type,sender_id,response,response_action,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,distractors,german,swahili,enc,distractor1,distractor2,distractor3,response_2,x,correct,x_2,url_vp,url_sess,meta_labjs_version,meta_location,meta_user_agent,meta_platform,meta_language,meta_locale,meta_time_zone,meta_timezone_offset,meta_screen_width,meta_screen_height,meta_scroll_width,meta_scroll_height,meta_window_inner_width,meta_window_inner_height,meta_device_pixel_ratio,meta_labjs_build_flavor,meta_labjs_build_commit
c83d1,Introduction general,canvas.Screen,0,weiter,keypress(q),response,98294.200000191,759.80000019073,758.858,775.6,99069.800000191,99075,2024-02-17T08:37:36Z,99075.5,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152,1,20.2.4,https://neurocog.fernuni.ch/studies/vweber/jbaenninger/encoding_immediate/index.html?vp=152&sess=1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0",Win32,de,de-CH,Europe/Zurich,-60,1920,1080,1872,910,1872,958,1,production,f5b4a49f956347addd546a832a3327688c2c0fef
c83d1,Introduction practice,canvas.Screen,1_0,NA,keypress(Space),response,9494.5999999046,99075.599999905,99075.474,99075.5,108570.0999999,108571,2024-02-17T08:37:46Z,108592.1,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
c83d1,Deep Question,html.Page,1_1_0_0_0,NA,NA,form submission,29567.700000191,108571.30000019001,108571.9,108592.1,138159.80000019,138160.0999999,2024-02-17T08:38:15Z,138158.976,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gesundheit,salama,d,NA,NA,NA,fari,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
c83d1,"""Richtig""-Screen",canvas.Screen,1_1_0_0_1,NA,NA,skipped,NA,138161.5999999,NA,NA,138159.80000019,138161.69999981,2024-02-17T08:38:15Z,138158.976,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gesundheit,salama,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
c83d1,"""Falsch""-Screen",canvas.Screen,1_1_0_0_2,NA,NA,timeout,4999.824,138162.5999999,138158.976,138158.976,143142.2,143145.9000001,2024-02-17T08:38:20Z,143158.8,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gesundheit,salama,d,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
c83d1,deep,flow.Sequence,1_1_0_0,NA,NA,completion,34550.1,108571.30000019001,108571.9,108592.1,143142.2,143146.30000019,2024-02-17T08:38:20Z,143158.8,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gesundheit,salama,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
c83d1,shallow,flow.Sequence,1_1_0_1,NA,NA,skipped,NA,143146.5,NA,NA,143142.2,143146.5999999,2024-02-17T08:38:20Z,143158.8,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gesundheit,salama,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
c83d1,task,flow.Sequence,1_1_0,NA,NA,completion,34550.1,108571.19999981,108571.9,108592.1,143142.2,143146.80000019,2024-02-17T08:38:20Z,143158.8,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gesundheit,salama,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
c83d1,deep,flow.Sequence,1_1_1_0,NA,NA,skipped,NA,143147,NA,NA,143142.2,143147.19999981,2024-02-17T08:38:20Z,143158.8,"c(""distractor1"", ""distractor2"", ""distractor3"")",Kritik,lawama,s,dereva,nafasi,mawazo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
c83d1,Shallow Question,html.Page,1_1_1_1_0,NA,NA,form submission,14829.000000191,143147.4000001,143142.2,143158.8,157987.80000019,157988.0999999,2024-02-17T08:38:35Z,157992.318,"c(""distractor1"", ""distractor2"", ""distractor3"")",Kritik,lawama,s,dereva,nafasi,mawazo,mawazo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
c83d1,"""Richtig""-Screen",canvas.Screen,1_1_1_1_1,NA,NA,skipped,NA,157990,NA,NA,157987.80000019,157990.30000019,2024-02-17T08:38:35Z,157992.318,"c(""distractor1"", ""distractor2"", ""distractor3"")",Kritik,lawama,s,dereva,nafasi,mawazo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
