observation,sender,sender_type,sender_id,response,response_action,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,german,swahili,enc,distractor1,distractor2,distractor3,response_2,x,correct,distractors,url_vp,url_sess,meta_labjs_version,meta_location,meta_user_agent,meta_platform,meta_language,meta_locale,meta_time_zone,meta_timezone_offset,meta_screen_width,meta_screen_height,meta_scroll_width,meta_scroll_height,meta_window_inner_width,meta_window_inner_height,meta_device_pixel_ratio,meta_labjs_build_flavor,meta_labjs_build_commit
f4d3f,Introduction delayed retrieval,canvas.Screen,0,weiter,keypress(Space),response,15110.900000381,412.80000019073,403.494,420.2,15531.100000381,15533.800000191,2024-03-11T13:01:29Z,15537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,154,"4",20.2.4,https://neurocog.fernuni.ch/studies/vweber/jbaenninger/delayed%202/index.html?vp=154&sess=4%0d,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 Edg/122.0.0.0",Win32,de,de-CH,Europe/Zurich,-60,1920,1080,1872,910,1872,958,1,production,f5b4a49f956347addd546a832a3327688c2c0fef
f4d3f,Deep Question,html.Page,1_0_0_0,NA,NA,form submission,2614,15534.300000191,15520.4,15537,18151,18151.300000191,2024-03-11T13:01:31Z,18153.73,Verpackung,ufungaji,d,uhusiano,upimaji,uchunguzi,gg,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
f4d3f,Save data screen,canvas.Screen,1_0_0_1,NA,NA,timeout,499.97,18152.300000191,18153.73,18153.73,18636.9,18638,2024-03-11T13:01:32Z,18653.7,Verpackung,ufungaji,d,uhusiano,upimaji,uchunguzi,NA,NA,0,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
f4d3f,deep,flow.Sequence,1_0_0,NA,NA,completion,3099.9,15534.300000191,15520.4,15537,18636.9,18638.300000191,2024-03-11T13:01:32Z,18653.7,Verpackung,ufungaji,d,uhusiano,upimaji,uchunguzi,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
f4d3f,task,flow.Sequence,1_0,NA,NA,completion,3099.9,15534.300000191,15520.4,15537,18636.9,18638.5,2024-03-11T13:01:32Z,18653.7,Verpackung,ufungaji,d,uhusiano,upimaji,uchunguzi,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
f4d3f,Deep Question,html.Page,1_1_0_0,NA,NA,form submission,2005.1999996185,18638.699999809,18636.9,18653.7,20658.899999619,20659.100000381,2024-03-11T13:01:34Z,20670.2,Toleranz,kuvumiliana,s,maombolezo,ujasusi,mchekeshaji,gg,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
f4d3f,Save data screen,canvas.Screen,1_1_0_1,NA,NA,timeout,500.1,20659.600000381,20653.688,20670.2,21153.6,21154.399999619,2024-03-11T13:01:34Z,21170.3,Toleranz,kuvumiliana,s,maombolezo,ujasusi,mchekeshaji,NA,NA,0,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
f4d3f,deep,flow.Sequence,1_1_0,NA,NA,completion,2499.9,18638.600000381,18636.9,18653.7,21153.6,21154.699999809,2024-03-11T13:01:34Z,21170.3,Toleranz,kuvumiliana,s,maombolezo,ujasusi,mchekeshaji,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
f4d3f,task,flow.Sequence,1_1,NA,NA,completion,2499.9,18638.600000381,18636.9,18653.7,21153.6,21154.899999619,2024-03-11T13:01:34Z,21170.3,Toleranz,kuvumiliana,s,maombolezo,ujasusi,mchekeshaji,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
f4d3f,Deep Question,html.Page,1_2_0_0,NA,NA,form submission,3957.3999998093,21155.100000381,21153.6,21170.3,25127.699999809,25127.899999619,2024-03-11T13:01:38Z,25137.2,Tester,wanaojaribu,d,sherti,sihiri,mlipuko,gg,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
